Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.121179,0.118125
5,38.5833,37.125,0.0886147,0.0869204
10,39.8333,40.5,0.0725675,0.0717341
15,43.6417,41.625,0.0632031,0.0627354
20,45.75,45.25,0.0569191,0.0569604
25,47.3167,48.75,0.0535302,0.053917
30,48.75,50.675,0.0513149,0.0515963
35,50.5583,52.375,0.049933,0.0506533
40,51.425,52.475,0.0490937,0.0497238
45,52.0417,52.95,0.0485026,0.0491598
50,52.3333,53.9,0.0478924,0.0486687
55,52.7833,54.35,0.0473339,0.0482698
60,53.3417,55.075,0.0469495,0.0480539
65,54.1833,55.375,0.0466088,0.047815
70,54.8,55.85,0.0463794,0.047811
75,55.6417,55.8,0.0459967,0.0473477
80,55.6583,55.05,0.0452126,0.0469311
85,56.6417,54.25,0.0443278,0.0467784
90,59.0167,56.1,0.0436429,0.0462596
95,60.8,59.375,0.0431512,0.0458902
100,62.5333,60.925,0.0427427,0.0459399
105,63.4,61.925,0.0423461,0.0459515
110,64.05,63.4,0.0419767,0.0461354
115,64.3,63.7,0.0417741,0.0459297
120,64.55,64.95,0.041599,0.0454308
125,64.75,65.6,0.0413944,0.0480189
130,64.9417,66,0.041062,0.0488341
135,65.1583,66.65,0.0407298,0.0495669
140,65.6833,66.95,0.0404211,0.0496613
145,66.1333,66.925,0.0400334,0.0487029
150,66.325,67.075,0.039792,0.047388

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 67.9 Validation Set MSE: 0.0513624
