x: 85.05, y: 746.84, z: 1944.58 
x: 77.53, y: 619.19, z: 1883.12 
x: 77.79, y: 708.70, z: 1951.72 
x: 88.89, y: 788.06, z: 2030.19 
x: 67.11, y: 797.64, z: 2032.99 
x: 65.25, y: 789.02, z: 2023.38 
x: 43.59, y: 660.69, z: 1946.80 
x: 54.16, y: 715.23, z: 1980.07 
x: 52.36, y: 740.70, z: 1996.99 
x: 38.19, y: 717.33, z: 1970.66 
x: 92.04, y: 630.40, z: 1932.77 
x: 67.60, y: 671.71, z: 1952.43 
x: 65.93, y: 655.27, z: 1942.01 
x: 53.47, y: 624.48, z: 1930.48 
x: 68.04, y: 684.65, z: 1964.09 
x: 62.15, y: 778.94, z: 2025.63 
x: 61.39, y: 787.33, z: 2002.95 
x: 33.05, y: 672.39, z: 1978.10 
x: 40.53, y: 727.16, z: 1890.59 
x: 39.98, y: 736.49, z: 1933.76 
x: 57.60, y: 742.88, z: 1972.49 
x: 60.80, y: 788.63, z: 2070.74 
x: 68.94, y: 793.13, z: 2032.67 
x: 70.22, y: 780.09, z: 2023.50 
x: 72.58, y: 771.61, z: 2014.03 
x: 84.58, y: 738.44, z: 1912.90 
x: 62.10, y: 772.37, z: 1980.54 
x: 66.37, y: 774.06, z: 1987.50 
x: 69.01, y: 774.07, z: 1990.60 
x: 61.92, y: 785.49, z: 2008.90 
x: 68.58, y: 761.97, z: 1985.18 
x: 64.36, y: 773.94, z: 2001.17 
x: 301.07, y: 581.01, z: 2087.78 
x: 313.97, y: 552.09, z: 2099.84 
x: 310.89, y: 557.84, z: 2097.86 
x: 124.05, y: 572.57, z: 1927.79 
x: 229.00, y: 595.81, z: 2059.40 
x: 174.82, y: 639.50, z: 1984.67 
x: 314.83, y: 558.19, z: 2160.81 
x: 291.26, y: 585.58, z: 2127.31 
x: 107.72, y: 781.61, z: 1939.36 
x: 81.92, y: 778.57, z: 2075.22 
x: 87.01, y: 737.99, z: 2003.39 
x: 302.10, y: 561.50, z: 2100.74 
x: 76.70, y: 783.38, z: 2110.21 
x: 64.94, y: 799.88, z: 2070.70 
x: 79.49, y: 709.42, z: 1892.94 
x: 84.15, y: 718.88, z: 1929.16 
x: 82.56, y: 704.39, z: 1933.51 
x: 60.81, y: 745.26, z: 1926.85 
x: 67.04, y: 776.56, z: 2096.34 
x: 64.24, y: 781.67, z: 2075.17 
x: 106.34, y: 625.99, z: 1870.93 
x: 70.91, y: 699.57, z: 1951.70 
x: 95.28, y: 785.97, z: 2034.04 
x: 94.40, y: 782.15, z: 2037.09 
x: 84.91, y: 746.02, z: 2176.21 
x: 118.24, y: 670.55, z: 1944.66 
x: 90.03, y: 709.33, z: 2104.88 
x: 93.19, y: 713.92, z: 2088.44 
x: 66.35, y: 674.31, z: 2131.51 
x: 73.95, y: 712.34, z: 2146.58 
x: 71.72, y: 696.20, z: 2139.67 
x: 85.76, y: 810.30, z: 2083.35 
x: 97.02, y: 715.62, z: 1894.37 
x: -121.58, y: 640.23, z: 2115.38 
x: 117.00, y: 741.42, z: 2040.05 
x: 160.39, y: 684.23, z: 1860.82 
x: 209.99, y: 834.10, z: 2040.55 
x: 201.84, y: 828.79, z: 2040.52 
x: 187.17, y: 758.41, z: 1951.70 
x: 182.02, y: 746.50, z: 1932.94 
x: 203.17, y: 768.64, z: 1981.50 
x: 224.42, y: 793.53, z: 1980.12 
x: 253.65, y: 809.15, z: 2006.70 
x: 237.06, y: 780.85, z: 1989.56 
x: 242.53, y: 837.58, z: 1980.34 
x: 232.22, y: 825.11, z: 1964.02 
x: 247.09, y: 802.21, z: 1976.96 
x: 235.53, y: 793.92, z: 2001.24 
x: 224.76, y: 840.43, z: 2018.94 
x: 237.59, y: 851.16, z: 2035.85 
x: 203.26, y: 708.81, z: 1833.54 
x: 202.12, y: 729.59, z: 1851.96 
x: 201.72, y: 735.10, z: 1856.23 
x: 183.24, y: 726.92, z: 1889.50 
x: 235.23, y: 795.73, z: 2065.31 
x: 211.78, y: 864.79, z: 1895.54 
x: 248.94, y: 843.64, z: 1979.84 
x: 281.16, y: 839.27, z: 1977.64 
x: 226.51, y: 857.64, z: 1966.06 
x: 413.75, y: 814.74, z: 1950.19 
x: 111.32, y: 555.39, z: 2059.82 
x: 119.98, y: 557.87, z: 2061.82 
x: 478.53, y: 708.72, z: 1939.23 
x: 213.14, y: 597.82, z: 2024.78 
x: 47.60, y: 513.20, z: 2060.23 
x: 7.54, y: 535.95, z: 2083.61 
x: 115.83, y: 836.38, z: 1910.55 
x: 98.86, y: 839.04, z: 1900.81 
x: 75.35, y: 833.23, z: 1891.21 
x: 62.33, y: 840.16, z: 1887.23 
x: 33.93, y: 842.39, z: 1899.45 
x: 18.42, y: 434.71, z: 1914.91 
x: -13.07, y: 473.04, z: 1938.96 
x: -11.56, y: 473.48, z: 1940.21 
x: -5.76, y: 444.65, z: 1898.49 
x: -40.23, y: 481.68, z: 1932.46 
x: -282.57, y: 736.90, z: 2165.11 
x: -116.81, y: 596.99, z: 2025.50 
x: 39.07, y: 747.65, z: 1881.44 
x: -15.46, y: 741.27, z: 1878.89 
x: -33.73, y: 864.71, z: 1671.08 
x: -28.51, y: 853.08, z: 1668.21 
x: 100.82, y: 677.69, z: 1676.98 
x: 64.96, y: 706.62, z: 1670.13 
x: -29.44, y: 673.01, z: 1656.93 
x: -105.68, y: 776.22, z: 1726.85 
x: -100.81, y: 775.99, z: 1713.17 
x: -92.55, y: 772.68, z: 1700.32 
x: -88.65, y: 772.15, z: 1678.14 
x: -78.06, y: 783.43, z: 1688.18 
x: -72.94, y: 800.22, z: 1706.83 
x: -31.23, y: 767.93, z: 1744.02 
x: -14.06, y: 785.16, z: 1759.69 
x: 150.29, y: 770.50, z: 1861.85 
x: 150.19, y: 922.96, z: 1883.66 
x: 182.12, y: 822.60, z: 1857.82 
x: 191.21, y: 816.28, z: 2011.27 
x: 126.32, y: 675.74, z: 1788.62 
x: 214.41, y: 539.10, z: 1855.99 
x: 226.95, y: 842.37, z: 1940.05 
x: 219.30, y: 821.89, z: 1927.67 
x: 242.18, y: 825.87, z: 1989.38 
x: 219.63, y: 809.84, z: 1958.27 
x: 146.84, y: 641.60, z: 1780.57 
x: 102.86, y: 769.93, z: 1890.07 
x: 200.99, y: 784.01, z: 1816.79 
x: 195.16, y: 775.64, z: 1816.68 
x: 200.24, y: 789.90, z: 1831.00 
x: 205.40, y: 798.14, z: 1849.87 
x: 239.18, y: 809.08, z: 1999.66 
x: 207.16, y: 788.36, z: 1919.61 
x: 211.88, y: 796.76, z: 1938.49 
x: 174.96, y: 882.66, z: 1975.73 
x: 199.09, y: 825.41, z: 2153.92 
x: 190.91, y: 838.99, z: 2174.33 
x: 168.00, y: 812.40, z: 2218.25 
x: 167.03, y: 801.43, z: 2233.33 
x: 204.07, y: 828.04, z: 2213.09 
x: 219.58, y: 821.65, z: 2179.38 
x: 242.92, y: 820.27, z: 2177.64 
x: 242.92, y: 824.36, z: 2180.09 
