x: -302.72, y: 381.43, z: 2139.90 
x: -303.96, y: 378.21, z: 2136.14 
x: -295.23, y: 384.10, z: 2152.47 
x: -300.75, y: 410.70, z: 2155.01 
x: -307.37, y: 387.11, z: 2171.91 
x: -293.12, y: 362.57, z: 2195.16 
x: -296.64, y: 372.34, z: 2184.18 
x: -303.11, y: 377.81, z: 2174.06 
x: -308.91, y: 387.15, z: 2171.66 
x: -301.40, y: 386.78, z: 2161.25 
x: -297.51, y: 369.52, z: 2154.23 
x: -262.34, y: 354.05, z: 2170.96 
x: -273.26, y: 361.43, z: 2161.01 
x: -266.46, y: 354.21, z: 2158.94 
x: -262.25, y: 363.80, z: 2156.50 
x: -256.72, y: 372.83, z: 2156.34 
x: -263.22, y: 368.38, z: 2157.59 
x: -277.58, y: 343.90, z: 2146.73 
x: -276.66, y: 356.04, z: 2150.77 
x: -290.67, y: 376.04, z: 2153.77 
x: -293.84, y: 383.39, z: 2153.12 
x: -289.54, y: 383.72, z: 2150.78 
x: -285.88, y: 384.46, z: 2146.66 
x: -276.96, y: 384.88, z: 2137.98 
x: -284.58, y: 380.16, z: 2122.11 
x: -285.54, y: 383.08, z: 2129.27 
x: -285.50, y: 381.83, z: 2132.40 
x: -265.32, y: 377.72, z: 2142.07 
x: -257.45, y: 376.93, z: 2124.12 
x: -271.11, y: 386.24, z: 2104.85 
x: -263.78, y: 386.67, z: 2118.30 
x: -163.56, y: 389.93, z: 2190.22 
x: -168.67, y: 370.58, z: 2217.59 
x: -221.49, y: 389.74, z: 2196.22 
x: -218.31, y: 386.62, z: 2184.09 
x: -210.33, y: 362.25, z: 2183.76 
x: -173.75, y: 376.09, z: 2208.92 
x: -173.39, y: 378.94, z: 2199.40 
x: -173.28, y: 388.90, z: 2237.51 
x: -214.06, y: 474.23, z: 2230.86 
x: -188.71, y: 431.16, z: 2226.95 
x: -187.74, y: 351.45, z: 2214.81 
x: -148.09, y: 320.91, z: 2192.45 
x: -146.17, y: 368.82, z: 2192.58 
x: -156.22, y: 329.28, z: 2185.02 
x: -138.68, y: 344.84, z: 2191.97 
x: -126.33, y: 390.12, z: 2204.30 
x: -162.71, y: 246.90, z: 2149.02 
x: -118.70, y: 273.28, z: 2123.36 
x: -128.61, y: 276.66, z: 2119.17 
x: -132.27, y: 276.86, z: 2118.28 
x: -146.75, y: 376.87, z: 2165.55 
x: -143.69, y: 403.81, z: 2183.80 
x: -153.12, y: 278.06, z: 2164.86 
x: -141.92, y: 324.72, z: 2182.48 
x: -146.45, y: 407.09, z: 2213.90 
x: -132.73, y: 390.89, z: 2144.66 
x: 50.34, y: 515.68, z: 1881.76 
x: -189.77, y: 332.95, z: 2016.25 
x: -149.92, y: 337.65, z: 2019.32 
x: -16.84, y: 457.25, z: 1892.60 
x: -69.98, y: 490.91, z: 1991.10 
x: -14.98, y: 473.64, z: 1954.58 
x: -169.36, y: 400.78, z: 2130.24 
x: -79.32, y: 328.87, z: 2088.05 
x: -266.46, y: 633.20, z: 2028.74 
x: 14.46, y: 722.03, z: 2093.78 
x: -174.06, y: 478.63, z: 2179.23 
x: -58.42, y: 448.56, z: 2270.04 
x: -18.02, y: 360.86, z: 2218.96 
x: -26.28, y: 348.58, z: 2212.56 
x: -21.83, y: 381.06, z: 2228.86 
x: -22.11, y: 372.74, z: 2224.77 
x: -27.58, y: 384.78, z: 2221.97 
x: -32.97, y: 395.07, z: 2217.72 
x: -32.52, y: 386.51, z: 2220.75 
x: -31.99, y: 387.25, z: 2223.35 
x: -32.18, y: 382.33, z: 2222.96 
x: -35.47, y: 381.71, z: 2218.97 
x: -33.72, y: 379.87, z: 2217.78 
x: -33.51, y: 383.83, z: 2216.51 
x: -33.68, y: 386.34, z: 2217.03 
x: -33.86, y: 384.42, z: 2214.76 
x: -23.91, y: 398.84, z: 2196.46 
x: -25.62, y: 394.09, z: 2203.27 
x: -26.38, y: 391.99, z: 2213.08 
x: -28.35, y: 388.48, z: 2214.61 
x: -25.93, y: 403.91, z: 2209.47 
x: 9.82, y: 424.36, z: 2223.61 
x: 0.30, y: 452.15, z: 2207.60 
x: -6.06, y: 491.32, z: 2110.02 
x: -0.35, y: 508.76, z: 2119.72 
x: 8.89, y: 460.66, z: 2113.43 
x: 39.47, y: 484.21, z: 2078.29 
x: 42.70, y: 482.78, z: 2090.35 
x: 6.53, y: 489.30, z: 2101.64 
x: -1.81, y: 499.12, z: 2127.49 
x: -55.09, y: 471.31, z: 2081.43 
x: -180.83, y: 453.78, z: 2035.32 
x: -349.72, y: 406.56, z: 2012.80 
x: -348.03, y: 391.92, z: 2055.44 
x: -319.91, y: 410.48, z: 2103.15 
x: -283.41, y: 329.54, z: 2005.14 
x: -99.01, y: 372.33, z: 2428.51 
x: -141.66, y: 294.84, z: 2417.61 
x: -276.24, y: 243.98, z: 2237.67 
x: -108.27, y: 171.79, z: 1714.49 
x: -184.90, y: 267.68, z: 2102.21 
x: -256.15, y: 253.19, z: 2294.04 
x: -294.26, y: 218.90, z: 2181.83 
x: -233.10, y: 320.78, z: 2228.83 
x: -237.15, y: 260.55, z: 2183.95 
x: -124.48, y: 323.46, z: 2011.26 
x: -195.67, y: 279.25, z: 1964.83 
x: -199.07, y: 451.36, z: 1957.50 
x: -123.40, y: 369.86, z: 1926.63 
x: -109.40, y: 285.03, z: 1930.79 
x: -229.67, y: 328.68, z: 1976.25 
x: -122.21, y: 409.60, z: 1959.35 
x: -151.95, y: 348.23, z: 1956.03 
x: -141.24, y: 365.43, z: 1931.12 
x: -166.27, y: 478.95, z: 2046.40 
x: -205.67, y: 436.49, z: 2130.23 
x: -169.34, y: 454.07, z: 2231.20 
x: -149.19, y: 431.84, z: 2189.46 
x: -119.75, y: 417.83, z: 2200.46 
x: -108.84, y: 423.57, z: 2165.45 
x: -84.68, y: 406.73, z: 2172.61 
x: -63.12, y: 394.92, z: 2204.86 
x: -46.87, y: 396.78, z: 2218.56 
x: -21.34, y: 379.60, z: 2226.17 
x: -2.27, y: 385.46, z: 2233.29 
x: 0.23, y: 378.24, z: 2232.35 
x: 0.19, y: 377.75, z: 2226.51 
x: -3.45, y: 381.74, z: 2223.16 
x: -2.77, y: 378.69, z: 2223.19 
x: -1.51, y: 376.28, z: 2226.78 
x: 5.38, y: 384.91, z: 2240.92 
x: 3.03, y: 379.42, z: 2238.64 
x: 16.29, y: 405.72, z: 2218.07 
x: 24.09, y: 412.42, z: 2218.97 
x: 12.00, y: 401.59, z: 2222.61 
x: 10.42, y: 412.28, z: 2226.16 
x: 8.76, y: 406.90, z: 2230.65 
x: 2.61, y: 385.88, z: 2231.92 
x: -18.84, y: 366.83, z: 2267.13 
x: -29.34, y: 358.43, z: 2377.74 
x: -40.06, y: 344.12, z: 2419.00 
x: -44.14, y: 345.63, z: 2407.24 
x: -49.55, y: 354.30, z: 2372.64 
x: -7.31, y: 342.54, z: 2375.02 
x: 9.91, y: 349.31, z: 2371.73 
x: -7.44, y: 347.49, z: 2369.99 
x: 3.25, y: 341.54, z: 2367.03 
x: 1.26, y: 341.81, z: 2352.78 
x: 4.42, y: 352.28, z: 2357.71 
x: -7.34, y: 337.33, z: 2391.21 
x: -1.18, y: 348.09, z: 2387.29 
x: 11.18, y: 366.60, z: 2387.45 
x: 3.72, y: 358.04, z: 2371.75 
x: 21.77, y: 371.58, z: 2408.37 
x: 41.27, y: 371.72, z: 2432.23 
x: 42.16, y: 331.72, z: 2423.83 
x: 60.27, y: 342.18, z: 2376.95 
x: 23.22, y: 377.46, z: 2364.74 
x: 28.98, y: 357.39, z: 2349.11 
x: 29.25, y: 361.35, z: 2381.31 
x: 33.29, y: 358.45, z: 2368.44 
x: 44.71, y: 376.28, z: 2365.87 
x: 38.62, y: 369.56, z: 2368.11 
x: 1.26, y: 366.65, z: 2362.67 
x: -66.45, y: 380.82, z: 2236.42 
x: -206.51, y: 365.84, z: 2063.54 
x: -331.49, y: 439.90, z: 1944.36 
x: -284.34, y: 375.88, z: 1741.12 
x: -184.34, y: 346.03, z: 1582.15 
x: -162.75, y: 242.27, z: 1462.83 
x: -188.82, y: 122.72, z: 1341.58 
x: -196.83, y: 104.51, z: 1333.68 
x: -200.44, y: 90.29, z: 1330.88 
x: -202.11, y: 84.30, z: 1336.20 
x: -203.31, y: 79.39, z: 1337.31 
x: -200.50, y: 83.85, z: 1351.28 
x: -205.04, y: 79.57, z: 1343.72 
x: -206.81, y: 83.02, z: 1352.70 
x: -208.62, y: 83.04, z: 1345.68 
x: -209.65, y: 86.56, z: 1343.40 
x: -209.21, y: 208.95, z: 1413.17 
x: -267.10, y: 197.25, z: 1591.04 
x: -237.75, y: 261.53, z: 1513.60 
x: -264.30, y: 291.36, z: 1413.90 
x: -233.01, y: 295.26, z: 1413.43 
x: -228.56, y: 237.21, z: 1247.63 
x: -269.32, y: 311.69, z: 1497.88 
x: -311.34, y: 274.14, z: 1510.52 
x: -343.61, y: 382.00, z: 1378.96 
x: -356.94, y: 281.91, z: 1241.53 
x: -384.16, y: 108.24, z: 1268.75 
x: -295.02, y: 231.97, z: 1187.11 
x: -415.59, y: 148.53, z: 1016.09 
x: -251.37, y: 145.56, z: 447.28 
x: -251.37, y: 145.56, z: 447.28 
x: -251.37, y: 145.56, z: 447.28 
