x: 49.93, y: -745.35, z: 2208.67 
x: 49.41, y: -730.06, z: 2231.68 
x: 33.62, y: -700.49, z: 2056.21 
x: 37.99, y: -708.69, z: 2064.42 
x: 22.79, y: -760.83, z: 2049.96 
x: 45.06, y: -688.29, z: 2366.02 
x: 44.77, y: -698.63, z: 2359.99 
x: 45.81, y: -698.42, z: 2377.62 
x: 44.02, y: -708.42, z: 2364.09 
x: 47.15, y: -698.78, z: 2353.68 
x: 45.48, y: -722.97, z: 2343.25 
x: 37.32, y: -731.95, z: 2318.97 
x: 36.12, y: -735.05, z: 2304.70 
x: 37.68, y: -733.35, z: 2296.52 
x: 20.45, y: -721.51, z: 2135.59 
x: 13.28, y: -801.30, z: 2179.19 
x: 14.25, y: -804.42, z: 2178.11 
x: 15.14, y: -802.93, z: 2178.13 
x: 19.38, y: -802.99, z: 2183.78 
x: 19.34, y: -794.16, z: 2181.16 
x: 19.60, y: -778.16, z: 2192.66 
x: 24.61, y: -775.98, z: 2210.10 
x: 25.36, y: -762.99, z: 2207.89 
x: 19.31, y: -765.54, z: 2193.52 
x: 21.67, y: -763.80, z: 2200.49 
x: 24.38, y: -761.80, z: 2210.54 
x: 23.98, y: -764.08, z: 2208.69 
x: 26.64, y: -758.18, z: 2207.25 
x: 30.58, y: -764.01, z: 2203.66 
x: 14.65, y: -713.73, z: 2220.19 
x: 24.81, y: -735.60, z: 2207.60 
x: 27.46, y: -746.27, z: 2202.82 
x: 16.89, y: -737.76, z: 2192.36 
x: 23.31, y: -745.80, z: 2200.56 
x: 23.38, y: -746.10, z: 2204.12 
x: 19.41, y: -720.80, z: 2222.28 
x: 27.07, y: -751.16, z: 2216.86 
x: 26.97, y: -740.13, z: 2221.19 
x: 28.54, y: -755.38, z: 2213.96 
x: 24.44, y: -742.05, z: 2200.32 
x: 28.76, y: -760.93, z: 2203.39 
x: 29.97, y: -765.61, z: 2198.56 
x: 26.82, y: -791.51, z: 2191.25 
x: 30.30, y: -761.58, z: 2061.57 
x: 30.87, y: -785.02, z: 2111.75 
x: 29.29, y: -781.91, z: 2109.48 
x: 32.48, y: -761.74, z: 2103.63 
x: 9.90, y: -824.63, z: 2159.26 
x: 23.50, y: -796.18, z: 2162.71 
x: 28.73, y: -792.17, z: 2162.91 
x: 32.02, y: -786.10, z: 2169.38 
x: 37.76, y: -730.61, z: 2124.76 
x: 2.53, y: -829.65, z: 2209.91 
x: 9.64, y: -845.94, z: 2242.39 
x: 7.30, y: -833.11, z: 2224.12 
x: 4.31, y: -796.11, z: 2192.72 
x: 7.92, y: -807.47, z: 2198.27 
x: 7.34, y: -795.58, z: 2185.45 
x: 7.79, y: -830.18, z: 2195.41 
x: 9.61, y: -834.68, z: 2185.83 
x: 13.14, y: -829.50, z: 2203.64 
x: 14.59, y: -817.79, z: 2194.25 
x: 16.36, y: -820.69, z: 2207.48 
x: 18.45, y: -789.49, z: 2196.69 
x: 34.57, y: -706.46, z: 2116.61 
x: 35.46, y: -726.79, z: 2158.84 
x: 36.10, y: -738.59, z: 2161.85 
x: 36.60, y: -730.94, z: 2166.97 
x: 184.59, y: -623.86, z: 1980.85 
x: 33.43, y: -619.97, z: 2264.77 
x: 35.29, y: -621.42, z: 2262.12 
x: -75.48, y: -651.38, z: 1940.32 
x: 40.68, y: -706.37, z: 2106.27 
x: 205.18, y: -676.18, z: 1956.46 
x: 76.97, y: -716.20, z: 2024.93 
x: 41.90, y: -701.79, z: 2011.07 
x: 28.88, y: -686.23, z: 2025.36 
x: -14.54, y: -680.53, z: 2007.33 
x: -30.71, y: -709.21, z: 2031.66 
x: -55.54, y: -736.35, z: 1986.30 
x: -95.50, y: -740.85, z: 1981.16 
x: -40.83, y: -717.99, z: 2004.43 
x: -74.39, y: -637.09, z: 1951.56 
x: -115.29, y: -770.85, z: 1933.97 
x: -5.50, y: -727.62, z: 2086.81 
x: 154.26, y: -685.56, z: 2140.54 
x: 171.59, y: -689.39, z: 2001.19 
x: -59.53, y: -670.08, z: 1976.67 
x: -199.52, y: -618.13, z: 1945.88 
x: 169.92, y: -584.34, z: 2007.96 
x: 176.87, y: -629.41, z: 1956.74 
x: 169.72, y: -611.30, z: 1920.85 
x: 163.56, y: -608.03, z: 1912.23 
x: 189.45, y: -588.91, z: 1925.61 
x: 172.46, y: -624.37, z: 1892.88 
x: -660.54, y: -52.21, z: 1839.58 
x: -600.47, y: -94.94, z: 1848.03 
x: -612.37, y: -123.81, z: 1879.67 
x: -287.57, y: -603.16, z: 1878.53 
x: -279.95, y: -627.05, z: 1892.19 
x: -188.55, y: -720.16, z: 1929.77 
x: -194.07, y: -712.50, z: 1889.56 
x: -137.89, y: -674.89, z: 1910.34 
x: -116.41, y: -705.67, z: 1934.05 
x: -135.72, y: -788.40, z: 2280.41 
x: -169.76, y: -813.17, z: 2293.61 
x: -94.29, y: -568.97, z: 2039.22 
x: -139.04, y: -725.42, z: 1966.78 
x: -291.89, y: -740.65, z: 2069.44 
x: -165.78, y: -703.81, z: 2060.93 
x: -127.68, y: -623.55, z: 1993.28 
x: -68.22, y: -793.15, z: 1941.70 
x: -73.03, y: -717.29, z: 1918.38 
x: -47.89, y: -726.64, z: 1972.86 
x: -146.93, y: -600.14, z: 1797.01 
x: -107.90, y: -576.51, z: 1878.91 
x: -69.82, y: -742.64, z: 1963.18 
x: -100.91, y: -686.62, z: 1956.75 
x: -90.52, y: -692.80, z: 1962.99 
x: -166.50, y: -774.44, z: 1904.89 
x: -150.85, y: -759.38, z: 1889.65 
x: -93.25, y: -673.23, z: 1905.16 
x: 110.13, y: -575.57, z: 1728.83 
x: -5.93, y: -648.61, z: 1854.82 
x: -40.72, y: -754.31, z: 2088.46 
x: -109.78, y: -634.74, z: 1916.57 
x: -77.27, y: -670.91, z: 2010.27 
x: -88.82, y: -674.52, z: 1941.94 
x: -93.20, y: -680.54, z: 1943.75 
x: 6.65, y: -725.06, z: 2094.92 
x: 187.34, y: -680.44, z: 1914.26 
x: 65.47, y: -707.37, z: 2020.67 
x: -137.70, y: -675.59, z: 1883.36 
x: -56.93, y: -727.48, z: 2071.45 
x: -85.37, y: -718.16, z: 2005.33 
x: -53.13, y: -711.34, z: 2049.89 
x: -75.42, y: -680.51, z: 1906.42 
x: -99.62, y: -700.96, z: 1882.69 
x: -102.21, y: -699.57, z: 1888.43 
x: -158.67, y: -710.81, z: 1992.41 
x: -141.38, y: -689.75, z: 1959.97 
x: -27.32, y: -751.14, z: 2065.25 
x: -79.50, y: -690.86, z: 2046.44 
x: -55.08, y: -693.08, z: 2025.13 
x: 116.79, y: -708.07, z: 2040.77 
x: 127.35, y: -701.34, z: 2041.86 
x: 143.83, y: -765.76, z: 2276.85 
x: 137.95, y: -754.03, z: 2270.70 
x: 137.77, y: -732.35, z: 2100.46 
x: 146.40, y: -779.18, z: 2148.53 
x: 103.68, y: -739.90, z: 2134.83 
x: -81.89, y: -784.71, z: 2151.51 
x: -77.27, y: -788.29, z: 2164.74 
x: -77.22, y: -752.86, z: 2116.86 
x: -50.43, y: -737.04, z: 2150.68 
x: -51.35, y: -720.82, z: 2134.93 
x: 209.10, y: -728.03, z: 2109.13 
x: 281.57, y: -699.41, z: 2336.10 
x: -27.16, y: -767.74, z: 2217.62 
x: -23.92, y: -760.84, z: 2238.76 
x: 243.24, y: -674.36, z: 2095.73 
x: 121.06, y: -721.48, z: 2137.62 
x: -31.23, y: -741.17, z: 2154.74 
x: -57.38, y: -722.47, z: 2129.87 
x: -55.99, y: -697.88, z: 2131.86 
x: -63.55, y: -754.80, z: 2160.68 
x: -51.17, y: -742.49, z: 2154.86 
x: -67.66, y: -741.00, z: 2147.69 
x: -54.65, y: -733.13, z: 2149.46 
x: -70.59, y: -690.61, z: 2257.14 
x: -119.00, y: -658.54, z: 1885.18 
x: -141.69, y: -668.66, z: 1848.77 
x: -182.68, y: -697.05, z: 1771.11 
x: -167.61, y: -699.77, z: 1790.04 
x: -168.05, y: -721.17, z: 1788.60 
x: -162.01, y: -590.80, z: 1509.77 
x: -52.64, y: -700.73, z: 1497.41 
x: -54.14, y: -837.23, z: 1572.56 
x: -50.85, y: -728.01, z: 1509.70 
x: -50.25, y: -744.52, z: 1507.44 
x: -46.41, y: -827.93, z: 1550.78 
x: -52.19, y: -881.66, z: 1538.77 
x: -66.41, y: -786.70, z: 1497.79 
x: -49.06, y: -797.08, z: 1520.46 
x: -59.79, y: -800.41, z: 1509.64 
x: -63.02, y: -803.51, z: 1512.13 
x: -70.47, y: -889.83, z: 1526.75 
x: -73.55, y: -799.24, z: 1503.25 
x: -85.58, y: -733.31, z: 1524.20 
x: -81.63, y: -742.88, z: 1520.32 
x: -88.62, y: -764.62, z: 1519.93 
x: -102.92, y: -753.98, z: 1491.17 
x: -119.22, y: -752.92, z: 1503.62 
x: -125.55, y: -799.86, z: 1484.94 
x: -146.70, y: -778.59, z: 1453.02 
x: -122.84, y: -790.45, z: 1499.82 
x: -122.34, y: -765.65, z: 1520.35 
x: -151.95, y: -914.09, z: 1550.94 
x: -209.69, y: -628.70, z: 1247.81 
x: -197.94, y: -514.91, z: 1244.32 
x: -195.13, y: -725.95, z: 1221.42 
x: -195.13, y: -725.95, z: 1221.42 
x: -195.13, y: -725.95, z: 1221.42 
