x: -577.50, y: 364.50, z: 1973.95 
x: -574.79, y: 357.85, z: 1975.36 
x: -573.69, y: 361.74, z: 1994.54 
x: -562.04, y: 375.96, z: 1990.90 
x: -564.98, y: 387.10, z: 1998.77 
x: -565.38, y: 377.31, z: 2007.18 
x: -563.80, y: 381.42, z: 1997.70 
x: -560.56, y: 375.90, z: 1980.92 
x: -550.72, y: 388.03, z: 1970.94 
x: -554.43, y: 381.66, z: 1977.84 
x: -549.50, y: 359.81, z: 1961.24 
x: -539.30, y: 341.72, z: 1971.30 
x: -541.33, y: 351.39, z: 1970.06 
x: -548.61, y: 343.28, z: 1958.64 
x: -545.07, y: 349.33, z: 1962.84 
x: -542.60, y: 354.26, z: 1961.60 
x: -538.59, y: 348.86, z: 1964.61 
x: -535.36, y: 347.79, z: 1964.71 
x: -540.39, y: 349.48, z: 1977.71 
x: -536.22, y: 366.57, z: 1976.00 
x: -535.31, y: 369.50, z: 1963.41 
x: -525.12, y: 363.99, z: 1953.89 
x: -516.60, y: 358.08, z: 1953.71 
x: -515.95, y: 353.44, z: 1947.72 
x: -511.88, y: 348.41, z: 1946.14 
x: -506.04, y: 351.49, z: 1935.88 
x: -508.00, y: 344.63, z: 1937.41 
x: -507.26, y: 341.98, z: 1939.16 
x: -502.87, y: 333.92, z: 1945.34 
x: -500.09, y: 321.78, z: 1923.15 
x: -489.34, y: 328.44, z: 1941.46 
x: -229.81, y: 499.75, z: 2098.99 
x: -229.98, y: 560.38, z: 2096.76 
x: -200.75, y: 608.50, z: 2116.29 
x: -211.59, y: 577.83, z: 2098.40 
x: -125.95, y: 321.94, z: 2045.42 
x: -157.85, y: 599.81, z: 2158.77 
x: -55.14, y: 326.77, z: 2036.07 
x: -55.29, y: 346.25, z: 2035.64 
x: -191.00, y: 684.75, z: 2182.90 
x: -202.56, y: 614.42, z: 2066.14 
x: -224.18, y: 394.12, z: 1886.19 
x: -228.29, y: 251.67, z: 1869.49 
x: -173.09, y: 262.75, z: 1872.16 
x: -134.78, y: 195.43, z: 1858.04 
x: -102.59, y: 208.65, z: 1876.25 
x: -55.11, y: 277.39, z: 1942.79 
x: -121.51, y: 133.81, z: 1902.82 
x: -104.72, y: 199.76, z: 1863.26 
x: -108.35, y: 193.36, z: 1869.42 
x: -111.55, y: 181.98, z: 1860.31 
x: -115.91, y: 301.62, z: 1891.63 
x: -94.43, y: 283.27, z: 1885.50 
x: -105.56, y: 177.56, z: 1864.15 
x: -94.06, y: 206.45, z: 1871.14 
x: -82.01, y: 305.32, z: 1904.72 
x: -7.13, y: 404.10, z: 1890.51 
x: 39.17, y: 666.83, z: 2128.37 
x: 7.60, y: 486.06, z: 1950.05 
x: 48.97, y: 511.75, z: 1934.11 
x: 35.60, y: 770.43, z: 2061.62 
x: 34.13, y: 668.29, z: 2002.45 
x: 44.21, y: 640.60, z: 1995.96 
x: -61.56, y: 653.50, z: 2016.91 
x: -98.55, y: 82.20, z: 2002.86 
x: 48.81, y: 577.50, z: 2084.98 
x: -159.00, y: 512.68, z: 2030.37 
x: -36.21, y: 527.02, z: 1933.65 
x: 14.40, y: 281.70, z: 2090.73 
x: 42.34, y: 245.45, z: 2057.34 
x: 28.50, y: 226.63, z: 2070.69 
x: 18.09, y: 234.36, z: 2095.03 
x: 26.34, y: 218.40, z: 2077.27 
x: 25.02, y: 214.88, z: 2073.55 
x: 30.18, y: 216.30, z: 2060.88 
x: 24.42, y: 222.89, z: 2069.41 
x: 17.74, y: 205.66, z: 2064.17 
x: 19.58, y: 215.43, z: 2081.17 
x: 18.20, y: 221.12, z: 2084.13 
x: 20.74, y: 215.46, z: 2072.97 
x: 21.26, y: 218.89, z: 2081.48 
x: 25.30, y: 218.43, z: 2070.34 
x: 35.86, y: 213.73, z: 2058.32 
x: 27.34, y: 204.88, z: 2059.72 
x: 35.70, y: 205.06, z: 2057.00 
x: 29.18, y: 212.87, z: 2067.26 
x: 28.11, y: 211.67, z: 2060.94 
x: 35.64, y: 227.05, z: 2067.19 
x: 34.27, y: 261.11, z: 2072.96 
x: 46.40, y: 190.04, z: 1889.70 
x: 17.95, y: 352.09, z: 1963.54 
x: -11.00, y: 316.59, z: 1966.52 
x: -26.84, y: 317.68, z: 1972.16 
x: -64.83, y: 186.90, z: 1865.61 
x: -24.44, y: 246.84, z: 1914.22 
x: -38.45, y: 251.19, z: 1939.64 
x: -75.00, y: 185.56, z: 1923.06 
x: -62.19, y: 236.29, z: 1913.52 
x: -88.82, y: 243.63, z: 1880.14 
x: -254.72, y: 230.11, z: 1895.03 
x: -241.13, y: 230.88, z: 1923.33 
x: -261.71, y: 200.06, z: 1930.69 
x: -284.10, y: 283.13, z: 1879.03 
x: -299.61, y: 238.90, z: 2145.71 
x: -435.12, y: 327.76, z: 2117.93 
x: -463.71, y: 237.42, z: 2128.97 
x: 85.91, y: 172.29, z: 1533.12 
x: -207.07, y: 224.52, z: 1948.60 
x: -441.52, y: 242.07, z: 2046.59 
x: 173.77, y: 7.42, z: 1186.03 
x: -393.24, y: 307.73, z: 2008.96 
x: -331.65, y: 84.23, z: 1911.05 
x: -207.61, y: 26.39, z: 2038.41 
x: -131.20, y: 17.87, z: 1905.02 
x: -124.69, y: 234.38, z: 1896.27 
x: -74.71, y: 172.50, z: 1841.18 
x: -258.56, y: 151.86, z: 1730.51 
x: -307.60, y: 60.67, z: 1961.57 
x: -261.76, y: 73.18, z: 1956.34 
x: -307.56, y: 45.96, z: 1861.28 
x: -237.84, y: 128.98, z: 1791.29 
x: -213.40, y: 217.64, z: 1950.78 
x: -212.38, y: 228.14, z: 2043.35 
x: -122.15, y: 249.97, z: 2184.99 
x: -92.38, y: 252.95, z: 2020.43 
x: -27.45, y: 240.24, z: 2010.28 
x: -39.23, y: 227.40, z: 2018.68 
x: -23.40, y: 224.39, z: 2041.51 
x: -11.78, y: 212.56, z: 2034.33 
x: -4.72, y: 223.37, z: 2043.54 
x: -0.37, y: 212.25, z: 2027.92 
x: 6.00, y: 225.43, z: 2070.69 
x: 15.82, y: 217.69, z: 2064.41 
x: 11.17, y: 212.12, z: 2058.93 
x: 7.14, y: 213.86, z: 2056.36 
x: 8.42, y: 211.05, z: 2040.99 
x: 16.82, y: 212.89, z: 2051.17 
x: 17.01, y: 216.03, z: 2052.10 
x: 16.04, y: 210.09, z: 2062.14 
x: 12.30, y: 218.99, z: 2048.22 
x: 10.47, y: 229.80, z: 2063.44 
x: 13.84, y: 219.05, z: 2047.24 
x: 15.07, y: 227.09, z: 2050.25 
x: 22.01, y: 219.14, z: 2052.39 
x: 15.44, y: 188.15, z: 2083.76 
x: 2.16, y: 180.14, z: 2138.59 
x: -29.01, y: 193.70, z: 2256.44 
x: -16.49, y: 165.10, z: 2258.84 
x: -21.47, y: 180.64, z: 2239.51 
x: -2.24, y: 203.28, z: 2239.21 
x: 22.90, y: 192.12, z: 2250.09 
x: 42.10, y: 205.69, z: 2201.77 
x: 40.05, y: 186.24, z: 2177.69 
x: 31.77, y: 188.70, z: 2212.56 
x: 42.87, y: 176.69, z: 2202.99 
x: 40.86, y: 185.07, z: 2222.03 
x: 41.40, y: 169.88, z: 2207.42 
x: 36.74, y: 178.41, z: 2229.42 
x: 41.38, y: 189.00, z: 2265.34 
x: 37.97, y: 183.06, z: 2235.33 
x: 53.76, y: 168.26, z: 2214.81 
x: 52.61, y: 183.08, z: 2231.11 
x: 65.31, y: 179.64, z: 2212.90 
x: 59.33, y: 179.80, z: 2223.24 
