x: 21.94, y: 58.54, z: 2115.12 
x: 25.53, y: 33.68, z: 2115.32 
x: -0.01, y: 68.42, z: 2121.49 
x: 2.52, y: 80.61, z: 2118.72 
x: -1.79, y: 73.63, z: 2115.98 
x: -4.93, y: 62.24, z: 2140.31 
x: -13.80, y: 55.92, z: 2145.67 
x: -6.36, y: 51.26, z: 2126.79 
x: -11.19, y: 56.45, z: 2131.52 
x: -3.17, y: 41.73, z: 2132.16 
x: -1.54, y: 34.07, z: 2121.48 
x: -5.31, y: 38.35, z: 2118.00 
x: -3.85, y: 39.17, z: 2117.62 
x: -3.09, y: 44.44, z: 2124.42 
x: -8.02, y: 63.97, z: 2116.35 
x: -6.63, y: 89.95, z: 2115.03 
x: -7.38, y: 71.88, z: 2119.51 
x: -8.99, y: 60.65, z: 2119.67 
x: -8.43, y: 56.15, z: 2116.57 
x: -8.29, y: 59.81, z: 2108.69 
x: -8.38, y: 70.22, z: 2108.27 
x: -8.80, y: 62.93, z: 2107.94 
x: -7.74, y: 68.59, z: 2107.98 
x: -4.91, y: 67.65, z: 2113.59 
x: -4.46, y: 63.85, z: 2112.00 
x: -4.40, y: 60.28, z: 2109.54 
x: -3.34, y: 60.38, z: 2107.25 
x: -3.15, y: 61.87, z: 2105.23 
x: -4.58, y: 68.11, z: 2105.37 
x: -21.01, y: 110.33, z: 2123.23 
x: -10.30, y: 85.50, z: 2111.14 
x: -8.56, y: 78.82, z: 2107.46 
x: -11.03, y: 83.52, z: 2098.82 
x: -10.12, y: 80.94, z: 2097.62 
x: -9.92, y: 83.55, z: 2083.10 
x: -13.83, y: 102.74, z: 2088.87 
x: -4.38, y: 75.38, z: 2073.12 
x: -5.40, y: 84.92, z: 2079.57 
x: -2.77, y: 79.35, z: 2070.43 
x: -4.59, y: 51.93, z: 2060.19 
x: -1.22, y: 58.49, z: 2062.00 
x: -0.88, y: 66.41, z: 2055.35 
x: -3.86, y: 44.47, z: 2047.84 
x: -2.29, y: 46.72, z: 2053.49 
x: -0.54, y: 41.85, z: 2065.33 
x: -3.08, y: 46.41, z: 2054.73 
x: -0.70, y: 39.71, z: 2028.73 
x: -22.41, y: -11.56, z: 2079.05 
x: -6.76, y: 16.46, z: 2072.50 
x: -5.54, y: 30.53, z: 2069.10 
x: -5.13, y: 37.13, z: 2067.34 
x: 0.92, y: 40.30, z: 2031.59 
x: -2.59, y: 43.00, z: 2040.84 
x: -0.04, y: 25.90, z: 2069.41 
x: -2.91, y: 38.52, z: 2055.36 
x: -3.32, y: 22.15, z: 2029.76 
x: -2.00, y: 38.38, z: 2043.92 
x: -5.54, y: 33.43, z: 2038.38 
x: -2.30, y: 12.24, z: 2050.19 
x: -2.84, y: 11.07, z: 2057.90 
x: -5.40, y: 4.92, z: 2060.85 
x: -5.00, y: 9.52, z: 2045.44 
x: -3.43, y: 8.52, z: 2053.60 
x: -1.45, y: 33.03, z: 2048.60 
x: 3.92, y: 34.89, z: 2057.74 
x: 6.89, y: 39.34, z: 2051.16 
x: 8.70, y: 26.84, z: 2053.34 
x: 28.20, y: 49.20, z: 2028.61 
x: 108.79, y: 99.55, z: 2014.55 
x: 113.99, y: 91.89, z: 2009.38 
x: 110.18, y: 95.88, z: 2013.73 
x: 93.91, y: 108.00, z: 2023.13 
x: 96.69, y: 94.59, z: 2020.54 
x: 109.49, y: 98.95, z: 2012.63 
x: 101.04, y: 126.82, z: 2010.92 
x: 102.86, y: 114.80, z: 2013.53 
x: 109.55, y: 115.46, z: 2020.54 
x: 105.03, y: 107.29, z: 2029.79 
x: 107.31, y: 105.33, z: 2027.39 
x: 108.33, y: 105.12, z: 2025.86 
x: 108.73, y: 110.13, z: 2027.65 
x: 112.29, y: 114.21, z: 2028.92 
x: 111.51, y: 115.60, z: 2029.05 
x: 111.49, y: 116.64, z: 2029.88 
x: 111.85, y: 116.10, z: 2028.61 
x: 105.37, y: 115.30, z: 2046.63 
x: 107.76, y: 113.84, z: 2036.62 
x: 110.85, y: 120.30, z: 2039.00 
x: 96.67, y: 128.54, z: 2011.43 
x: 108.76, y: 218.18, z: 2045.88 
x: 122.25, y: 201.28, z: 2066.66 
x: 123.18, y: 201.89, z: 2062.73 
x: 130.73, y: 207.30, z: 2062.43 
x: 51.35, y: 258.22, z: 2056.46 
x: 43.07, y: 240.68, z: 2045.55 
x: 53.28, y: 229.11, z: 2065.85 
x: 48.06, y: 191.47, z: 2072.50 
x: 59.85, y: 163.85, z: 1982.93 
x: -78.75, y: 180.02, z: 1936.58 
x: -167.39, y: 134.29, z: 1906.21 
x: -157.83, y: 123.16, z: 1937.27 
x: -137.72, y: 138.42, z: 1979.96 
x: -123.02, y: 109.63, z: 2071.02 
x: -36.49, y: 114.22, z: 2080.17 
x: -180.61, y: 109.92, z: 2112.52 
x: -194.39, y: 67.83, z: 2106.78 
x: -124.77, y: -28.70, z: 2079.83 
x: -183.70, y: 68.36, z: 2192.93 
x: -109.47, y: 84.17, z: 2074.44 
x: -239.09, y: 212.46, z: 2084.23 
x: -125.27, y: 111.63, z: 2076.06 
x: -88.57, y: 110.62, z: 1906.16 
x: -89.29, y: 145.99, z: 1858.43 
x: -79.58, y: 136.49, z: 1802.54 
x: -46.26, y: 260.54, z: 1805.47 
x: -88.96, y: 84.39, z: 1801.53 
x: -113.31, y: 10.36, z: 1798.40 
x: -155.83, y: 87.88, z: 1793.16 
x: -144.16, y: 88.47, z: 1788.05 
x: -125.66, y: 55.39, z: 1806.07 
x: -102.03, y: 78.72, z: 1755.69 
x: -114.53, y: 167.95, z: 1806.65 
x: -126.46, y: 171.80, z: 1975.10 
x: -88.41, y: 167.23, z: 1960.03 
x: -36.45, y: 140.51, z: 1977.03 
x: 66.92, y: 127.77, z: 1972.04 
x: 66.12, y: 153.06, z: 1989.92 
x: 71.21, y: 151.05, z: 1992.64 
x: 79.11, y: 126.02, z: 2002.78 
x: 78.54, y: 112.90, z: 2010.85 
x: 82.68, y: 106.44, z: 2005.08 
x: 84.14, y: 117.84, z: 2004.69 
x: 87.58, y: 109.62, z: 2005.04 
x: 92.25, y: 106.43, z: 2008.09 
x: 95.84, y: 95.35, z: 2015.07 
x: 97.25, y: 93.74, z: 2012.72 
x: 97.92, y: 96.18, z: 2011.20 
x: 98.15, y: 97.54, z: 2002.91 
x: 100.43, y: 97.41, z: 1999.19 
x: 110.54, y: 118.48, z: 2007.94 
x: 85.44, y: 114.04, z: 2005.31 
x: 96.76, y: 102.07, z: 2001.67 
x: 97.18, y: 102.64, z: 1996.75 
x: 98.72, y: 108.83, z: 2001.07 
x: 95.62, y: 111.34, z: 1999.53 
x: 111.77, y: 134.01, z: 2140.99 
x: 89.85, y: 120.36, z: 2180.08 
x: 85.69, y: 93.14, z: 2170.66 
x: 85.17, y: 81.82, z: 2188.53 
x: 92.05, y: 86.40, z: 2202.77 
x: 114.42, y: 108.28, z: 2192.83 
x: 113.02, y: 105.72, z: 2194.13 
x: 122.74, y: 109.52, z: 2174.12 
x: 129.93, y: 106.40, z: 2171.86 
x: 139.51, y: 129.77, z: 2161.96 
x: 147.48, y: 122.32, z: 2165.66 
x: 145.45, y: 101.73, z: 2179.97 
x: 141.91, y: 80.55, z: 2173.14 
x: 135.80, y: 77.27, z: 2171.57 
x: 137.53, y: 89.04, z: 2180.59 
x: 138.59, y: 80.66, z: 2171.41 
x: 136.90, y: 76.55, z: 2186.77 
x: 143.36, y: 65.43, z: 2169.23 
x: 149.50, y: 87.27, z: 2173.53 
x: 151.36, y: 115.19, z: 2189.60 
x: 152.35, y: 94.71, z: 2182.99 
x: 150.31, y: 92.60, z: 2181.92 
x: 147.96, y: 88.31, z: 2181.52 
x: 148.16, y: 99.60, z: 2183.66 
x: 149.50, y: 102.49, z: 2180.24 
x: 117.88, y: 93.38, z: 2119.51 
x: 81.41, y: 113.38, z: 2094.68 
x: -48.52, y: 111.28, z: 1960.96 
x: -115.80, y: 179.76, z: 1787.96 
x: -116.25, y: 174.57, z: 1675.80 
x: -42.09, y: 107.16, z: 1521.16 
x: -43.46, y: 39.11, z: 1400.96 
x: -66.23, y: -43.53, z: 1395.53 
x: -69.58, y: -59.20, z: 1389.90 
x: -74.86, y: -68.35, z: 1386.32 
x: -78.88, y: -73.24, z: 1386.37 
x: -82.82, y: -90.46, z: 1382.37 
x: -84.99, y: -87.00, z: 1369.48 
x: -74.49, y: -96.44, z: 1379.53 
x: -77.84, y: -94.94, z: 1373.16 
x: -79.67, y: -95.08, z: 1377.16 
x: -81.36, y: -93.30, z: 1383.18 
x: -93.78, y: 30.69, z: 1374.79 
x: -117.95, y: 108.76, z: 1417.17 
x: -131.00, y: 78.37, z: 1401.70 
x: -111.44, y: 91.94, z: 1424.56 
x: -114.21, y: 82.71, z: 1505.82 
x: -138.95, y: 25.51, z: 1416.45 
x: -155.84, y: -17.04, z: 1393.20 
x: -224.35, y: 24.44, z: 1356.53 
x: -214.35, y: 101.10, z: 1295.11 
x: -235.17, y: 66.29, z: 1225.34 
x: -260.52, y: -38.49, z: 1043.03 
x: -239.51, y: 41.91, z: 928.23 
x: -224.77, y: 117.52, z: 750.68 
x: -561.03, y: 245.89, z: 736.55 
x: -561.03, y: 245.89, z: 736.55 
x: -561.03, y: 245.89, z: 736.55 
