x: 6.92, y: -342.08, z: 2137.54 
x: 1.96, y: -366.92, z: 2145.94 
x: -1.03, y: -342.89, z: 2132.28 
x: 3.14, y: -327.10, z: 2127.38 
x: -0.03, y: -352.78, z: 2114.09 
x: -7.64, y: -355.51, z: 2101.82 
x: -8.03, y: -360.30, z: 2094.95 
x: -10.09, y: -371.24, z: 2092.66 
x: -15.53, y: -377.75, z: 2134.05 
x: -9.37, y: -374.06, z: 2122.43 
x: -10.94, y: -383.70, z: 2117.52 
x: -17.26, y: -383.64, z: 2125.82 
x: -18.95, y: -381.71, z: 2132.84 
x: -11.01, y: -365.24, z: 2102.78 
x: -4.46, y: -349.41, z: 2096.90 
x: -4.29, y: -333.02, z: 2094.45 
x: -10.43, y: -368.71, z: 2107.34 
x: -11.46, y: -369.97, z: 2111.05 
x: -18.97, y: -377.45, z: 2139.08 
x: -14.12, y: -363.72, z: 2116.03 
x: -14.89, y: -348.90, z: 2112.87 
x: -16.31, y: -353.30, z: 2112.80 
x: -16.20, y: -347.50, z: 2104.59 
x: -17.96, y: -345.67, z: 2090.40 
x: -16.62, y: -347.69, z: 2098.30 
x: -15.56, y: -349.92, z: 2099.56 
x: -14.06, y: -351.40, z: 2099.79 
x: -11.88, y: -348.82, z: 2103.61 
x: -12.50, y: -353.36, z: 2101.56 
x: -24.08, y: -306.92, z: 2119.93 
x: -12.38, y: -330.61, z: 2114.32 
x: -8.96, y: -341.71, z: 2115.27 
x: -13.60, y: -335.18, z: 2104.50 
x: -6.72, y: -343.93, z: 2104.14 
x: -4.69, y: -346.00, z: 2109.70 
x: -9.56, y: -324.95, z: 2106.39 
x: -2.86, y: -355.35, z: 2098.18 
x: -1.95, y: -346.16, z: 2089.52 
x: -1.11, y: -356.40, z: 2093.63 
x: -13.03, y: -368.92, z: 2079.63 
x: -6.65, y: -369.36, z: 2084.03 
x: -3.54, y: -365.90, z: 2074.26 
x: -5.80, y: -389.69, z: 2064.80 
x: -5.21, y: -389.26, z: 2066.00 
x: -3.18, y: -393.85, z: 2082.59 
x: -8.50, y: -385.70, z: 2060.03 
x: -7.64, y: -369.25, z: 2040.46 
x: -29.31, y: -429.94, z: 2076.23 
x: -12.26, y: -408.82, z: 2074.97 
x: -7.85, y: -401.53, z: 2075.08 
x: -6.63, y: -395.12, z: 2071.77 
x: -5.94, y: -353.07, z: 2038.85 
x: -5.47, y: -370.59, z: 2050.94 
x: -1.46, y: -393.37, z: 2081.20 
x: -4.50, y: -384.54, z: 2064.98 
x: -6.11, y: -380.71, z: 2057.10 
x: -3.25, y: -376.99, z: 2065.49 
x: -4.61, y: -367.71, z: 2055.36 
x: -4.58, y: -399.21, z: 2064.76 
x: -5.43, y: -405.75, z: 2064.50 
x: -8.72, y: -408.77, z: 2064.80 
x: -10.36, y: -403.16, z: 2047.92 
x: -9.42, y: -406.40, z: 2060.97 
x: -7.95, y: -380.07, z: 2057.59 
x: -5.70, y: -383.64, z: 2071.89 
x: -5.29, y: -383.23, z: 2068.10 
x: -1.71, y: -392.93, z: 2072.86 
x: 2.91, y: -371.80, z: 2029.66 
x: -59.02, y: -285.84, z: 1905.36 
x: -3.44, y: -291.50, z: 1937.77 
x: 17.48, y: -302.58, z: 1977.43 
x: 1.47, y: -297.36, z: 1955.43 
x: 13.08, y: -311.11, z: 1960.63 
x: 10.99, y: -316.58, z: 1957.33 
x: 13.59, y: -313.67, z: 1969.41 
x: 10.19, y: -311.57, z: 1963.71 
x: 5.89, y: -312.12, z: 1958.40 
x: 3.26, y: -298.27, z: 1960.63 
x: 6.79, y: -307.19, z: 1962.42 
x: 6.79, y: -308.11, z: 1962.28 
x: 7.23, y: -306.61, z: 1963.62 
x: 6.74, y: -306.74, z: 1961.81 
x: 8.36, y: -303.85, z: 1962.61 
x: 9.09, y: -306.84, z: 1966.25 
x: 7.82, y: -307.68, z: 1964.87 
x: 6.06, y: -302.96, z: 1960.50 
x: 4.53, y: -306.27, z: 1962.09 
x: -2.07, y: -276.19, z: 1957.97 
x: -36.18, y: -228.86, z: 1840.10 
x: 187.31, y: -167.51, z: 1992.11 
x: 212.03, y: -181.09, z: 1939.41 
x: 222.72, y: -156.96, z: 1915.72 
x: 228.57, y: -164.35, z: 1905.69 
x: 245.76, y: -133.71, z: 1903.05 
x: -223.73, y: 155.36, z: 1799.36 
x: -245.77, y: 161.17, z: 1812.73 
x: 210.37, y: -240.60, z: 1872.51 
x: -330.36, y: 27.50, z: 1816.17 
x: -208.59, y: -181.29, z: 1802.46 
x: -200.27, y: -340.33, z: 1901.33 
x: -199.16, y: -318.17, z: 1895.10 
x: -200.98, y: -294.81, z: 1895.86 
x: -152.21, y: -307.56, z: 2021.63 
x: -136.30, y: -341.17, z: 1990.93 
x: -198.55, y: -329.14, z: 2193.48 
x: -219.42, y: -364.22, z: 2091.35 
x: -202.38, y: -246.79, z: 2411.72 
x: -231.40, y: -384.55, z: 2351.54 
x: -116.50, y: -294.62, z: 2143.41 
x: -226.66, y: -242.37, z: 2176.02 
x: -116.25, y: -268.53, z: 1891.65 
x: -113.32, y: -362.18, z: 1886.16 
x: -117.35, y: -306.32, z: 1854.73 
x: -70.60, y: -297.46, z: 1846.23 
x: -152.70, y: -186.80, z: 1696.01 
x: -100.21, y: -320.53, z: 1843.06 
x: -117.52, y: -383.22, z: 1879.27 
x: -207.82, y: -276.19, z: 1829.81 
x: -184.65, y: -295.63, z: 1807.03 
x: -197.29, y: -330.41, z: 1803.08 
x: -42.60, y: -341.32, z: 1829.03 
x: -137.59, y: -251.25, z: 1832.71 
x: -118.89, y: -296.63, z: 1962.88 
x: -96.77, y: -281.51, z: 1966.69 
x: -68.93, y: -325.01, z: 1940.05 
x: -45.50, y: -291.21, z: 1920.03 
x: -26.16, y: -283.70, z: 1950.64 
x: -0.66, y: -271.43, z: 1983.87 
x: -7.30, y: -286.27, z: 1962.42 
x: -22.32, y: -315.02, z: 1942.99 
x: -13.66, y: -292.67, z: 1952.25 
x: -10.81, y: -305.22, z: 1963.98 
x: -13.57, y: -316.43, z: 1952.80 
x: -3.23, y: -320.23, z: 1960.71 
x: -4.01, y: -329.74, z: 1962.12 
x: 5.69, y: -313.64, z: 1956.08 
x: -0.70, y: -315.63, z: 1948.79 
x: -8.87, y: -316.59, z: 1936.36 
x: -5.49, y: -318.88, z: 1935.27 
x: 0.76, y: -305.73, z: 1944.40 
x: 0.84, y: -301.73, z: 1940.74 
x: 2.96, y: -314.03, z: 1949.94 
x: -4.23, y: -321.71, z: 1947.17 
x: -18.39, y: -295.53, z: 1931.90 
x: 8.18, y: -314.56, z: 1983.44 
x: 94.87, y: -296.53, z: 2166.57 
x: 96.84, y: -327.97, z: 2195.95 
x: 82.61, y: -347.15, z: 2137.22 
x: 83.77, y: -352.40, z: 2152.27 
x: 98.41, y: -352.56, z: 2142.67 
x: 46.34, y: -291.68, z: 2056.41 
x: 15.89, y: -320.60, z: 2077.94 
x: 37.87, y: -330.94, z: 2111.54 
x: 37.82, y: -330.71, z: 2118.93 
x: 37.85, y: -306.73, z: 2135.88 
x: 32.87, y: -308.16, z: 2133.64 
x: 32.96, y: -324.40, z: 2145.25 
x: 32.88, y: -344.53, z: 2137.40 
x: 32.92, y: -348.70, z: 2135.33 
x: 36.74, y: -333.61, z: 2148.17 
x: 32.28, y: -344.72, z: 2138.70 
x: 26.91, y: -345.54, z: 2124.45 
x: 27.50, y: -337.31, z: 2126.31 
x: 39.22, y: -334.08, z: 2140.19 
x: 45.24, y: -328.64, z: 2157.48 
x: 41.08, y: -333.92, z: 2150.21 
x: 33.27, y: -330.68, z: 2139.39 
x: 35.83, y: -333.71, z: 2146.03 
x: 31.71, y: -305.02, z: 2136.10 
x: 24.92, y: -298.76, z: 2097.21 
x: -9.93, y: -291.69, z: 1935.86 
x: -49.41, y: -277.96, z: 1910.96 
x: -143.29, y: -283.95, z: 1819.54 
x: -193.80, y: -235.04, z: 1730.38 
x: -174.39, y: -278.78, z: 1630.63 
x: -53.34, y: -282.15, z: 1552.86 
x: -163.41, y: -320.20, z: 1228.26 
x: -56.10, y: -459.63, z: 1434.71 
x: -61.41, y: -484.72, z: 1423.26 
x: -85.03, y: -486.56, z: 1318.64 
x: -85.70, y: -488.40, z: 1339.59 
x: -90.65, y: -508.01, z: 1396.19 
x: -95.71, y: -491.96, z: 1380.84 
x: -90.86, y: -491.17, z: 1398.50 
x: -97.24, y: -485.22, z: 1391.98 
x: -99.44, y: -482.07, z: 1394.84 
x: -101.56, y: -510.38, z: 1398.41 
x: -168.93, y: -335.70, z: 1186.96 
x: -179.11, y: -259.57, z: 1246.78 
x: -171.61, y: -343.91, z: 1334.44 
x: -131.06, y: -264.80, z: 1430.92 
x: -152.17, y: -291.00, z: 1397.58 
x: -172.52, y: -385.05, z: 1354.38 
x: -172.69, y: -437.74, z: 1361.42 
x: -217.94, y: -381.16, z: 1353.90 
x: -216.01, y: -299.17, z: 1363.34 
x: -227.77, y: -331.35, z: 1253.00 
x: -327.91, y: -402.44, z: 1021.97 
x: -247.53, y: -373.67, z: 942.12 
x: -222.83, y: -249.57, z: 946.16 
x: -225.77, y: 77.08, z: 515.93 
x: -225.77, y: 77.08, z: 515.93 
x: -225.77, y: 77.08, z: 515.93 
