x: -100.19, y: 502.34, z: 2085.29 
x: -105.08, y: 494.38, z: 2082.67 
x: -99.42, y: 504.20, z: 2091.40 
x: -101.08, y: 504.25, z: 2093.75 
x: -102.73, y: 495.51, z: 2114.20 
x: -107.60, y: 501.19, z: 2157.13 
x: -116.51, y: 491.46, z: 2164.13 
x: -121.01, y: 489.26, z: 2159.25 
x: -118.82, y: 507.57, z: 2152.58 
x: -101.07, y: 498.22, z: 2137.26 
x: -94.83, y: 478.03, z: 2132.40 
x: -97.48, y: 480.02, z: 2122.74 
x: -96.07, y: 483.82, z: 2120.31 
x: -86.11, y: 492.89, z: 2126.12 
x: -94.01, y: 500.56, z: 2114.59 
x: -95.19, y: 511.38, z: 2111.74 
x: -96.12, y: 501.75, z: 2116.40 
x: -99.10, y: 493.47, z: 2120.08 
x: -100.04, y: 494.88, z: 2120.54 
x: -105.67, y: 505.57, z: 2128.43 
x: -106.23, y: 509.92, z: 2128.58 
x: -103.88, y: 518.15, z: 2128.30 
x: -104.57, y: 522.90, z: 2124.14 
x: -103.64, y: 523.49, z: 2127.73 
x: -102.25, y: 517.38, z: 2122.92 
x: -102.14, y: 520.80, z: 2121.64 
x: -101.72, y: 520.60, z: 2121.40 
x: -101.15, y: 522.90, z: 2119.86 
x: -100.74, y: 525.97, z: 2120.49 
x: -105.43, y: 533.16, z: 2096.49 
x: -104.95, y: 535.76, z: 2113.08 
x: -102.61, y: 541.18, z: 2120.49 
x: -102.87, y: 547.45, z: 2129.62 
x: -102.62, y: 555.03, z: 2123.63 
x: -104.31, y: 553.88, z: 2117.52 
x: -107.19, y: 562.12, z: 2121.40 
x: -104.55, y: 566.25, z: 2129.75 
x: -101.24, y: 572.09, z: 2130.21 
x: -98.82, y: 577.65, z: 2137.36 
x: -74.52, y: 513.40, z: 2087.32 
x: -75.98, y: 544.36, z: 2114.47 
x: -76.44, y: 507.56, z: 2124.86 
x: -81.76, y: 506.01, z: 2129.52 
x: -71.85, y: 556.78, z: 2130.54 
x: -74.53, y: 523.14, z: 2116.64 
x: -65.69, y: 543.31, z: 2119.79 
x: -65.00, y: 506.54, z: 2028.56 
x: -94.41, y: 412.55, z: 2064.50 
x: -77.08, y: 493.78, z: 2099.35 
x: -76.58, y: 523.30, z: 2109.47 
x: -79.27, y: 522.82, z: 2118.74 
x: -73.77, y: 489.32, z: 2051.12 
x: -69.13, y: 532.34, z: 2068.85 
x: -79.66, y: 448.47, z: 2075.91 
x: -71.68, y: 498.32, z: 2089.41 
x: -72.70, y: 552.62, z: 2106.02 
x: -42.64, y: 557.49, z: 2139.59 
x: -43.79, y: 508.75, z: 2113.89 
x: -81.22, y: 448.99, z: 2123.49 
x: -75.56, y: 472.00, z: 2112.82 
x: -73.72, y: 455.01, z: 2086.81 
x: -70.05, y: 507.46, z: 2099.46 
x: -67.73, y: 472.64, z: 2095.60 
x: -65.69, y: 508.49, z: 2101.37 
x: -62.40, y: 511.01, z: 2102.32 
x: -60.69, y: 534.42, z: 2103.89 
x: -38.26, y: 508.89, z: 2108.46 
x: -16.49, y: 578.22, z: 2114.95 
x: 20.57, y: 585.59, z: 2125.45 
x: 39.30, y: 577.27, z: 2132.52 
x: 52.22, y: 569.66, z: 2134.00 
x: 64.91, y: 576.36, z: 2119.51 
x: 63.97, y: 571.69, z: 2126.73 
x: 62.77, y: 571.25, z: 2127.73 
x: 62.72, y: 579.60, z: 2118.77 
x: 63.46, y: 576.04, z: 2123.34 
x: 65.20, y: 574.41, z: 2123.62 
x: 64.81, y: 571.83, z: 2125.60 
x: 63.98, y: 570.35, z: 2125.57 
x: 65.74, y: 570.03, z: 2127.82 
x: 66.13, y: 571.34, z: 2127.04 
x: 68.55, y: 572.15, z: 2124.57 
x: 68.54, y: 571.94, z: 2124.43 
x: 69.90, y: 572.77, z: 2125.52 
x: 70.35, y: 574.75, z: 2126.66 
x: 72.65, y: 575.71, z: 2133.74 
x: 71.90, y: 575.03, z: 2130.42 
x: 84.92, y: 598.13, z: 2107.35 
x: 111.84, y: 591.26, z: 2109.22 
x: 136.21, y: 607.68, z: 2115.47 
x: 140.00, y: 615.07, z: 2101.21 
x: 165.20, y: 666.00, z: 2047.10 
x: 193.41, y: 632.39, z: 2049.35 
x: 240.78, y: 621.27, z: 2018.00 
x: 248.51, y: 611.94, z: 2025.80 
x: 211.51, y: 621.65, z: 2025.46 
x: 169.67, y: 627.35, z: 2009.51 
x: 27.09, y: 616.85, z: 1991.23 
x: -74.74, y: 637.13, z: 1959.02 
x: -220.19, y: 581.35, z: 1934.06 
x: -236.02, y: 572.97, z: 1967.09 
x: -215.14, y: 581.40, z: 2002.76 
x: -207.98, y: 563.04, z: 2107.47 
x: -150.89, y: 482.88, z: 2274.76 
x: -297.52, y: 456.61, z: 2212.96 
x: -287.43, y: 374.60, z: 2330.13 
