x: 74.51, y: 510.05, z: 2033.10 
x: 74.40, y: 502.43, z: 2032.12 
x: 73.80, y: 505.58, z: 2030.31 
x: 60.91, y: 512.28, z: 2048.66 
x: 60.01, y: 503.55, z: 2071.57 
x: 57.23, y: 509.52, z: 2095.11 
x: 53.16, y: 500.69, z: 2101.85 
x: 52.08, y: 503.14, z: 2107.37 
x: 48.58, y: 518.73, z: 2096.18 
x: 59.29, y: 505.39, z: 2085.08 
x: 64.33, y: 486.19, z: 2095.27 
x: 65.91, y: 486.90, z: 2090.43 
x: 66.13, y: 490.35, z: 2086.85 
x: 81.07, y: 493.30, z: 2081.95 
x: 69.31, y: 503.80, z: 2076.80 
x: 66.43, y: 512.49, z: 2077.26 
x: 68.08, y: 503.57, z: 2080.48 
x: 67.37, y: 496.78, z: 2084.51 
x: 67.29, y: 499.13, z: 2087.05 
x: 55.48, y: 514.72, z: 2088.11 
x: 54.67, y: 520.71, z: 2091.24 
x: 56.72, y: 527.82, z: 2093.12 
x: 57.92, y: 532.28, z: 2092.16 
x: 57.37, y: 533.31, z: 2089.77 
x: 64.68, y: 524.59, z: 2080.49 
x: 63.07, y: 528.81, z: 2082.11 
x: 62.81, y: 529.12, z: 2082.40 
x: 62.56, y: 531.52, z: 2081.41 
x: 62.64, y: 534.07, z: 2081.73 
x: 62.09, y: 535.32, z: 2082.80 
x: 56.75, y: 542.77, z: 2089.63 
x: 59.51, y: 548.23, z: 2090.37 
x: 59.41, y: 556.24, z: 2094.81 
x: 61.18, y: 562.76, z: 2092.98 
x: 61.75, y: 561.60, z: 2093.28 
x: 64.39, y: 569.75, z: 2097.73 
x: 67.40, y: 576.37, z: 2102.26 
x: 70.69, y: 582.55, z: 2105.21 
x: 71.68, y: 588.31, z: 2111.72 
x: 92.36, y: 515.07, z: 2078.41 
x: 83.39, y: 549.40, z: 2094.15 
x: 105.72, y: 503.90, z: 2111.61 
x: 104.39, y: 503.54, z: 2114.98 
x: 87.16, y: 561.10, z: 2107.40 
x: 74.28, y: 531.13, z: 2068.72 
x: 73.58, y: 550.77, z: 2085.10 
x: 77.30, y: 509.99, z: 2026.46 
x: 71.69, y: 412.48, z: 2017.11 
x: 72.95, y: 497.96, z: 2047.99 
x: 68.66, y: 530.02, z: 2057.50 
x: 69.21, y: 530.60, z: 2066.61 
x: 83.88, y: 490.72, z: 2061.08 
x: 77.58, y: 535.55, z: 2060.55 
x: 65.22, y: 454.45, z: 2018.53 
x: 73.19, y: 504.64, z: 2056.59 
x: 85.14, y: 553.76, z: 2107.71 
x: 97.96, y: 558.17, z: 2120.73 
x: 95.22, y: 507.41, z: 2106.73 
x: 76.22, y: 457.59, z: 2077.55 
x: 71.36, y: 480.62, z: 2073.52 
x: 70.86, y: 459.45, z: 2056.52 
x: 66.75, y: 512.79, z: 2094.76 
x: 64.71, y: 480.40, z: 2072.91 
x: 69.61, y: 515.19, z: 2083.75 
x: 76.86, y: 517.26, z: 2064.76 
x: 85.99, y: 539.76, z: 2070.55 
x: 111.77, y: 509.91, z: 2069.54 
x: 154.15, y: 572.04, z: 2092.86 
x: 184.39, y: 591.14, z: 2091.70 
x: 199.63, y: 582.78, z: 2087.81 
x: 210.17, y: 571.91, z: 2083.12 
x: 217.95, y: 571.88, z: 2069.71 
x: 220.49, y: 568.69, z: 2069.35 
x: 221.68, y: 570.56, z: 2071.24 
x: 222.98, y: 573.78, z: 2066.48 
x: 222.98, y: 572.11, z: 2067.31 
x: 221.91, y: 572.38, z: 2064.18 
x: 219.84, y: 569.99, z: 2062.82 
x: 220.07, y: 568.76, z: 2062.52 
x: 221.60, y: 567.89, z: 2064.03 
x: 220.78, y: 569.12, z: 2061.80 
x: 219.54, y: 570.71, z: 2057.77 
x: 219.85, y: 570.12, z: 2059.27 
x: 219.94, y: 571.25, z: 2059.32 
x: 221.44, y: 572.74, z: 2059.69 
x: 221.83, y: 572.69, z: 2061.83 
x: 222.27, y: 572.67, z: 2062.67 
x: 224.38, y: 593.10, z: 2037.30 
x: 262.03, y: 573.70, z: 2049.42 
x: 280.17, y: 578.57, z: 2047.03 
x: 284.88, y: 576.53, z: 2035.38 
x: 318.35, y: 609.14, z: 2011.60 
x: 357.33, y: 542.33, z: 2022.49 
x: 377.32, y: 512.02, z: 2028.25 
x: 377.74, y: 505.35, z: 2025.32 
x: 359.42, y: 526.01, z: 2021.17 
x: 310.87, y: 556.73, z: 1980.27 
x: 220.61, y: 568.48, z: 1975.28 
x: 107.01, y: 604.20, z: 1955.76 
x: -60.25, y: 578.04, z: 1941.81 
x: -71.50, y: 575.92, z: 1951.68 
x: -54.60, y: 584.52, z: 1965.87 
x: -75.88, y: 573.78, z: 2009.95 
x: -127.91, y: 520.35, z: 2124.09 
x: -155.17, y: 507.89, z: 2129.41 
x: -135.89, y: 443.34, z: 2224.58 
x: -174.23, y: 522.64, z: 2064.44 
x: -114.86, y: 497.49, z: 2166.25 
x: -131.59, y: 487.50, z: 2170.35 
