x: -354.85, y: 809.78, z: 1963.75 
x: -356.23, y: 793.76, z: 1903.87 
x: -372.76, y: 765.24, z: 1879.24 
x: -373.62, y: 799.11, z: 1877.30 
x: -372.53, y: 800.86, z: 1896.67 
x: -359.88, y: 772.89, z: 1842.33 
x: -253.98, y: 852.50, z: 1785.83 
x: -265.62, y: 859.27, z: 1764.42 
x: -277.76, y: 853.51, z: 1723.07 
x: -295.49, y: 848.84, z: 1662.14 
x: -299.57, y: 847.86, z: 1583.85 
x: -299.51, y: 848.87, z: 1507.95 
x: -289.55, y: 853.31, z: 1434.43 
x: -264.85, y: 848.86, z: 1367.33 
x: -231.80, y: 833.44, z: 1313.84 
x: -204.42, y: 796.10, z: 1277.32 
x: -174.62, y: 761.26, z: 1264.17 
x: 47.94, y: 478.42, z: 1198.88 
x: 20.55, y: 490.76, z: 1374.07 
x: 6.08, y: 499.02, z: 1245.40 
x: 9.49, y: 490.82, z: 1210.90 
x: 4.52, y: 504.57, z: 1208.27 
x: 5.53, y: 512.71, z: 1203.99 
x: 1.36, y: 506.40, z: 1191.20 
x: -1.76, y: 505.54, z: 1184.97 
x: -4.58, y: 505.07, z: 1220.21 
x: 4.29, y: 508.95, z: 1178.54 
x: -2.80, y: 508.22, z: 1195.97 
x: 14.93, y: 509.12, z: 1320.14 
x: 5.68, y: 506.45, z: 1271.61 
x: 1.92, y: 504.99, z: 1248.42 
x: 5.77, y: 487.74, z: 1279.56 
x: 25.11, y: 478.10, z: 1402.02 
x: 20.97, y: 479.57, z: 1397.49 
x: 16.98, y: 469.24, z: 1371.49 
x: 18.99, y: 466.18, z: 1359.68 
x: 18.76, y: 461.48, z: 1357.92 
x: 17.54, y: 460.95, z: 1363.39 
x: 18.63, y: 458.05, z: 1363.94 
x: 22.86, y: 456.59, z: 1335.13 
x: 10.91, y: 420.64, z: 1184.22 
x: 5.68, y: 400.65, z: 1165.83 
x: 8.35, y: 401.46, z: 1171.88 
x: 15.31, y: 432.13, z: 1219.21 
x: 39.28, y: 448.37, z: 1340.77 
x: 30.49, y: 449.35, z: 1386.36 
x: 26.67, y: 455.07, z: 1409.82 
x: 23.89, y: 458.98, z: 1414.90 
x: 25.70, y: 454.77, z: 1305.94 
x: 21.81, y: 438.56, z: 1269.03 
x: 21.40, y: 430.63, z: 1215.12 
x: 7.12, y: 386.80, z: 1082.39 
x: 2.21, y: 385.16, z: 1087.54 
x: 4.39, y: 394.90, z: 1113.30 
x: 31.33, y: 433.97, z: 1304.63 
x: 36.15, y: 461.63, z: 1401.51 
x: 38.54, y: 460.55, z: 1410.24 
x: 35.31, y: 461.33, z: 1425.23 
x: 35.45, y: 461.48, z: 1422.19 
x: 15.52, y: 455.21, z: 1309.32 
x: 33.06, y: 404.63, z: 1200.56 
x: 25.15, y: 401.91, z: 1200.02 
x: 28.71, y: 389.69, z: 1170.93 
x: 27.00, y: 391.84, z: 1180.24 
x: 28.81, y: 447.91, z: 1291.19 
x: 46.01, y: 457.46, z: 1402.57 
x: 32.11, y: 462.77, z: 1433.10 
x: 30.62, y: 457.80, z: 1445.23 
x: 32.67, y: 459.31, z: 1448.66 
x: 33.44, y: 461.24, z: 1436.99 
x: 28.52, y: 433.05, z: 1253.10 
x: 28.95, y: 424.48, z: 1205.94 
x: 11.99, y: 408.55, z: 1164.97 
x: 15.92, y: 408.69, z: 1166.34 
x: 34.18, y: 454.20, z: 1282.67 
x: 47.14, y: 468.57, z: 1417.85 
