x: -629.82, y: 349.42, z: 2070.83 
x: -622.81, y: 340.09, z: 2057.61 
x: -612.50, y: 335.26, z: 2059.98 
x: -603.58, y: 349.03, z: 2066.92 
x: -591.88, y: 342.58, z: 2069.07 
x: -568.01, y: 337.20, z: 2048.09 
x: -541.84, y: 367.05, z: 2018.72 
x: -546.10, y: 404.72, z: 1824.98 
x: -624.67, y: 387.17, z: 1561.17 
x: -669.32, y: 373.38, z: 1395.33 
x: -505.14, y: 463.66, z: 1295.34 
x: -490.22, y: 401.86, z: 1210.95 
x: -413.63, y: 323.28, z: 1104.34 
x: -302.49, y: 312.34, z: 1086.56 
x: -216.43, y: 196.14, z: 1137.19 
x: -231.41, y: 68.86, z: 1139.92 
x: -202.89, y: 35.52, z: 1151.41 
x: -199.73, y: 13.40, z: 1230.52 
x: -209.84, y: 1.90, z: 1305.17 
x: -209.88, y: 8.72, z: 1231.55 
x: -211.69, y: 7.24, z: 1246.10 
x: -212.41, y: 9.76, z: 1261.63 
x: -216.36, y: 22.77, z: 1293.08 
x: -223.48, y: 23.91, z: 1282.75 
x: -281.89, y: 113.96, z: 1102.46 
x: -180.93, y: 42.32, z: 1054.76 
x: -232.42, y: 45.25, z: 1172.68 
x: -229.94, y: 38.97, z: 1201.64 
x: -216.83, y: 29.20, z: 1190.30 
x: -221.92, y: 31.83, z: 1200.92 
x: -221.55, y: 23.44, z: 1232.31 
x: -219.27, y: 15.12, z: 1250.68 
x: -210.32, y: -13.12, z: 1378.22 
x: -207.28, y: -26.89, z: 1321.33 
x: -211.69, y: -12.97, z: 1289.01 
x: -206.46, y: -18.06, z: 1279.64 
x: -209.40, y: -15.00, z: 1346.24 
x: -198.87, y: -38.12, z: 1359.10 
x: -204.35, y: -25.82, z: 1344.57 
x: -210.45, y: -38.27, z: 1311.34 
x: -203.82, y: -53.68, z: 1285.34 
x: -197.15, y: -51.27, z: 1263.09 
x: -208.71, y: -53.25, z: 1144.78 
x: -209.89, y: -37.97, z: 1191.54 
x: -223.80, y: -49.50, z: 1305.67 
x: -214.71, y: -29.85, z: 1279.50 
x: -217.07, y: -21.82, z: 1322.68 
x: -218.41, y: -27.18, z: 1330.14 
x: -214.46, y: -21.50, z: 1352.72 
x: -203.99, y: 2.46, z: 1160.79 
x: -200.36, y: -10.84, z: 1118.60 
x: -198.65, y: 0.77, z: 1130.48 
x: -205.88, y: -22.55, z: 1191.62 
x: -211.34, y: -74.79, z: 1327.22 
x: -212.31, y: -65.10, z: 1333.11 
x: -194.20, y: -80.27, z: 1319.20 
x: -189.25, y: -76.83, z: 1316.93 
x: -205.43, y: -35.63, z: 1442.27 
x: -201.00, y: -30.38, z: 1322.06 
x: -206.31, y: -31.19, z: 1342.94 
x: -211.74, y: -56.10, z: 1317.32 
x: -185.17, y: 5.34, z: 1175.39 
x: -189.65, y: 15.64, z: 1144.29 
x: -186.38, y: 16.01, z: 1139.60 
x: -192.60, y: -14.99, z: 1186.55 
x: -227.25, y: -20.93, z: 1345.83 
x: -226.52, y: -31.78, z: 1344.43 
x: -211.87, y: -39.61, z: 1138.39 
x: -222.20, y: -23.57, z: 1291.98 
x: -216.74, y: -35.94, z: 1336.37 
x: -212.02, y: -44.86, z: 1348.08 
x: -192.86, y: 14.61, z: 1082.13 
x: -195.56, y: 16.47, z: 1098.66 
x: -223.77, y: -55.95, z: 1222.05 
x: -215.40, y: -38.41, z: 1219.58 
x: -202.13, y: -10.66, z: 1422.78 
x: -183.54, y: -31.54, z: 1311.57 
x: -237.77, y: -55.00, z: 1154.58 
x: -206.52, y: -41.53, z: 1204.24 
x: -220.42, y: -37.02, z: 1351.16 
x: -208.15, y: -21.44, z: 1250.09 
x: -208.62, y: 3.44, z: 1091.25 
x: -203.66, y: -4.38, z: 1108.33 
x: -221.18, y: -66.94, z: 1226.19 
x: -214.67, y: -55.72, z: 1272.85 
x: -213.93, y: -35.55, z: 1353.34 
x: -203.41, y: -26.03, z: 1175.72 
x: -202.98, y: -22.56, z: 1153.25 
x: -190.15, y: -15.74, z: 1151.83 
x: -209.04, y: -60.56, z: 1330.75 
x: -214.97, y: -62.84, z: 1298.86 
x: -199.45, y: -3.94, z: 1117.82 
