x: -473.32, y: -771.17, z: 2177.03 
x: -471.51, y: -774.76, z: 2163.16 
x: -468.66, y: -781.24, z: 2157.96 
x: -471.43, y: -783.94, z: 2148.52 
x: -474.04, y: -788.68, z: 2138.46 
x: -471.53, y: -792.30, z: 2125.46 
x: -408.10, y: -614.20, z: 1462.22 
x: -414.49, y: -599.70, z: 1445.78 
x: -429.33, y: -567.93, z: 1469.49 
x: -441.08, y: -575.89, z: 1455.33 
x: -410.24, y: -658.32, z: 1421.76 
x: -410.63, y: -636.43, z: 1383.50 
x: -392.23, y: -644.01, z: 1372.14 
x: -375.90, y: -662.80, z: 1342.26 
x: -341.04, y: -676.75, z: 1347.28 
x: -323.50, y: -828.96, z: 1373.13 
x: -320.49, y: -814.27, z: 1274.51 
x: -303.21, y: -874.66, z: 1379.99 
x: -246.90, y: -893.91, z: 1329.77 
x: -231.05, y: -917.11, z: 1397.38 
x: -167.75, y: -727.58, z: 1395.90 
x: -155.56, y: -643.60, z: 1234.66 
x: -145.08, y: -706.89, z: 1257.09 
x: -108.53, y: -718.49, z: 1378.69 
x: -112.46, y: -687.78, z: 1345.70 
x: -167.10, y: -928.88, z: 1456.32 
x: -84.55, y: -664.29, z: 1334.27 
x: -87.77, y: -972.06, z: 1401.24 
x: -45.98, y: -648.40, z: 1325.35 
x: -19.20, y: -605.79, z: 1320.33 
x: 57.18, y: -978.22, z: 1368.84 
x: -13.75, y: -602.82, z: 1315.89 
x: -52.94, y: -538.14, z: 1209.00 
x: -16.09, y: -630.94, z: 1323.83 
x: -29.34, y: -630.41, z: 1335.85 
x: 1.42, y: -583.50, z: 1309.09 
x: 16.44, y: -565.32, z: 1305.81 
x: 102.21, y: -536.06, z: 1017.11 
x: 25.22, y: -564.78, z: 1286.76 
x: 150.30, y: -325.97, z: 1322.74 
x: 155.79, y: -303.33, z: 1305.86 
x: 250.57, y: -571.38, z: 1183.88 
x: 100.59, y: -409.79, z: 1322.86 
x: 77.28, y: -252.77, z: 1324.01 
x: 89.66, y: -281.17, z: 1331.83 
x: 191.66, y: -468.14, z: 1506.64 
x: 75.86, y: -365.38, z: 1343.84 
x: 88.45, y: -339.89, z: 1333.06 
x: 96.62, y: -312.35, z: 1304.47 
x: 101.90, y: -307.23, z: 1303.76 
x: 100.09, y: -324.19, z: 1323.21 
x: 113.68, y: -318.00, z: 1305.20 
x: 115.71, y: -327.31, z: 1299.99 
x: 116.89, y: -331.85, z: 1298.89 
x: 120.02, y: -324.34, z: 1295.30 
x: 201.75, y: -304.51, z: 1307.19 
x: 88.16, y: -297.29, z: 1204.78 
x: 97.44, y: -298.03, z: 1206.45 
x: 101.31, y: -306.13, z: 1215.49 
x: 106.43, y: -310.44, z: 1225.78 
x: 118.75, y: -312.71, z: 1259.07 
x: 51.25, y: -316.80, z: 1233.22 
x: 76.54, y: -327.39, z: 1249.30 
x: 90.11, y: -304.68, z: 1281.64 
x: 105.88, y: -300.56, z: 1274.15 
x: 91.63, y: -335.67, z: 1151.18 
x: 99.00, y: -307.80, z: 1230.74 
