x: -726.24, y: 450.48, z: 1792.56 
x: -639.60, y: 80.59, z: 1887.51 
x: -611.48, y: 41.19, z: 2049.35 
x: -601.15, y: 69.03, z: 2000.14 
x: -595.11, y: 76.79, z: 1910.45 
x: -569.08, y: 176.97, z: 1756.83 
x: -543.83, y: 145.80, z: 1780.81 
x: -550.63, y: 154.23, z: 1863.65 
x: -621.22, y: 157.79, z: 1431.61 
x: -596.61, y: 335.58, z: 1181.46 
x: -576.73, y: 162.99, z: 1177.62 
x: -544.68, y: 152.32, z: 1226.92 
x: -469.61, y: 76.47, z: 982.84 
x: -349.90, y: 94.78, z: 901.55 
x: -232.15, y: -116.03, z: 957.13 
x: -244.77, y: -210.27, z: 907.11 
x: -231.32, y: -208.51, z: 929.05 
x: -205.93, y: -274.74, z: 889.22 
x: -218.28, y: -173.05, z: 1052.83 
x: -234.41, y: -74.90, z: 923.87 
x: -237.98, y: -135.31, z: 904.62 
x: -233.02, y: -144.93, z: 920.15 
x: -218.07, y: -147.22, z: 932.52 
x: -245.46, y: -111.15, z: 907.38 
x: -188.78, y: -91.65, z: 982.30 
x: -211.56, y: -285.87, z: 884.46 
x: -217.01, y: -255.31, z: 890.30 
x: -257.77, y: -101.12, z: 894.49 
x: -213.46, y: -261.59, z: 893.52 
x: -212.97, y: -269.20, z: 884.28 
x: -182.35, y: -277.21, z: 912.20 
x: -250.06, y: -175.27, z: 901.20 
x: -225.72, y: -139.63, z: 920.14 
x: -246.03, y: -163.49, z: 909.09 
x: -267.43, y: -122.19, z: 1069.68 
x: -217.33, y: -77.95, z: 984.66 
x: -228.31, y: -112.14, z: 1067.60 
x: -204.60, y: -177.90, z: 1042.65 
x: -237.13, y: -173.82, z: 1093.12 
x: -217.39, y: -182.31, z: 1002.72 
x: -242.96, y: -96.23, z: 915.75 
x: -190.44, y: -311.14, z: 886.55 
x: -211.10, y: -244.69, z: 897.45 
x: -263.80, y: -133.60, z: 915.43 
x: -260.84, y: -130.93, z: 893.93 
x: -245.08, y: -104.84, z: 880.14 
x: -220.24, y: -164.02, z: 1080.58 
x: -210.13, y: -166.14, z: 1025.66 
x: -199.91, y: -98.83, z: 997.64 
x: -220.15, y: -199.63, z: 938.72 
x: -228.19, y: -263.90, z: 902.87 
x: -219.34, y: -276.46, z: 922.41 
x: -269.97, y: -147.67, z: 929.52 
x: -252.41, y: -129.16, z: 936.22 
x: -233.71, y: -112.55, z: 950.36 
x: -248.67, y: -138.56, z: 950.11 
x: -237.27, y: -135.99, z: 965.05 
x: -196.84, y: -202.54, z: 958.08 
x: -214.14, y: -332.00, z: 911.77 
x: -234.77, y: -157.78, z: 1118.83 
x: -215.01, y: -133.18, z: 986.87 
x: -217.57, y: -244.78, z: 987.18 
x: -219.14, y: -257.23, z: 957.43 
x: -220.05, y: -247.90, z: 951.89 
x: -220.10, y: -259.23, z: 949.09 
x: -204.62, y: -193.77, z: 923.24 
x: -206.40, y: -203.38, z: 922.69 
x: -281.08, y: -153.32, z: 937.49 
x: -212.26, y: -295.42, z: 919.79 
x: -241.22, y: -189.07, z: 963.17 
x: -244.92, y: -108.04, z: 970.78 
x: -233.26, y: -233.95, z: 905.67 
x: -222.93, y: -250.69, z: 922.71 
x: -261.95, y: -106.32, z: 932.53 
x: -271.87, y: -116.50, z: 928.48 
x: -141.99, y: -119.21, z: 1159.27 
x: -242.00, y: -139.10, z: 973.34 
x: -246.02, y: -282.96, z: 973.58 
x: -203.36, y: -297.05, z: 927.72 
x: -276.51, y: -178.39, z: 1040.35 
x: -226.14, y: -97.37, z: 971.56 
x: -208.46, y: -302.89, z: 915.56 
x: -219.91, y: -270.39, z: 930.74 
x: -272.52, y: -127.45, z: 930.75 
x: -268.62, y: -120.60, z: 939.90 
x: -183.99, y: -356.01, z: 915.85 
x: -238.64, y: -208.79, z: 958.85 
x: -280.53, y: -142.95, z: 910.03 
x: -272.29, y: -164.66, z: 871.52 
x: -271.77, y: -126.43, z: 895.02 
x: -202.38, y: -117.94, z: 959.91 
x: -220.01, y: -194.48, z: 971.17 
x: -247.05, y: -175.79, z: 946.74 
x: -244.07, y: -205.25, z: 940.95 
x: -243.20, y: -190.18, z: 957.46 
x: -261.47, y: -260.18, z: 945.83 
x: -299.04, y: -234.18, z: 1150.50 
x: -244.20, y: -182.96, z: 925.27 
x: -240.27, y: -196.27, z: 938.15 
x: -222.49, y: -197.01, z: 976.39 
x: -261.64, y: -128.88, z: 951.82 
x: -245.11, y: -195.32, z: 950.15 
x: -278.47, y: -263.85, z: 984.08 
x: -241.34, y: -239.11, z: 959.82 
x: -236.21, y: -264.60, z: 940.60 
x: -218.26, y: -192.80, z: 939.55 
x: -273.65, y: -116.33, z: 931.98 
x: -276.14, y: -134.61, z: 916.15 
x: -250.27, y: -175.86, z: 956.36 
x: -263.30, y: -141.91, z: 1268.39 
x: -251.05, y: -146.12, z: 1137.33 
x: -239.44, y: -158.91, z: 1088.92 
x: -223.78, y: -277.45, z: 945.37 
x: -214.52, y: -272.44, z: 950.54 
x: -265.76, y: -180.58, z: 1050.79 
x: -261.99, y: -168.06, z: 928.05 
x: -257.84, y: -106.17, z: 922.34 
x: -237.04, y: -196.91, z: 1013.97 
x: -248.53, y: -103.23, z: 881.04 
x: -248.62, y: -114.69, z: 901.51 
x: -235.94, y: -206.94, z: 945.99 
x: -244.44, y: -142.15, z: 943.78 
x: -235.16, y: -153.21, z: 950.68 
x: -274.38, y: -143.56, z: 882.01 
