x: -456.06, y: 81.37, z: 1972.25 
x: -458.51, y: 78.68, z: 1971.13 
x: -459.73, y: 75.30, z: 1972.45 
x: -461.44, y: 77.03, z: 1970.89 
x: -461.01, y: 75.17, z: 1970.34 
x: -436.61, y: 89.98, z: 1932.71 
x: -400.37, y: 143.67, z: 1879.08 
x: -428.35, y: 156.15, z: 1715.51 
x: -486.13, y: 77.11, z: 1507.47 
x: -474.38, y: 96.53, z: 1372.05 
x: -420.38, y: 168.98, z: 1141.94 
x: -400.13, y: 157.74, z: 1077.66 
x: -285.83, y: 180.41, z: 1058.31 
x: -173.22, y: 124.10, z: 1055.08 
x: -89.73, y: 19.37, z: 1073.19 
x: -102.47, y: -105.36, z: 1183.65 
x: -62.69, y: -145.49, z: 1263.19 
x: -62.94, y: -143.96, z: 1252.15 
x: -73.47, y: -151.62, z: 1267.53 
x: -70.81, y: -152.16, z: 1252.64 
x: -70.58, y: -153.48, z: 1255.27 
x: -75.09, y: -144.41, z: 1286.15 
x: -76.11, y: -137.71, z: 1297.34 
x: -79.79, y: -134.83, z: 1304.69 
x: -56.53, y: -146.09, z: 1319.04 
x: -65.04, y: -140.76, z: 1311.11 
x: -70.21, y: -143.30, z: 1313.52 
x: -73.19, y: -141.57, z: 1308.75 
x: -72.43, y: -153.30, z: 1347.52 
x: -73.26, y: -156.56, z: 1345.02 
x: -74.17, y: -154.14, z: 1339.82 
x: -75.49, y: -158.99, z: 1335.70 
x: -74.88, y: -160.16, z: 1337.46 
x: -43.88, y: -121.93, z: 1199.14 
x: -68.38, y: -142.63, z: 1229.89 
x: -66.56, y: -151.24, z: 1266.07 
x: -72.02, y: -162.24, z: 1278.03 
x: -97.14, y: -169.41, z: 1211.76 
x: -76.86, y: -164.53, z: 1263.78 
x: -85.03, y: -192.20, z: 1328.52 
x: -74.84, y: -217.01, z: 1310.68 
x: -86.98, y: -220.61, z: 1283.41 
x: -81.41, y: -228.25, z: 1285.93 
x: -61.05, y: -174.55, z: 1285.47 
x: -51.91, y: -198.46, z: 1305.82 
x: -116.09, y: -155.93, z: 1219.38 
x: -110.86, y: -150.58, z: 1281.21 
x: -87.78, y: -156.14, z: 1282.01 
x: -87.18, y: -198.57, z: 1365.31 
x: -86.19, y: -199.94, z: 1366.16 
x: -42.51, y: -177.24, z: 1275.07 
x: -51.13, y: -188.05, z: 1287.30 
x: -56.71, y: -196.03, z: 1299.43 
x: -58.77, y: -201.78, z: 1301.89 
x: -60.39, y: -205.22, z: 1306.89 
x: -60.35, y: -159.25, z: 1234.80 
x: -76.00, y: -166.90, z: 1258.71 
x: -106.21, y: -198.88, z: 1376.85 
x: -101.18, y: -198.62, z: 1371.35 
x: -95.94, y: -199.25, z: 1369.44 
x: -24.79, y: -213.21, z: 1280.95 
x: -84.81, y: -207.03, z: 1267.85 
x: -58.63, y: -215.24, z: 1270.64 
x: -58.46, y: -224.94, z: 1283.35 
x: -58.26, y: -222.48, z: 1289.67 
x: -102.19, y: -150.83, z: 1289.45 
x: -97.43, y: -142.87, z: 1290.29 
x: -93.99, y: -141.19, z: 1269.18 
x: -95.73, y: -142.91, z: 1276.96 
