x: -487.23, y: -360.05, z: 2006.91 
x: -486.09, y: -362.51, z: 2001.78 
x: -482.61, y: -370.00, z: 1997.50 
x: -481.40, y: -372.06, z: 1991.91 
x: -481.26, y: -376.67, z: 1990.23 
x: -469.55, y: -367.86, z: 1859.30 
x: -455.97, y: -248.90, z: 1684.55 
x: -489.51, y: -249.49, z: 1534.95 
x: -481.89, y: -342.78, z: 1561.80 
x: -498.46, y: -283.07, z: 1377.99 
x: -444.25, y: -240.77, z: 1033.39 
x: -416.42, y: -233.50, z: 965.15 
x: -294.05, y: -237.86, z: 1098.21 
x: -264.95, y: -254.93, z: 935.71 
x: -106.15, y: -394.30, z: 1137.97 
x: -119.79, y: -533.73, z: 1169.53 
x: -183.28, y: -497.15, z: 1049.86 
x: -173.71, y: -548.31, z: 1164.88 
x: -139.90, y: -551.08, z: 1128.58 
x: -133.03, y: -572.14, z: 1194.48 
x: -169.52, y: -316.25, z: 910.25 
x: -155.75, y: -367.17, z: 928.77 
x: -145.89, y: -408.66, z: 972.53 
x: -191.88, y: -204.86, z: 877.08 
x: -204.57, y: -178.29, z: 869.09 
x: -56.22, y: -570.05, z: 1282.70 
x: -61.44, y: -551.15, z: 1290.70 
x: -67.47, y: -571.88, z: 1297.40 
x: -64.33, y: -552.56, z: 1312.70 
x: -66.12, y: -561.35, z: 1322.99 
x: -58.68, y: -584.15, z: 1312.82 
x: -132.35, y: -199.64, z: 869.93 
x: -121.72, y: -250.53, z: 918.62 
x: -124.57, y: -287.07, z: 954.95 
x: -162.20, y: -296.22, z: 976.32 
x: -264.25, y: -202.08, z: 925.83 
x: -66.68, y: -633.22, z: 1496.10 
x: -90.99, y: -564.35, z: 1381.44 
x: -66.30, y: -615.76, z: 1426.75 
x: -71.19, y: -238.70, z: 1083.98 
x: -65.00, y: -272.58, z: 1101.23 
x: -50.63, y: -455.98, z: 926.01 
x: -72.88, y: -320.03, z: 1159.70 
x: -61.69, y: -330.78, z: 1164.17 
x: -56.16, y: -394.77, z: 1197.26 
x: -55.31, y: -580.47, z: 1195.23 
x: -234.53, y: -210.70, z: 909.49 
x: -226.70, y: -184.43, z: 898.24 
x: -319.38, y: -184.74, z: 942.34 
x: -280.46, y: -158.70, z: 914.33 
x: -72.15, y: -625.19, z: 1366.19 
x: -56.79, y: -622.63, z: 1341.40 
x: -59.14, y: -628.52, z: 1337.80 
x: -59.94, y: -638.46, z: 1338.78 
x: -83.80, y: -581.42, z: 1282.17 
x: -95.38, y: -585.63, z: 1258.14 
x: -97.46, y: -553.81, z: 1272.74 
x: -209.02, y: -160.11, z: 909.37 
x: -226.53, y: -151.83, z: 911.34 
x: -60.92, y: -641.80, z: 1370.79 
x: -76.90, y: -583.91, z: 1340.85 
x: -90.49, y: -164.13, z: 1020.23 
x: -53.34, y: -438.67, z: 1160.95 
x: -49.48, y: -473.41, z: 1188.04 
x: -79.27, y: -187.54, z: 1004.59 
x: -226.22, y: -209.34, z: 892.39 
x: -223.66, y: -168.43, z: 890.33 
x: -91.71, y: -597.08, z: 1273.58 
x: -114.72, y: -545.39, z: 1237.46 
x: -80.46, y: -225.91, z: 976.23 
x: -54.91, y: -645.14, z: 1361.12 
x: -52.52, y: -659.30, z: 1399.58 
x: -46.84, y: -632.50, z: 1372.74 
