x: -522.38, y: 560.11, z: 2021.94 
x: -528.29, y: 547.60, z: 2017.15 
x: -531.66, y: 542.36, z: 2012.22 
x: -529.87, y: 561.94, z: 2017.50 
x: -531.96, y: 557.72, z: 2014.60 
x: -529.32, y: 556.37, z: 2003.76 
x: -453.81, y: 587.95, z: 1871.62 
x: -517.74, y: 604.99, z: 1680.84 
x: -519.53, y: 539.86, z: 1497.98 
x: -551.86, y: 544.87, z: 1345.15 
x: -490.74, y: 631.99, z: 1134.77 
x: -490.56, y: 625.14, z: 1141.35 
x: -465.04, y: 599.01, z: 1116.21 
x: -430.35, y: 574.62, z: 1102.34 
x: -393.03, y: 551.70, z: 1093.90 
x: -165.36, y: 306.32, z: 1125.31 
x: -116.24, y: 256.26, z: 1251.59 
x: -131.47, y: 244.30, z: 1319.31 
x: -128.88, y: 238.68, z: 1357.52 
x: -152.65, y: 247.65, z: 1301.00 
x: -153.91, y: 246.65, z: 1295.96 
x: -150.81, y: 256.10, z: 1300.90 
x: -147.26, y: 261.31, z: 1305.52 
x: -147.49, y: 262.17, z: 1317.43 
x: -153.08, y: 244.45, z: 1304.13 
x: -151.93, y: 245.64, z: 1312.02 
x: -150.94, y: 248.01, z: 1315.75 
x: -150.46, y: 248.68, z: 1319.83 
x: -149.46, y: 249.09, z: 1315.40 
x: -147.09, y: 251.37, z: 1316.79 
x: -144.65, y: 253.48, z: 1321.42 
x: -137.36, y: 230.47, z: 1339.60 
x: -136.11, y: 221.72, z: 1373.19 
x: -134.56, y: 199.65, z: 1377.48 
x: -136.01, y: 210.58, z: 1353.07 
x: -132.82, y: 203.26, z: 1377.32 
x: -131.67, y: 204.55, z: 1372.56 
x: -120.46, y: 176.08, z: 1420.58 
x: -127.40, y: 189.95, z: 1403.33 
x: -130.60, y: 196.89, z: 1364.81 
x: -126.92, y: 184.28, z: 1274.78 
x: -125.26, y: 179.93, z: 1270.85 
x: -128.23, y: 174.16, z: 1276.07 
x: -132.23, y: 178.87, z: 1327.04 
x: -130.49, y: 178.62, z: 1351.31 
x: -124.03, y: 201.27, z: 1323.51 
x: -129.21, y: 209.63, z: 1360.24 
x: -130.46, y: 201.35, z: 1372.40 
x: -126.48, y: 205.70, z: 1401.03 
x: -131.81, y: 190.58, z: 1386.31 
x: -95.52, y: 212.84, z: 1264.13 
x: -130.53, y: 199.04, z: 1270.25 
x: -143.71, y: 183.92, z: 1279.64 
x: -139.74, y: 185.25, z: 1294.28 
x: -129.64, y: 174.77, z: 1333.37 
x: -120.23, y: 153.75, z: 1376.42 
x: -112.62, y: 155.83, z: 1407.56 
x: -111.82, y: 177.35, z: 1420.83 
x: -113.24, y: 180.40, z: 1419.32 
x: -113.75, y: 182.95, z: 1417.37 
x: -124.36, y: 168.52, z: 1337.18 
x: -113.04, y: 150.24, z: 1376.85 
x: -122.51, y: 155.88, z: 1348.23 
x: -126.53, y: 153.88, z: 1355.87 
x: -122.15, y: 172.20, z: 1375.98 
x: -125.06, y: 190.74, z: 1378.32 
x: -123.23, y: 188.02, z: 1391.56 
x: -149.64, y: 194.21, z: 1301.43 
x: -137.93, y: 197.19, z: 1348.43 
x: -127.39, y: 186.68, z: 1401.52 
x: -124.66, y: 189.96, z: 1384.88 
x: -128.87, y: 199.30, z: 1315.67 
x: -134.80, y: 189.30, z: 1321.69 
x: -142.87, y: 178.21, z: 1319.43 
x: -137.98, y: 180.14, z: 1328.51 
x: -128.40, y: 187.74, z: 1359.16 
x: -141.70, y: 144.77, z: 1415.84 
x: -137.31, y: 186.12, z: 1198.07 
x: -123.33, y: 184.69, z: 1264.61 
x: -126.23, y: 179.12, z: 1338.14 
x: -133.57, y: 173.14, z: 1367.84 
x: -140.19, y: 176.74, z: 1326.66 
x: -136.00, y: 180.64, z: 1315.58 
x: -138.79, y: 178.71, z: 1320.93 
x: -134.09, y: 189.64, z: 1361.70 
x: -136.21, y: 190.76, z: 1376.96 
x: -143.24, y: 182.71, z: 1376.06 
x: -140.33, y: 189.74, z: 1355.24 
