x: -363.59, y: 560.32, z: 2009.46 
x: -362.37, y: 546.19, z: 2006.16 
x: -372.57, y: 544.16, z: 1998.54 
x: -376.58, y: 564.78, z: 2005.13 
x: -379.25, y: 561.29, z: 2002.72 
x: -363.40, y: 564.36, z: 1988.11 
x: -292.81, y: 579.41, z: 1870.57 
x: -358.24, y: 604.74, z: 1652.41 
x: -370.82, y: 533.25, z: 1498.35 
x: -398.11, y: 552.08, z: 1325.55 
x: -372.36, y: 636.24, z: 1210.72 
x: -361.84, y: 630.26, z: 1187.44 
x: -343.62, y: 630.87, z: 1165.02 
x: -313.29, y: 625.21, z: 1145.59 
x: -276.03, y: 605.15, z: 1129.82 
x: -13.67, y: 300.54, z: 1097.64 
x: 29.62, y: 254.90, z: 1250.65 
x: 22.23, y: 244.66, z: 1319.79 
x: 16.51, y: 241.49, z: 1326.15 
x: -1.60, y: 249.90, z: 1290.74 
x: -0.92, y: 248.23, z: 1289.23 
x: -2.40, y: 256.20, z: 1282.39 
x: -1.29, y: 260.55, z: 1281.65 
x: -1.52, y: 260.98, z: 1287.33 
x: -6.07, y: 247.76, z: 1273.59 
x: -4.02, y: 248.70, z: 1284.58 
x: -3.46, y: 250.86, z: 1286.66 
x: -3.10, y: 251.57, z: 1291.29 
x: -2.37, y: 252.44, z: 1291.88 
x: -0.93, y: 251.29, z: 1292.76 
x: -0.82, y: 253.55, z: 1293.17 
x: 2.48, y: 230.25, z: 1316.65 
x: 4.95, y: 222.67, z: 1346.11 
x: 5.73, y: 217.07, z: 1358.10 
x: 6.87, y: 209.99, z: 1367.65 
x: 9.79, y: 205.53, z: 1370.71 
x: 10.56, y: 203.90, z: 1371.50 
x: 10.83, y: 201.51, z: 1372.21 
x: 11.12, y: 200.32, z: 1373.88 
x: 11.00, y: 198.20, z: 1373.48 
x: 7.62, y: 189.48, z: 1301.05 
x: 12.48, y: 180.46, z: 1300.17 
x: 11.88, y: 174.96, z: 1299.45 
x: 9.75, y: 189.04, z: 1319.45 
x: 16.27, y: 183.49, z: 1353.79 
x: 15.40, y: 182.30, z: 1358.88 
x: 16.07, y: 194.63, z: 1375.30 
x: 12.35, y: 193.50, z: 1376.41 
x: 15.20, y: 203.14, z: 1370.06 
x: 10.24, y: 188.26, z: 1350.91 
x: 31.19, y: 211.77, z: 1286.67 
x: 9.66, y: 204.40, z: 1258.56 
x: -2.44, y: 190.32, z: 1253.93 
x: 1.97, y: 190.08, z: 1267.76 
x: 12.64, y: 178.02, z: 1314.29 
x: 17.57, y: 172.92, z: 1338.94 
x: 19.89, y: 175.38, z: 1360.95 
x: 18.06, y: 178.24, z: 1370.50 
x: 19.07, y: 180.48, z: 1373.90 
x: 19.37, y: 182.82, z: 1372.58 
x: 16.71, y: 177.38, z: 1331.86 
x: 15.35, y: 170.84, z: 1316.81 
x: 14.89, y: 169.55, z: 1310.94 
x: 12.55, y: 166.99, z: 1315.12 
x: 18.74, y: 183.58, z: 1337.98 
x: 20.45, y: 188.02, z: 1362.70 
x: 19.48, y: 182.31, z: 1376.85 
x: 6.89, y: 184.85, z: 1320.65 
x: 11.03, y: 187.91, z: 1349.61 
x: 11.74, y: 189.70, z: 1364.48 
x: 12.34, y: 191.70, z: 1352.00 
x: 14.03, y: 201.12, z: 1322.11 
x: 10.97, y: 192.32, z: 1311.68 
x: 6.68, y: 182.77, z: 1309.19 
x: 8.32, y: 184.28, z: 1320.31 
x: 14.46, y: 189.65, z: 1349.66 
x: 4.91, y: 167.40, z: 1369.12 
x: 26.41, y: 180.93, z: 1243.00 
x: 17.71, y: 181.78, z: 1301.89 
x: 13.10, y: 183.76, z: 1337.48 
x: 3.29, y: 177.09, z: 1319.09 
