x: -107.93, y: 372.18, z: 1948.88 
x: -116.73, y: 343.30, z: 1932.44 
x: -175.95, y: 345.52, z: 2079.47 
x: -169.59, y: 347.84, z: 2093.42 
x: -169.09, y: 347.18, z: 2089.96 
x: -80.09, y: 323.00, z: 1946.60 
x: -71.96, y: 367.82, z: 1865.31 
x: -102.62, y: 377.16, z: 1714.99 
x: -173.36, y: 267.70, z: 1605.16 
x: -191.81, y: 346.05, z: 1437.72 
x: -122.07, y: 361.06, z: 1275.69 
x: -125.41, y: 393.57, z: 1216.80 
x: -33.96, y: 466.88, z: 1142.98 
x: 84.20, y: 427.15, z: 1132.06 
x: 193.36, y: 288.05, z: 1040.74 
x: 224.38, y: 66.26, z: 1127.75 
x: 232.41, y: 29.70, z: 1238.37 
x: 237.03, y: 29.52, z: 1318.68 
x: 228.00, y: 28.63, z: 1265.72 
x: 217.14, y: 13.29, z: 1269.02 
x: 182.63, y: 41.81, z: 1097.35 
x: 197.20, y: 30.45, z: 1137.12 
x: 203.19, y: 29.83, z: 1149.61 
x: 202.87, y: 38.71, z: 1039.37 
x: 227.98, y: 42.09, z: 1088.74 
x: 222.39, y: 39.93, z: 1117.95 
x: 219.52, y: 34.82, z: 1133.76 
x: 203.72, y: 32.28, z: 1185.12 
x: 218.66, y: 32.26, z: 1244.78 
x: 215.85, y: 22.11, z: 1227.55 
x: 212.26, y: 20.55, z: 1227.22 
x: 222.63, y: -6.77, z: 1248.37 
x: 228.20, y: -4.01, z: 1287.96 
x: 226.84, y: 6.40, z: 1299.78 
x: 229.64, y: -16.30, z: 1329.50 
x: 231.44, y: -16.10, z: 1305.38 
x: 233.65, y: -21.86, z: 1317.55 
x: 222.51, y: 3.18, z: 1268.66 
x: 231.11, y: -13.04, z: 1297.42 
x: 236.33, y: -27.65, z: 1329.62 
x: 188.45, y: 83.46, z: 1046.69 
x: 216.65, y: 8.20, z: 1177.04 
x: 214.37, y: 34.08, z: 1133.13 
x: 221.55, y: 26.01, z: 1172.77 
x: 226.12, y: -9.24, z: 1201.70 
x: 220.57, y: -39.09, z: 1241.38 
x: 219.77, y: -20.25, z: 1350.58 
x: 224.99, y: -20.99, z: 1337.78 
x: 225.03, y: -30.78, z: 1311.87 
x: 184.55, y: 79.89, z: 1032.80 
x: 237.41, y: 34.28, z: 1183.39 
x: 264.33, y: -15.79, z: 1263.45 
x: 187.84, y: 64.02, z: 992.10 
x: 209.85, y: 31.51, z: 1097.61 
x: 235.68, y: -55.45, z: 1277.51 
x: 206.62, y: 36.19, z: 1126.59 
x: 212.77, y: 5.29, z: 1215.50 
x: 215.90, y: -16.75, z: 1201.42 
x: 220.53, y: -23.95, z: 1211.79 
x: 241.95, y: -4.33, z: 1313.35 
x: 255.97, y: -5.41, z: 1339.88 
x: 211.01, y: -73.57, z: 1217.17 
x: 229.92, y: -59.45, z: 1259.04 
x: 242.29, y: -70.29, z: 1243.69 
x: 242.13, y: -50.02, z: 1246.35 
x: 233.76, y: -52.93, z: 1303.55 
x: 224.33, y: -43.76, z: 1255.30 
x: 222.00, y: -51.94, z: 1249.15 
x: 218.94, y: -49.03, z: 1274.60 
x: 199.43, y: -41.29, z: 1287.31 
x: 218.88, y: -53.44, z: 1260.72 
x: 227.69, y: -40.29, z: 1309.40 
x: 243.40, y: -45.01, z: 1303.32 
x: 241.97, y: -54.24, z: 1291.86 
x: 240.68, y: -53.47, z: 1286.32 
