x: -265.75, y: -731.42, z: 2022.97 
x: -284.66, y: -776.64, z: 2019.62 
x: -522.16, y: -762.87, z: 1988.87 
x: -383.51, y: -761.31, z: 2034.34 
x: -265.98, y: -811.78, z: 2045.35 
x: -267.61, y: -793.98, z: 2018.42 
x: -261.92, y: -710.52, z: 1920.92 
x: -287.08, y: -735.47, z: 1904.23 
x: -328.61, y: -769.85, z: 1532.94 
x: -311.77, y: -771.87, z: 1536.26 
x: -341.53, y: -682.10, z: 1505.07 
x: -330.23, y: -693.57, z: 1494.10 
x: -297.04, y: -658.12, z: 1454.09 
x: -273.72, y: -628.77, z: 1436.57 
x: -166.75, y: -585.93, z: 1340.83 
x: -130.77, y: -795.29, z: 1281.36 
x: 39.01, y: -460.83, z: 1097.73 
x: -64.04, y: -630.20, z: 1262.64 
x: -202.79, y: -843.91, z: 1369.60 
x: -129.42, y: -907.87, z: 1335.99 
x: -92.18, y: -943.46, z: 1315.01 
x: -52.53, y: -950.66, z: 1318.90 
x: -19.54, y: -940.18, z: 1327.03 
x: -18.29, y: -956.34, z: 1283.97 
x: 15.71, y: -760.93, z: 1263.25 
x: 29.64, y: -731.76, z: 1210.17 
x: 44.66, y: -803.15, z: 1152.17 
x: 42.06, y: -833.91, z: 1176.44 
x: 44.91, y: -762.99, z: 1212.56 
x: 71.54, y: -773.72, z: 1136.12 
x: 72.14, y: -809.23, z: 1148.85 
x: 87.96, y: -711.64, z: 1229.24 
x: 119.18, y: -867.94, z: 1220.67 
x: 103.89, y: -907.23, z: 1269.55 
x: 115.76, y: -899.61, z: 1218.94 
x: 95.36, y: -921.48, z: 1250.54 
x: 99.02, y: -925.45, z: 1246.68 
x: 107.38, y: -927.36, z: 1382.68 
x: 167.23, y: -531.46, z: 1026.81 
x: 140.57, y: -518.52, z: 1120.77 
x: 92.37, y: -791.54, z: 1248.38 
x: 110.54, y: -739.68, z: 1221.06 
x: 107.83, y: -731.99, z: 1202.18 
x: 172.65, y: -977.55, z: 1321.44 
x: 150.32, y: -1002.97, z: 1286.81 
x: 117.52, y: -717.24, z: 1234.07 
x: 102.91, y: -687.74, z: 1250.82 
x: 116.60, y: -663.62, z: 1247.39 
x: 29.58, y: -871.87, z: 1120.29 
x: 114.21, y: -695.00, z: 1292.68 
x: 143.16, y: -625.03, z: 1257.18 
x: 61.69, y: -961.66, z: 1145.36 
x: 134.93, y: -642.52, z: 1258.43 
x: 162.22, y: -969.91, z: 1111.41 
x: 168.99, y: -1028.80, z: 1212.22 
x: 144.17, y: -952.68, z: 1250.86 
x: 171.90, y: -960.90, z: 1297.82 
x: 107.47, y: -739.64, z: 1275.70 
x: 91.69, y: -1034.37, z: 1278.21 
x: 88.97, y: -1033.20, z: 1309.61 
x: 70.36, y: -748.80, z: 1296.82 
x: 83.07, y: -974.07, z: 1394.14 
x: 115.14, y: -739.99, z: 1305.99 
x: 139.44, y: -694.49, z: 1291.26 
x: 159.20, y: -652.48, z: 1281.01 
x: 35.18, y: -925.94, z: 1415.08 
x: 75.26, y: -953.34, z: 1383.16 
x: 94.26, y: -968.87, z: 1388.80 
x: 118.11, y: -985.79, z: 1323.24 
x: 149.84, y: -739.36, z: 1228.21 
x: 165.88, y: -1020.85, z: 1281.64 
x: 151.16, y: -1013.23, z: 1209.43 
x: 156.60, y: -1050.75, z: 1290.54 
x: 131.87, y: -825.06, z: 1252.06 
x: 141.33, y: -789.94, z: 1252.85 
x: 131.11, y: -747.98, z: 1264.08 
x: 191.13, y: -876.57, z: 1391.73 
x: 163.54, y: -723.52, z: 1346.44 
x: 201.39, y: -853.00, z: 1356.80 
x: 174.57, y: -887.92, z: 1320.88 
x: 165.99, y: -996.94, z: 1315.62 
x: 138.13, y: -741.31, z: 1291.13 
x: 160.53, y: -676.76, z: 1286.45 
x: 189.76, y: -954.73, z: 1348.88 
x: 182.31, y: -982.02, z: 1351.74 
x: 172.17, y: -707.27, z: 1298.96 
x: 194.38, y: -892.50, z: 1382.21 
x: 171.42, y: -913.08, z: 1329.08 
x: 186.55, y: -896.66, z: 1273.38 
x: 157.58, y: -958.00, z: 1256.39 
x: 151.03, y: -764.40, z: 1273.98 
x: 163.87, y: -713.95, z: 1262.70 
x: 238.41, y: -1013.22, z: 1312.53 
x: 295.08, y: -1005.59, z: 1365.27 
x: 242.70, y: -1004.61, z: 1373.98 
x: 202.75, y: -958.52, z: 1382.86 
x: 192.06, y: -956.34, z: 1386.64 
x: 155.58, y: -941.33, z: 1338.85 
x: 139.54, y: -941.75, z: 1351.81 
x: 130.72, y: -953.57, z: 1360.43 
x: 159.78, y: -994.62, z: 1280.73 
x: 158.87, y: -1016.14, z: 1292.80 
x: 210.41, y: -937.39, z: 1291.42 
x: 161.84, y: -996.75, z: 1280.30 
x: 147.46, y: -1007.91, z: 1283.23 
x: 130.59, y: -994.66, z: 1279.93 
x: 130.93, y: -878.76, z: 1221.80 
x: 134.06, y: -836.98, z: 1174.37 
x: 144.28, y: -908.59, z: 1197.49 
x: 156.57, y: -938.25, z: 1202.89 
x: 143.41, y: -782.31, z: 1223.37 
x: 150.92, y: -994.81, z: 1180.30 
x: 150.80, y: -796.61, z: 1227.26 
x: 153.05, y: -1028.32, z: 1229.03 
x: 150.55, y: -984.60, z: 1201.14 
x: 146.03, y: -996.10, z: 1236.72 
x: 138.41, y: -772.49, z: 1229.77 
x: 177.99, y: -543.27, z: 1057.63 
x: 143.04, y: -763.84, z: 1224.64 
x: 121.75, y: -637.80, z: 1129.30 
x: 139.88, y: -747.61, z: 1251.18 
x: 154.79, y: -955.44, z: 1157.09 
x: 152.38, y: -940.64, z: 1182.16 
x: 93.94, y: -753.52, z: 1108.39 
x: 35.27, y: -708.93, z: 1101.20 
x: -5.66, y: -614.61, z: 1005.06 
x: -40.22, y: -569.91, z: 925.33 
