x: -89.10, y: 628.49, z: 1717.08 
x: -174.72, y: 207.69, z: 1726.73 
x: -152.01, y: 94.45, z: 1995.17 
x: -138.75, y: 106.14, z: 2025.23 
x: -152.10, y: 127.00, z: 1875.84 
x: -101.77, y: 293.06, z: 1668.96 
x: -116.62, y: 392.82, z: 1582.20 
x: -160.79, y: 153.26, z: 1531.41 
x: -149.50, y: 33.72, z: 1519.24 
x: -101.44, y: 61.29, z: 1327.41 
x: -108.52, y: 153.59, z: 1141.76 
x: -31.62, y: 207.68, z: 1032.41 
x: 57.98, y: 232.27, z: 1019.21 
x: 143.43, y: 190.97, z: 949.73 
x: 159.45, y: 19.21, z: 856.59 
x: 144.11, y: -195.65, z: 949.22 
x: 185.04, y: -76.31, z: 919.09 
x: 206.57, y: -67.43, z: 950.98 
x: 133.33, y: -301.72, z: 859.32 
x: 120.61, y: -327.65, z: 889.64 
x: 162.47, y: -194.68, z: 906.87 
x: 141.48, y: -303.48, z: 870.88 
x: 123.64, y: -320.37, z: 878.10 
x: 173.53, y: -228.87, z: 889.28 
x: 184.18, y: -107.48, z: 881.55 
x: 176.76, y: -35.64, z: 870.14 
x: 196.11, y: -200.19, z: 887.32 
x: 192.75, y: -208.52, z: 880.71 
x: 211.61, y: -152.32, z: 897.29 
x: 190.48, y: -285.68, z: 829.37 
x: 191.55, y: -165.50, z: 901.25 
x: 199.69, y: -257.73, z: 839.88 
x: 182.87, y: -302.64, z: 876.30 
x: 154.08, y: -293.56, z: 890.91 
x: 151.57, y: -316.16, z: 925.19 
x: 146.54, y: -322.53, z: 903.21 
x: 144.52, y: -320.89, z: 920.95 
x: 155.14, y: -272.74, z: 853.00 
x: 207.23, y: -68.09, z: 924.94 
x: 208.08, y: -77.10, z: 963.50 
x: 185.63, y: -166.25, z: 927.60 
x: 141.20, y: -329.76, z: 926.22 
x: 186.84, y: -214.10, z: 933.55 
x: 132.90, y: -334.00, z: 926.42 
x: 174.10, y: -291.82, z: 908.61 
x: 152.42, y: -329.57, z: 923.91 
x: 226.03, y: -83.10, z: 956.13 
x: 222.99, y: -83.63, z: 941.00 
x: 158.89, y: -321.39, z: 870.72 
x: 165.57, y: -300.12, z: 887.01 
x: 147.39, y: -302.66, z: 918.14 
x: 152.09, y: -306.51, z: 876.92 
x: 186.28, y: -194.40, z: 900.00 
x: 157.96, y: -299.51, z: 888.25 
x: 146.63, y: -323.78, z: 895.71 
x: 150.88, y: -301.01, z: 876.17 
x: 150.39, y: -288.37, z: 848.24 
x: 136.38, y: -325.22, z: 861.13 
x: 151.74, y: -310.89, z: 846.47 
x: 216.81, y: -109.67, z: 991.43 
x: 211.61, y: -117.44, z: 1024.74 
x: 145.33, y: -274.48, z: 849.82 
x: 149.39, y: -315.67, z: 854.62 
x: 221.67, y: -114.87, z: 896.52 
x: 160.61, y: -297.12, z: 852.33 
x: 167.60, y: -306.98, z: 880.32 
x: 165.81, y: -307.27, z: 879.01 
x: 159.87, y: -316.74, z: 857.28 
x: 161.33, y: -313.33, z: 865.06 
x: 138.35, y: -296.94, z: 882.06 
x: 151.58, y: -317.21, z: 863.44 
x: 159.18, y: -324.55, z: 917.61 
x: 149.44, y: -333.92, z: 900.04 
x: 158.50, y: -328.53, z: 894.75 
x: 238.57, y: -114.44, z: 920.41 
x: 222.04, y: -83.24, z: 937.53 
x: 158.37, y: -306.80, z: 850.73 
x: 191.88, y: -326.80, z: 813.29 
x: 159.50, y: -335.32, z: 874.19 
x: 164.96, y: -314.76, z: 886.77 
