x: -276.76, y: 81.62, z: 1958.17 
x: -279.61, y: 77.16, z: 1959.28 
x: -280.64, y: 77.32, z: 1957.06 
x: -280.44, y: 80.38, z: 1956.29 
x: -280.96, y: 79.39, z: 1956.34 
x: -256.97, y: 98.63, z: 1915.78 
x: -231.83, y: 134.73, z: 1877.98 
x: -271.97, y: 155.91, z: 1687.64 
x: -296.49, y: 68.67, z: 1507.94 
x: -271.02, y: 106.06, z: 1346.13 
x: -266.18, y: 174.52, z: 1240.87 
x: -229.48, y: 164.53, z: 1138.77 
x: -117.92, y: 224.46, z: 1125.82 
x: -7.07, y: 195.91, z: 1116.46 
x: 61.76, y: 88.58, z: 1119.70 
x: 69.59, y: -111.92, z: 1152.26 
x: 114.58, y: -147.15, z: 1262.06 
x: 109.66, y: -143.55, z: 1252.68 
x: 88.78, y: -148.48, z: 1232.53 
x: 73.67, y: -150.02, z: 1242.83 
x: 73.72, y: -152.00, z: 1248.92 
x: 69.51, y: -144.31, z: 1268.12 
x: 70.63, y: -138.47, z: 1273.34 
x: 71.03, y: -136.06, z: 1273.60 
x: 75.25, y: -143.13, z: 1291.67 
x: 77.97, y: -137.80, z: 1284.59 
x: 83.13, y: -140.33, z: 1283.28 
x: 83.22, y: -138.51, z: 1278.46 
x: 99.47, y: -149.39, z: 1320.04 
x: 83.89, y: -156.65, z: 1319.18 
x: 85.11, y: -154.06, z: 1308.53 
x: 81.27, y: -159.23, z: 1309.97 
x: 80.87, y: -159.11, z: 1307.56 
x: 90.96, y: -105.18, z: 1180.52 
x: 105.49, y: -143.35, z: 1247.63 
x: 87.43, y: -148.79, z: 1258.93 
x: 88.39, y: -162.97, z: 1276.83 
x: 108.62, y: -129.56, z: 1135.96 
x: 98.02, y: -151.44, z: 1226.59 
x: 119.00, y: -190.31, z: 1341.03 
x: 110.40, y: -209.85, z: 1346.84 
x: 113.12, y: -219.83, z: 1326.01 
x: 108.97, y: -227.16, z: 1317.70 
x: 127.52, y: -161.04, z: 1275.39 
x: 111.18, y: -193.05, z: 1308.57 
x: 107.11, y: -186.30, z: 1276.00 
x: 87.01, y: -171.00, z: 1301.72 
x: 78.69, y: -165.29, z: 1286.67 
x: 92.36, y: -201.82, z: 1326.08 
x: 90.56, y: -202.83, z: 1322.12 
x: 98.02, y: -178.42, z: 1300.06 
x: 103.95, y: -182.12, z: 1274.36 
x: 97.94, y: -189.03, z: 1271.28 
x: 96.60, y: -196.48, z: 1272.82 
x: 98.27, y: -201.59, z: 1285.61 
x: 114.91, y: -134.87, z: 1187.13 
x: 116.78, y: -138.46, z: 1190.90 
x: 118.67, y: -197.33, z: 1289.71 
x: 112.78, y: -198.50, z: 1297.90 
x: 108.66, y: -199.45, z: 1300.61 
x: 102.75, y: -205.20, z: 1276.14 
x: 136.82, y: -171.46, z: 1164.20 
x: 127.54, y: -196.73, z: 1220.11 
x: 121.72, y: -207.96, z: 1230.55 
x: 121.09, y: -207.99, z: 1241.30 
x: 112.14, y: -154.84, z: 1266.43 
x: 90.23, y: -150.37, z: 1270.95 
x: 78.19, y: -151.49, z: 1290.31 
x: 77.07, y: -153.66, z: 1278.32 
x: 97.04, y: -187.00, z: 1332.79 
x: 96.48, y: -190.54, z: 1333.17 
x: 109.18, y: -176.38, z: 1275.37 
x: 113.42, y: -220.91, z: 1297.67 
x: 113.22, y: -221.90, z: 1299.02 
x: 112.59, y: -222.05, z: 1302.09 
x: 111.23, y: -222.96, z: 1312.85 
x: 112.06, y: -151.64, z: 1200.43 
x: 111.67, y: -156.44, z: 1262.49 
x: 95.58, y: -147.14, z: 1304.58 
x: 119.58, y: -154.82, z: 1283.50 
x: 102.09, y: -257.76, z: 1304.94 
x: 96.02, y: -252.90, z: 1287.95 
x: 96.99, y: -251.82, z: 1286.05 
x: 97.33, y: -248.13, z: 1284.95 
x: 96.92, y: -243.67, z: 1291.08 
x: 102.47, y: -136.35, z: 1231.03 
x: 105.39, y: -125.29, z: 1226.40 
x: 102.73, y: -143.66, z: 1247.79 
x: 112.20, y: -195.83, z: 1328.66 
x: 105.89, y: -185.49, z: 1306.82 
x: 112.87, y: -208.45, z: 1285.98 
x: 114.13, y: -211.17, z: 1279.25 
x: 93.48, y: -228.60, z: 1256.95 
x: 96.80, y: -230.35, z: 1256.20 
x: 116.37, y: -201.72, z: 1231.66 
x: 96.34, y: -148.60, z: 1278.19 
x: 101.08, y: -145.71, z: 1285.57 
x: 92.74, y: -135.00, z: 1243.44 
x: 83.87, y: -126.12, z: 1253.57 
x: 105.72, y: -133.29, z: 1251.28 
x: 101.76, y: -186.34, z: 1295.48 
x: 105.92, y: -192.16, z: 1240.24 
x: 137.50, y: -120.34, z: 1268.72 
x: 91.89, y: -180.73, z: 1260.83 
x: 95.03, y: -184.99, z: 1266.93 
x: 95.59, y: -167.54, z: 1254.05 
x: 106.72, y: -151.62, z: 1283.72 
x: 105.34, y: -144.50, z: 1271.07 
x: 110.62, y: -102.87, z: 1174.53 
x: 125.70, y: -138.39, z: 1242.79 
x: 104.70, y: -216.69, z: 1312.19 
x: 106.82, y: -207.50, z: 1288.82 
x: 110.38, y: -196.61, z: 1240.61 
x: 107.89, y: -206.92, z: 1237.94 
x: 113.24, y: -167.40, z: 1220.58 
x: 108.69, y: -180.16, z: 1253.79 
x: 110.21, y: -177.71, z: 1258.18 
x: 99.16, y: -146.40, z: 1246.51 
x: 116.48, y: -189.53, z: 1343.85 
x: 105.42, y: -157.81, z: 1306.44 
x: 101.10, y: -144.83, z: 1283.86 
x: 99.58, y: -168.78, z: 1303.20 
x: 79.37, y: -147.08, z: 1205.04 
x: 23.49, y: 50.10, z: 1059.84 
x: -80.40, y: 93.39, z: 1003.61 
x: -193.59, y: 150.30, z: 825.27 
x: -214.25, y: 174.80, z: 689.08 
