x: -269.29, y: -369.17, z: 1931.91 
x: -270.19, y: -367.64, z: 1935.38 
x: -269.02, y: -360.39, z: 1940.77 
x: -269.23, y: -357.72, z: 1949.39 
x: -267.76, y: -384.03, z: 1935.74 
x: -251.65, y: -357.95, z: 1920.04 
x: -242.82, y: -312.53, z: 1874.51 
x: -256.01, y: -310.39, z: 1727.47 
x: -257.89, y: -345.59, z: 1563.75 
x: -302.25, y: -322.57, z: 1207.14 
x: -296.98, y: -235.39, z: 1184.18 
x: -237.70, y: -255.56, z: 1104.18 
x: -30.85, y: -148.10, z: 979.26 
x: 17.74, y: -218.37, z: 1129.84 
x: 62.57, y: -340.10, z: 1101.69 
x: 74.48, y: -527.10, z: 1044.58 
x: 220.80, y: -187.31, z: 848.75 
x: 223.12, y: -144.84, z: 831.15 
x: 87.09, y: -576.13, z: 1252.45 
x: 81.04, y: -577.15, z: 1209.05 
x: 71.96, y: -579.27, z: 1213.04 
x: 70.89, y: -570.24, z: 1218.78 
x: 61.48, y: -559.26, z: 1191.91 
x: 65.95, y: -559.92, z: 1205.24 
x: 86.58, y: -509.09, z: 1183.29 
x: 216.03, y: -151.46, z: 873.93 
x: 108.73, y: -436.15, z: 971.25 
x: 103.30, y: -465.11, z: 998.73 
x: 145.10, y: -330.11, z: 996.84 
x: 151.68, y: -401.98, z: 971.33 
x: 144.75, y: -434.68, z: 986.70 
x: 120.96, y: -402.04, z: 1078.56 
x: 121.02, y: -494.83, z: 1040.23 
x: 110.60, y: -528.32, z: 1102.51 
x: 118.98, y: -523.51, z: 1046.24 
x: 105.95, y: -542.19, z: 1085.21 
x: 103.77, y: -546.11, z: 1081.95 
x: 116.97, y: -553.53, z: 1206.57 
x: 226.70, y: -180.38, z: 818.11 
x: 199.61, y: -162.51, z: 920.19 
x: 198.97, y: -182.93, z: 885.79 
x: 72.16, y: -689.53, z: 1225.59 
x: 82.78, y: -644.29, z: 1193.20 
x: 88.34, y: -585.19, z: 1227.51 
x: 74.40, y: -606.65, z: 1197.27 
x: 102.30, y: -568.26, z: 1161.74 
x: 202.08, y: -179.52, z: 910.21 
x: 219.47, y: -189.46, z: 873.26 
