x: -204.80, y: 560.54, z: 1996.99 
x: -196.46, y: 544.78, z: 1995.18 
x: -213.48, y: 545.96, z: 1984.87 
x: -223.29, y: 567.62, z: 1992.77 
x: -226.55, y: 564.87, z: 1990.84 
x: -197.49, y: 572.35, z: 1972.47 
x: -131.81, y: 570.87, z: 1869.52 
x: -198.73, y: 604.50, z: 1623.99 
x: -222.11, y: 526.64, z: 1498.72 
x: -244.36, y: 559.29, z: 1305.94 
x: -253.97, y: 640.49, z: 1286.67 
x: -233.12, y: 635.38, z: 1233.54 
x: -222.20, y: 662.72, z: 1213.84 
x: -196.23, y: 675.80, z: 1188.83 
x: -159.03, y: 658.60, z: 1165.74 
x: 138.02, y: 294.76, z: 1069.97 
x: 175.48, y: 253.53, z: 1249.72 
x: 175.93, y: 245.02, z: 1320.27 
x: 161.90, y: 244.30, z: 1294.79 
x: 149.45, y: 252.14, z: 1280.47 
x: 152.08, y: 249.80, z: 1282.50 
x: 146.01, y: 256.30, z: 1263.89 
x: 144.67, y: 259.80, z: 1257.78 
x: 144.45, y: 259.78, z: 1257.24 
x: 140.94, y: 251.07, z: 1243.05 
x: 143.89, y: 251.76, z: 1257.15 
x: 144.01, y: 253.72, z: 1257.57 
x: 144.25, y: 254.45, z: 1262.75 
x: 144.73, y: 255.78, z: 1268.36 
x: 145.24, y: 251.21, z: 1268.72 
x: 143.01, y: 253.62, z: 1264.91 
x: 142.32, y: 230.04, z: 1293.71 
x: 146.01, y: 223.62, z: 1319.03 
x: 146.02, y: 234.49, z: 1338.72 
x: 149.75, y: 209.40, z: 1382.22 
x: 152.41, y: 207.80, z: 1364.10 
x: 152.79, y: 203.25, z: 1370.44 
x: 142.12, y: 226.94, z: 1323.85 
x: 149.64, y: 210.70, z: 1344.43 
x: 152.61, y: 199.51, z: 1382.16 
x: 142.15, y: 194.68, z: 1327.31 
x: 150.23, y: 181.00, z: 1329.50 
x: 151.99, y: 175.76, z: 1322.83 
x: 151.74, y: 199.21, z: 1311.86 
x: 163.03, y: 188.36, z: 1356.26 
x: 154.82, y: 163.32, z: 1394.24 
x: 161.35, y: 179.64, z: 1390.36 
x: 155.16, y: 185.65, z: 1380.41 
x: 156.88, y: 200.58, z: 1339.10 
x: 152.30, y: 185.94, z: 1315.52 
x: 157.90, y: 210.70, z: 1309.21 
x: 149.85, y: 209.76, z: 1246.86 
x: 138.82, y: 196.72, z: 1228.21 
x: 143.69, y: 194.92, z: 1241.24 
x: 154.92, y: 181.28, z: 1295.20 
x: 155.37, y: 192.10, z: 1301.46 
x: 152.39, y: 194.93, z: 1314.34 
x: 147.95, y: 179.14, z: 1320.17 
x: 151.39, y: 180.55, z: 1328.48 
x: 152.49, y: 182.69, z: 1327.80 
x: 157.78, y: 186.24, z: 1326.53 
x: 143.74, y: 191.45, z: 1256.77 
x: 152.30, y: 183.21, z: 1273.65 
x: 151.64, y: 180.09, z: 1274.36 
x: 159.64, y: 194.96, z: 1299.98 
x: 165.96, y: 185.30, z: 1347.08 
x: 162.19, y: 176.60, z: 1362.15 
x: 163.43, y: 175.48, z: 1339.86 
x: 159.99, y: 178.64, z: 1350.79 
x: 150.86, y: 192.71, z: 1327.45 
x: 149.34, y: 193.45, z: 1319.11 
x: 156.94, y: 202.95, z: 1328.56 
x: 156.75, y: 195.35, z: 1301.67 
x: 156.22, y: 187.33, z: 1298.95 
x: 154.62, y: 188.42, z: 1312.11 
x: 157.32, y: 191.56, z: 1340.15 
x: 151.53, y: 190.03, z: 1322.40 
x: 190.14, y: 175.73, z: 1287.92 
x: 158.76, y: 178.87, z: 1339.16 
x: 152.43, y: 188.40, z: 1336.83 
x: 140.15, y: 181.05, z: 1270.34 
x: 145.05, y: 186.23, z: 1264.81 
x: 142.76, y: 184.31, z: 1253.78 
x: 142.46, y: 184.59, z: 1260.59 
x: 145.42, y: 196.62, z: 1296.36 
x: 152.51, y: 206.09, z: 1346.16 
x: 153.06, y: 210.88, z: 1348.02 
x: 152.60, y: 200.87, z: 1371.52 
x: 149.68, y: 187.96, z: 1407.82 
x: 155.75, y: 188.17, z: 1394.53 
x: 158.04, y: 189.06, z: 1322.67 
x: 160.42, y: 187.54, z: 1280.36 
x: 147.14, y: 190.46, z: 1233.91 
x: 147.39, y: 191.70, z: 1234.30 
x: 145.37, y: 205.87, z: 1245.55 
x: 158.23, y: 248.24, z: 1274.61 
x: 154.35, y: 234.42, z: 1318.58 
