x: -365.00, y: 320.91, z: 1987.34 
x: -365.72, y: 312.06, z: 1985.68 
x: -371.38, y: 310.23, z: 1981.65 
x: -373.76, y: 321.74, z: 1984.36 
x: -375.12, y: 319.29, z: 1983.03 
x: -355.10, y: 329.33, z: 1956.18 
x: -304.45, y: 359.30, z: 1874.55 
x: -354.20, y: 380.39, z: 1676.99 
x: -381.07, y: 303.07, z: 1503.03 
x: -385.40, y: 326.69, z: 1342.32 
x: -357.82, y: 404.00, z: 1201.06 
x: -338.32, y: 395.70, z: 1147.83 
x: -272.75, y: 416.65, z: 1128.54 
x: -201.72, y: 392.60, z: 1115.68 
x: -145.01, y: 329.56, z: 1113.13 
x: -15.06, y: 95.95, z: 1132.80 
x: 27.79, y: 54.29, z: 1256.64 
x: 22.80, y: 50.45, z: 1286.10 
x: 12.08, y: 45.72, z: 1288.09 
x: -0.09, y: 49.40, z: 1269.24 
x: 0.32, y: 47.74, z: 1270.66 
x: -2.60, y: 55.92, z: 1279.76 
x: -2.02, y: 61.23, z: 1283.50 
x: -2.95, y: 62.76, z: 1288.24 
x: 1.64, y: 51.57, z: 1289.47 
x: 1.22, y: 54.71, z: 1291.22 
x: 1.50, y: 54.53, z: 1292.53 
x: 0.96, y: 55.76, z: 1292.45 
x: 5.58, y: 50.54, z: 1312.83 
x: 2.19, y: 47.34, z: 1312.43 
x: 2.32, y: 49.72, z: 1308.67 
x: 2.69, y: 35.57, z: 1319.74 
x: 3.97, y: 31.52, z: 1334.31 
x: 14.64, y: 51.76, z: 1273.97 
x: 12.71, y: 33.50, z: 1303.20 
x: 10.11, y: 27.76, z: 1316.60 
x: 9.37, y: 20.65, z: 1324.46 
x: 8.29, y: 26.01, z: 1273.04 
x: 10.85, y: 21.17, z: 1309.53 
x: 13.99, y: 3.47, z: 1354.13 
x: 12.70, y: -11.97, z: 1314.90 
x: 12.78, y: -19.88, z: 1302.44 
x: 12.83, y: -26.37, z: 1300.63 
x: 21.49, y: 10.62, z: 1299.94 
x: 22.95, y: -6.13, z: 1330.49 
x: 5.45, y: 5.59, z: 1303.28 
x: 2.07, y: 16.92, z: 1333.38 
x: 3.90, y: 16.39, z: 1330.37 
x: 8.90, y: 1.47, z: 1357.88 
x: 6.22, y: -6.56, z: 1347.53 
x: 29.47, y: 16.97, z: 1287.12 
x: 18.03, y: 9.66, z: 1269.70 
x: 9.09, y: -1.10, z: 1269.64 
x: 10.44, y: -4.52, z: 1277.56 
x: 15.79, y: -12.69, z: 1305.27 
x: 22.42, y: 12.93, z: 1274.95 
x: 20.14, y: 11.35, z: 1292.88 
x: 12.15, y: -9.93, z: 1351.89 
x: 12.43, y: -9.04, z: 1354.26 
x: 12.87, y: -8.27, z: 1353.80 
x: 27.84, y: -15.91, z: 1305.20 
x: 20.68, y: -9.20, z: 1266.42 
x: 24.68, y: -18.22, z: 1278.16 
x: 22.09, y: -24.73, z: 1286.03 
x: 25.08, y: -15.83, z: 1301.73 
x: 12.71, y: 17.59, z: 1320.32 
x: 7.94, y: 17.85, z: 1328.74 
x: -0.50, y: 19.26, z: 1300.20 
x: 0.85, y: 19.81, z: 1313.63 
x: 14.45, y: 0.48, z: 1359.27 
x: 14.80, y: 0.08, z: 1352.09 
x: 17.59, y: 11.81, z: 1296.76 
x: 15.03, y: -15.27, z: 1307.92 
x: 12.76, y: -21.00, z: 1307.34 
x: 13.74, y: -20.21, z: 1313.82 
x: 16.21, y: -17.28, z: 1334.36 
x: 8.88, y: 0.22, z: 1300.58 
x: 21.98, y: 13.73, z: 1239.83 
x: 16.76, y: 18.14, z: 1292.69 
x: 18.67, y: 12.88, z: 1310.72 
x: 12.21, y: -41.50, z: 1326.43 
x: 10.67, y: -36.99, z: 1300.20 
x: 8.44, y: -35.22, z: 1294.62 
x: 7.65, y: -34.12, z: 1296.85 
x: 9.02, y: -26.33, z: 1319.94 
x: 10.71, y: 28.67, z: 1301.05 
x: 14.53, y: 31.89, z: 1298.06 
x: 15.96, y: 24.36, z: 1303.45 
x: 10.34, y: 1.36, z: 1334.43 
x: 14.49, y: 3.99, z: 1330.64 
x: 14.19, y: -12.91, z: 1327.35 
x: 16.85, y: -11.50, z: 1303.72 
x: 5.73, y: -16.91, z: 1275.75 
x: 7.25, y: -17.53, z: 1274.61 
x: 13.26, y: -0.68, z: 1283.28 
x: 18.60, y: 42.04, z: 1229.22 
x: 18.72, y: 42.38, z: 1264.70 
x: 15.13, y: 26.54, z: 1310.94 
x: 8.89, y: 44.55, z: 1287.16 
x: 12.42, y: 39.33, z: 1287.23 
x: 6.26, y: 15.51, z: 1311.70 
x: 13.93, y: 5.09, z: 1271.18 
x: 36.90, y: 42.36, z: 1213.44 
x: 16.04, y: 4.21, z: 1242.18 
x: 15.09, y: 5.96, z: 1257.66 
x: 14.86, y: 10.81, z: 1306.38 
x: 16.20, y: 24.19, z: 1328.06 
x: 17.02, y: 29.10, z: 1327.33 
x: 17.13, y: 42.44, z: 1290.40 
x: 21.85, y: 23.69, z: 1336.21 
x: 15.46, y: -17.25, z: 1339.32 
x: 14.55, y: -15.17, z: 1310.12 
x: 16.53, y: -11.38, z: 1267.69 
x: 10.17, y: -16.05, z: 1263.40 
x: 18.56, y: 3.75, z: 1257.74 
x: 16.37, y: 4.44, z: 1302.63 
x: 21.95, y: 4.82, z: 1307.39 
x: 21.13, y: 19.31, z: 1318.16 
x: 16.06, y: 2.94, z: 1357.50 
x: 18.42, y: 18.07, z: 1347.71 
x: 17.68, y: 22.96, z: 1341.38 
x: 13.20, y: 20.52, z: 1333.27 
x: -13.17, y: 55.31, z: 1199.60 
x: -72.55, y: 240.76, z: 1030.66 
x: -131.36, y: 280.68, z: 1001.54 
x: -183.31, y: 310.63, z: 928.54 
x: -201.92, y: 312.93, z: 865.43 
