x: -419.06, y: 652.84, z: 1932.58 
x: -406.06, y: 751.76, z: 1968.82 
x: -417.10, y: 785.57, z: 1994.10 
x: -491.71, y: 879.94, z: 1969.60 
x: -482.92, y: 866.50, z: 1995.21 
x: -410.97, y: 779.53, z: 1960.88 
x: -396.43, y: 840.01, z: 1872.46 
x: -392.47, y: 835.59, z: 1846.04 
x: -391.66, y: 823.40, z: 1798.52 
x: -378.21, y: 818.91, z: 1721.40 
x: -350.14, y: 790.69, z: 1655.55 
x: 23.53, y: 477.79, z: 1395.52 
x: 49.93, y: 481.91, z: 1421.76 
x: 78.03, y: 484.09, z: 1396.16 
x: 7.04, y: 487.18, z: 1288.80 
x: 4.15, y: 498.14, z: 1319.80 
x: -11.62, y: 502.73, z: 1305.24 
x: -18.53, y: 505.83, z: 1291.47 
x: -11.21, y: 503.50, z: 1297.44 
x: -7.71, y: 503.00, z: 1306.43 
x: -5.39, y: 501.30, z: 1298.09 
x: -4.65, y: 501.07, z: 1299.67 
x: -0.96, y: 501.12, z: 1308.72 
x: 2.19, y: 499.94, z: 1310.22 
x: 5.04, y: 499.55, z: 1313.44 
x: 6.19, y: 499.52, z: 1315.71 
x: 6.84, y: 498.48, z: 1323.13 
x: 4.97, y: 498.08, z: 1323.31 
x: 3.98, y: 498.23, z: 1321.94 
x: 2.93, y: 496.34, z: 1281.25 
x: 2.78, y: 496.43, z: 1294.95 
x: 5.05, y: 498.27, z: 1272.43 
x: 4.74, y: 501.24, z: 1282.38 
x: 4.20, y: 501.38, z: 1295.78 
x: 3.17, y: 501.71, z: 1303.23 
x: 2.07, y: 509.59, z: 1179.11 
x: 0.91, y: 504.30, z: 1250.89 
x: 12.64, y: 523.31, z: 1219.79 
x: 6.82, y: 513.07, z: 1260.31 
x: 3.31, y: 507.92, z: 1282.81 
x: 2.44, y: 505.72, z: 1294.69 
x: 0.56, y: 504.23, z: 1301.64 
x: 0.35, y: 502.15, z: 1307.91 
x: 2.97, y: 503.38, z: 1354.19 
x: 3.83, y: 511.51, z: 1307.13 
x: -2.29, y: 528.98, z: 1273.95 
x: -1.10, y: 517.15, z: 1301.52 
x: 2.77, y: 512.67, z: 1313.91 
x: 3.32, y: 508.37, z: 1323.03 
x: 6.82, y: 502.90, z: 1332.35 
x: 2.17, y: 502.19, z: 1316.92 
x: 3.05, y: 500.23, z: 1322.53 
x: 2.42, y: 499.28, z: 1326.70 
x: -0.84, y: 502.21, z: 1323.86 
x: -1.06, y: 507.48, z: 1337.50 
x: -8.60, y: 542.61, z: 1226.56 
x: -3.59, y: 524.51, z: 1282.33 
x: -2.02, y: 517.14, z: 1307.29 
x: -0.24, y: 513.98, z: 1319.31 
x: -4.02, y: 512.78, z: 1291.10 
x: -0.21, y: 510.04, z: 1311.31 
x: -0.08, y: 498.51, z: 1305.74 
x: 5.79, y: 498.80, z: 1304.40 
x: 3.96, y: 502.99, z: 1313.14 
x: -0.60, y: 525.42, z: 1264.51 
x: 2.40, y: 515.12, z: 1281.57 
x: 2.36, y: 514.36, z: 1294.92 
x: 0.49, y: 511.78, z: 1304.96 
x: -0.03, y: 508.62, z: 1307.42 
x: 3.43, y: 497.92, z: 1256.35 
x: 1.87, y: 501.02, z: 1282.85 
x: -0.50, y: 502.45, z: 1282.36 
x: -0.63, y: 509.55, z: 1272.97 
x: 0.16, y: 509.24, z: 1279.23 
x: 0.33, y: 509.22, z: 1287.60 
x: 1.59, y: 509.49, z: 1298.42 
x: 0.29, y: 508.12, z: 1298.32 
x: -0.77, y: 507.51, z: 1302.64 
x: -9.84, y: 507.59, z: 1304.21 
x: -8.16, y: 504.12, z: 1313.00 
x: -8.31, y: 503.39, z: 1309.45 
x: 3.74, y: 503.09, z: 1256.30 
x: -112.45, y: 592.29, z: 963.03 
x: -123.87, y: 601.93, z: 947.30 
x: -159.89, y: 544.75, z: 986.64 
