x: -659.18, y: 355.54, z: 2123.29 
x: -665.87, y: 362.45, z: 2113.28 
x: -670.90, y: 353.64, z: 2114.97 
x: -724.45, y: 347.01, z: 2120.36 
x: -736.80, y: 344.41, z: 2119.03 
x: -636.68, y: 303.11, z: 2044.72 
x: -575.11, y: 328.12, z: 1945.05 
x: -569.17, y: 297.78, z: 1785.96 
x: -580.08, y: 257.83, z: 1561.63 
x: -517.89, y: 303.18, z: 1360.42 
x: -350.85, y: 87.71, z: 1271.39 
x: -210.84, y: 19.69, z: 1449.16 
x: -191.16, y: 29.33, z: 1490.76 
x: -178.28, y: 18.27, z: 1469.15 
x: -181.47, y: 21.86, z: 1473.01 
x: -186.05, y: 29.91, z: 1474.18 
x: -223.96, y: 11.12, z: 1370.60 
x: -220.84, y: 28.47, z: 1389.39 
x: -217.37, y: 29.62, z: 1403.11 
x: -216.99, y: 31.73, z: 1394.80 
x: -217.09, y: 35.25, z: 1398.35 
x: -219.82, y: 23.49, z: 1341.09 
x: -217.41, y: 32.05, z: 1368.50 
x: -217.59, y: 26.24, z: 1357.48 
x: -232.02, y: 25.25, z: 1344.10 
x: -226.10, y: 25.46, z: 1349.32 
x: -221.70, y: 23.29, z: 1346.67 
x: -218.81, y: 21.57, z: 1346.74 
x: -217.93, y: 21.95, z: 1342.51 
x: -213.67, y: 23.33, z: 1319.63 
x: -215.27, y: 22.02, z: 1334.51 
x: -215.35, y: 13.74, z: 1342.03 
x: -213.93, y: 17.52, z: 1342.49 
x: -211.55, y: 0.89, z: 1328.51 
x: -214.30, y: 8.85, z: 1324.45 
x: -214.83, y: 17.21, z: 1330.14 
x: -211.46, y: 5.55, z: 1285.42 
x: -212.59, y: 2.01, z: 1293.33 
x: -215.51, y: -0.12, z: 1313.15 
x: -213.44, y: 12.06, z: 1334.89 
x: -214.50, y: 15.42, z: 1336.74 
x: -214.77, y: 15.61, z: 1336.58 
x: -208.77, y: 12.02, z: 1355.61 
x: -209.38, y: 15.71, z: 1345.31 
x: -210.11, y: 18.29, z: 1345.64 
x: -208.68, y: 34.64, z: 1349.08 
x: -210.47, y: 27.18, z: 1338.44 
x: -205.86, y: 26.06, z: 1337.23 
x: -204.25, y: 20.74, z: 1339.03 
x: -224.03, y: 32.93, z: 1384.83 
x: -214.58, y: 19.24, z: 1364.76 
x: -210.18, y: 16.35, z: 1365.52 
x: -211.27, y: 14.93, z: 1350.97 
x: -214.00, y: 9.38, z: 1329.31 
x: -212.76, y: 18.07, z: 1367.97 
x: -213.09, y: 15.26, z: 1356.92 
x: -212.61, y: 12.39, z: 1357.56 
x: -212.66, y: 17.39, z: 1350.00 
x: -213.82, y: 17.16, z: 1338.88 
x: -214.47, y: 21.75, z: 1348.44 
x: -216.64, y: 18.45, z: 1330.14 
x: -219.19, y: 13.88, z: 1328.70 
x: -218.44, y: 15.80, z: 1337.02 
x: -233.47, y: 30.54, z: 1365.43 
x: -225.78, y: 16.76, z: 1350.34 
x: -223.45, y: 25.05, z: 1352.84 
x: -222.56, y: 20.28, z: 1352.75 
x: -220.76, y: 12.89, z: 1334.83 
x: -219.47, y: 16.93, z: 1344.58 
x: -218.83, y: 16.00, z: 1345.87 
x: -220.88, y: 11.99, z: 1347.08 
x: -220.61, y: 12.66, z: 1344.68 
x: -217.32, y: 13.05, z: 1338.67 
x: -216.62, y: 12.00, z: 1337.17 
x: -216.48, y: 14.08, z: 1340.23 
x: -214.53, y: 7.16, z: 1321.54 
x: -234.55, y: 30.27, z: 1358.86 
x: -231.11, y: 27.69, z: 1343.45 
x: -226.24, y: 13.70, z: 1326.57 
x: -224.59, y: 14.27, z: 1317.16 
x: -218.07, y: 19.54, z: 1330.05 
x: -242.84, y: -2.91, z: 1289.76 
x: -302.26, y: 51.81, z: 1115.77 
x: -382.00, y: 171.10, z: 1037.26 
x: -97.08, y: -279.08, z: 1175.58 
