x: -490.71, y: -715.43, z: 2159.10 
x: -485.91, y: -713.50, z: 2132.93 
x: -606.98, y: -717.10, z: 2035.16 
x: -607.91, y: -700.90, z: 2056.41 
x: -602.89, y: -714.16, z: 2098.16 
x: -566.21, y: -703.44, z: 2049.03 
x: -515.88, y: -649.09, z: 1691.95 
x: -527.45, y: -613.55, z: 1415.53 
x: -442.87, y: -593.17, z: 1584.97 
x: -491.83, y: -650.85, z: 1443.51 
x: -445.09, y: -634.47, z: 1446.96 
x: -499.75, y: -808.56, z: 1498.33 
x: -341.70, y: -654.86, z: 1432.52 
x: -312.30, y: -636.30, z: 1384.44 
x: -365.37, y: -759.73, z: 1391.45 
x: -246.87, y: -668.45, z: 1390.04 
x: -320.79, y: -818.37, z: 1421.24 
x: -189.06, y: -642.52, z: 1394.31 
x: -189.81, y: -551.27, z: 1297.03 
x: -180.98, y: -596.93, z: 1300.70 
x: -172.07, y: -655.82, z: 1301.36 
x: -161.13, y: -701.20, z: 1310.47 
x: -144.99, y: -726.42, z: 1321.90 
x: -139.38, y: -758.01, z: 1331.71 
x: -134.57, y: -813.30, z: 1369.11 
x: -120.93, y: -819.31, z: 1379.94 
x: -114.74, y: -834.21, z: 1392.36 
x: -74.14, y: -748.19, z: 1449.49 
x: -146.50, y: -567.98, z: 1255.80 
x: -42.26, y: -710.02, z: 1423.15 
x: -41.00, y: -733.69, z: 1439.69 
x: -58.86, y: -845.77, z: 1436.26 
x: -52.59, y: -867.03, z: 1449.57 
x: -51.54, y: -873.83, z: 1461.79 
x: -56.85, y: -878.79, z: 1464.78 
x: -36.09, y: -731.77, z: 1451.52 
x: -17.67, y: -675.68, z: 1434.68 
x: 23.34, y: -873.77, z: 1499.80 
x: 17.38, y: -885.63, z: 1483.68 
x: 7.64, y: -879.82, z: 1467.40 
x: -48.13, y: -720.29, z: 1381.53 
x: -123.47, y: -538.18, z: 1229.00 
x: -116.68, y: -569.73, z: 1244.51 
x: -113.32, y: -635.90, z: 1253.09 
x: -66.63, y: -746.92, z: 1354.68 
x: -113.76, y: -712.06, z: 1245.54 
x: -83.18, y: -727.67, z: 1310.66 
x: -114.25, y: -823.98, z: 1280.51 
x: -103.14, y: -848.05, z: 1306.56 
x: -91.23, y: -858.67, z: 1329.72 
x: -82.13, y: -871.98, z: 1349.08 
x: -42.29, y: -739.60, z: 1373.49 
x: -27.30, y: -885.57, z: 1385.83 
x: -17.77, y: -889.01, z: 1400.56 
x: -12.93, y: -887.39, z: 1416.09 
x: -13.32, y: -884.23, z: 1420.53 
x: -10.48, y: -892.40, z: 1424.10 
x: -7.36, y: -897.21, z: 1440.60 
x: -12.26, y: -891.02, z: 1468.14 
x: -9.52, y: -891.32, z: 1465.10 
x: -8.96, y: -894.76, z: 1470.95 
x: -12.79, y: -899.09, z: 1474.76 
x: -2.11, y: -895.30, z: 1477.52 
x: 6.32, y: -757.35, z: 1455.16 
x: -103.91, y: -592.95, z: 1220.58 
x: 11.14, y: -724.23, z: 1427.56 
x: -81.65, y: -613.16, z: 1253.90 
x: -78.62, y: -661.74, z: 1270.19 
x: 14.19, y: -703.49, z: 1431.99 
x: -10.26, y: -684.08, z: 1377.24 
x: -103.12, y: -524.57, z: 1228.22 
x: -100.45, y: -588.46, z: 1231.28 
x: -100.48, y: -650.28, z: 1241.93 
x: -93.94, y: -703.53, z: 1270.86 
x: -8.97, y: -704.98, z: 1408.13 
x: -90.59, y: -601.75, z: 1217.94 
x: 1.82, y: -672.18, z: 1401.51 
x: -51.00, y: -677.67, z: 1277.29 
x: 12.12, y: -648.89, z: 1396.21 
x: -15.30, y: -765.51, z: 1350.39 
x: -27.28, y: -807.70, z: 1384.54 
x: -33.96, y: -836.73, z: 1392.51 
x: -72.90, y: -696.62, z: 1323.40 
x: -175.55, y: -430.60, z: 966.23 
x: -362.41, y: -670.79, z: 1228.16 
