x: -779.51, y: 340.67, z: 1821.81 
x: -771.98, y: 346.26, z: 1827.91 
x: -799.24, y: 324.64, z: 1830.30 
x: -846.44, y: 328.24, z: 1825.51 
x: -803.98, y: 317.75, z: 1833.56 
x: -683.99, y: 90.72, z: 1840.70 
x: -605.91, y: 51.16, z: 1926.18 
x: -623.74, y: 63.32, z: 1704.59 
x: -616.27, y: 60.77, z: 1412.82 
x: -560.09, y: 95.55, z: 1221.78 
x: -376.90, y: -94.58, z: 1050.74 
x: -306.09, y: -142.85, z: 1163.70 
x: -281.25, y: -79.77, z: 1456.87 
x: -190.96, y: -103.06, z: 1338.11 
x: -216.26, y: -139.48, z: 1358.60 
x: -248.90, y: -139.72, z: 1347.11 
x: -294.75, y: -106.74, z: 1057.38 
x: -267.84, y: -119.69, z: 1124.65 
x: -252.81, y: -81.65, z: 1048.79 
x: -249.73, y: -100.87, z: 1048.12 
x: -248.44, y: -131.38, z: 1133.81 
x: -268.67, y: -207.93, z: 1008.00 
x: -259.74, y: -170.48, z: 1024.41 
x: -254.30, y: -180.64, z: 1027.46 
x: -241.58, y: -191.51, z: 1010.85 
x: -200.84, y: -244.86, z: 1028.97 
x: -193.60, y: -287.51, z: 1020.53 
x: -234.35, y: -95.29, z: 1042.09 
x: -241.78, y: -108.64, z: 1029.62 
x: -279.08, y: -174.12, z: 1006.87 
x: -252.00, y: -151.27, z: 1028.70 
x: -262.58, y: -94.69, z: 1046.19 
x: -234.14, y: -210.68, z: 1026.99 
x: -246.57, y: -175.71, z: 1027.79 
x: -195.41, y: -270.07, z: 1030.31 
x: -230.55, y: -217.72, z: 1022.94 
x: -274.63, y: -100.56, z: 1013.46 
x: -231.16, y: -236.02, z: 1018.76 
x: -196.70, y: -286.95, z: 1024.52 
x: -231.72, y: -229.05, z: 1036.88 
x: -223.69, y: -184.91, z: 1069.70 
x: -248.00, y: -107.03, z: 1028.42 
x: -248.80, y: -129.85, z: 1036.40 
x: -246.04, y: -163.22, z: 1028.68 
x: -252.14, y: -161.39, z: 1023.73 
x: -246.96, y: -156.35, z: 1032.22 
x: -249.39, y: -162.52, z: 1019.93 
x: -243.90, y: -195.96, z: 1022.29 
x: -236.08, y: -201.08, z: 1023.52 
x: -199.63, y: -241.77, z: 1034.98 
x: -241.37, y: -96.04, z: 1049.77 
x: -229.66, y: -215.77, z: 1038.97 
x: -192.30, y: -287.61, z: 1023.40 
x: -249.78, y: -120.13, z: 1021.18 
x: -246.42, y: -190.75, z: 1030.66 
x: -188.83, y: -309.25, z: 1027.68 
x: -190.06, y: -302.20, z: 1031.74 
x: -252.72, y: -99.90, z: 1030.59 
x: -232.76, y: -172.42, z: 1024.78 
x: -179.46, y: -131.36, z: 1090.74 
x: -261.37, y: -80.88, z: 1043.60 
x: -280.66, y: -111.37, z: 1006.15 
x: -279.77, y: -107.21, z: 1008.56 
x: -255.71, y: -98.80, z: 1033.74 
x: -253.73, y: -131.02, z: 1026.71 
x: -257.60, y: -111.86, z: 1035.67 
x: -250.93, y: -134.90, z: 1031.95 
x: -252.03, y: -164.91, z: 1026.19 
x: -258.41, y: -178.43, z: 1023.04 
x: -235.29, y: -185.32, z: 1054.72 
x: -275.64, y: -121.46, z: 1017.18 
x: -253.50, y: -133.58, z: 1020.23 
x: -275.27, y: -158.51, z: 1010.22 
x: -262.60, y: -189.95, z: 1011.21 
x: -268.76, y: -135.60, z: 1019.24 
x: -277.86, y: -166.63, z: 1007.60 
x: -248.12, y: -140.55, z: 1031.78 
x: -251.43, y: -168.09, z: 1023.79 
x: -246.13, y: -181.33, z: 1024.58 
x: -193.62, y: -282.27, z: 1020.20 
x: -181.17, y: -228.33, z: 1129.10 
x: -244.12, y: -278.54, z: 1036.69 
x: -239.55, y: -221.38, z: 967.16 
x: -429.87, y: -56.48, z: 1003.21 
x: 168.84, y: -276.89, z: 1253.87 
