x: -489.31, y: 80.86, z: 2057.32 
x: -495.13, y: 110.06, z: 2056.99 
x: -514.22, y: 110.79, z: 2067.70 
x: -559.60, y: 128.74, z: 2054.90 
x: -577.48, y: 122.93, z: 2050.89 
x: -545.58, y: 99.44, z: 2010.12 
x: -467.37, y: 118.05, z: 1955.01 
x: -472.41, y: 69.72, z: 1737.67 
x: -473.72, y: 60.51, z: 1391.12 
x: -350.94, y: 82.07, z: 1375.18 
x: -187.68, y: -78.86, z: 1338.48 
x: -67.70, y: -166.50, z: 1453.45 
x: -30.09, y: -144.02, z: 1421.79 
x: -12.15, y: -142.58, z: 1396.12 
x: -24.59, y: -161.01, z: 1403.70 
x: -54.80, y: -148.16, z: 1408.77 
x: -71.57, y: -144.42, z: 1411.05 
x: -85.54, y: -142.87, z: 1412.34 
x: -84.76, y: -143.79, z: 1413.86 
x: -86.00, y: -143.28, z: 1413.06 
x: -90.24, y: -141.31, z: 1408.30 
x: -92.04, y: -141.56, z: 1402.12 
x: -90.36, y: -136.69, z: 1400.82 
x: -90.80, y: -136.84, z: 1397.50 
x: -87.81, y: -136.13, z: 1363.59 
x: -87.83, y: -139.41, z: 1379.73 
x: -85.94, y: -140.57, z: 1380.66 
x: -85.54, y: -142.20, z: 1385.17 
x: -84.89, y: -139.89, z: 1371.96 
x: -79.03, y: -145.25, z: 1400.35 
x: -77.88, y: -139.53, z: 1400.95 
x: -80.99, y: -139.16, z: 1380.59 
x: -80.86, y: -140.63, z: 1377.43 
x: -82.33, y: -139.40, z: 1368.73 
x: -82.87, y: -138.52, z: 1367.52 
x: -81.60, y: -142.09, z: 1370.92 
x: -80.46, y: -145.53, z: 1371.94 
x: -83.73, y: -142.68, z: 1358.50 
x: -78.88, y: -144.50, z: 1363.28 
x: -90.38, y: -137.07, z: 1388.56 
x: -84.33, y: -138.81, z: 1384.21 
x: -81.92, y: -139.93, z: 1378.09 
x: -78.90, y: -153.67, z: 1401.36 
x: -77.28, y: -148.98, z: 1396.14 
x: -96.31, y: -135.19, z: 1378.48 
x: -87.20, y: -122.81, z: 1374.00 
x: -91.54, y: -121.05, z: 1352.14 
x: -86.75, y: -126.81, z: 1358.15 
x: -85.79, y: -130.76, z: 1361.92 
x: -87.96, y: -133.57, z: 1361.67 
x: -88.48, y: -135.68, z: 1363.17 
x: -83.08, y: -148.16, z: 1388.01 
x: -84.56, y: -149.54, z: 1385.54 
x: -86.07, y: -147.28, z: 1383.73 
x: -84.33, y: -141.09, z: 1378.10 
x: -85.79, y: -136.19, z: 1376.40 
x: -85.80, y: -137.48, z: 1375.66 
x: -84.87, y: -134.52, z: 1374.14 
x: -77.13, y: -125.60, z: 1338.96 
x: -80.03, y: -126.51, z: 1350.91 
x: -80.12, y: -128.11, z: 1356.18 
x: -80.75, y: -133.66, z: 1361.35 
x: -81.18, y: -133.18, z: 1365.88 
x: -82.04, y: -133.01, z: 1370.24 
x: -93.40, y: -124.78, z: 1351.54 
x: -90.50, y: -125.68, z: 1365.00 
x: -85.76, y: -128.87, z: 1370.00 
x: -85.64, y: -131.27, z: 1370.15 
x: -87.09, y: -134.02, z: 1373.75 
x: -85.54, y: -133.18, z: 1371.80 
x: -85.51, y: -136.08, z: 1375.19 
x: -96.70, y: -124.87, z: 1366.53 
x: -92.96, y: -128.78, z: 1371.18 
x: -92.66, y: -124.85, z: 1374.14 
x: -93.83, y: -126.47, z: 1375.65 
x: -83.73, y: -134.95, z: 1358.39 
x: -86.26, y: -133.36, z: 1367.80 
x: -88.73, y: -131.70, z: 1371.99 
x: -89.57, y: -131.79, z: 1374.79 
x: -91.47, y: -125.02, z: 1355.74 
x: -94.71, y: -121.48, z: 1342.52 
x: -87.11, y: -128.39, z: 1324.01 
x: -107.14, y: -11.64, z: 1240.26 
x: -279.92, y: -0.60, z: 1003.46 
x: -466.79, y: -240.79, z: 1265.40 
