x: -498.21, y: -310.28, z: 2080.20 
x: -508.00, y: -307.97, z: 2053.04 
x: -558.56, y: -312.65, z: 2027.13 
x: -590.31, y: -293.90, z: 2031.59 
x: -597.69, y: -300.17, z: 2023.87 
x: -576.47, y: -310.46, z: 1905.22 
x: -534.04, y: -221.10, z: 1719.90 
x: -528.33, y: -222.34, z: 1500.80 
x: -514.72, y: -311.55, z: 1331.05 
x: -475.11, y: -275.42, z: 1245.21 
x: -228.07, y: -451.12, z: 1367.61 
x: -242.66, y: -532.52, z: 1371.52 
x: 94.37, y: -204.71, z: 970.28 
x: 73.15, y: -183.32, z: 946.03 
x: -16.54, y: -573.21, z: 1424.26 
x: -28.56, y: -517.25, z: 1374.46 
x: -32.40, y: -552.09, z: 1372.63 
x: -240.95, y: -212.84, z: 1009.71 
x: -226.62, y: -250.66, z: 1043.40 
x: -217.94, y: -291.30, z: 1053.49 
x: -209.58, y: -339.04, z: 1069.04 
x: -198.45, y: -379.47, z: 1085.24 
x: -177.54, y: -401.88, z: 1100.76 
x: -165.64, y: -427.64, z: 1118.92 
x: -158.87, y: -482.41, z: 1159.07 
x: -144.86, y: -486.71, z: 1172.36 
x: -135.89, y: -498.33, z: 1189.39 
x: -239.85, y: -220.91, z: 1007.44 
x: -239.42, y: -269.75, z: 1014.52 
x: -190.32, y: -253.46, z: 1050.27 
x: -120.03, y: -435.22, z: 1233.53 
x: -126.91, y: -517.50, z: 1227.55 
x: -120.86, y: -530.47, z: 1254.65 
x: -118.53, y: -535.97, z: 1268.99 
x: -117.06, y: -537.25, z: 1276.49 
x: -108.66, y: -481.43, z: 1304.73 
x: -110.67, y: -488.87, z: 1316.38 
x: -111.05, y: -550.03, z: 1319.03 
x: -107.88, y: -550.64, z: 1318.77 
x: -105.74, y: -538.69, z: 1303.81 
x: -242.11, y: -187.15, z: 966.18 
x: -228.01, y: -229.97, z: 1004.28 
x: -218.30, y: -254.86, z: 1027.87 
x: -212.30, y: -314.84, z: 1045.47 
x: -188.47, y: -313.25, z: 1113.44 
x: -205.42, y: -371.10, z: 1069.52 
x: -169.75, y: -352.10, z: 1171.72 
x: -187.13, y: -461.50, z: 1143.54 
x: -176.08, y: -483.97, z: 1174.99 
x: -163.43, y: -497.69, z: 1191.37 
x: -154.54, y: -510.26, z: 1213.44 
x: -132.88, y: -439.22, z: 1263.53 
x: -138.00, y: -532.53, z: 1254.59 
x: -132.02, y: -536.77, z: 1270.14 
x: -122.99, y: -535.56, z: 1283.06 
x: -119.91, y: -531.98, z: 1286.72 
x: -110.74, y: -535.99, z: 1298.01 
x: -105.71, y: -537.30, z: 1324.64 
x: -107.44, y: -530.63, z: 1351.06 
x: -104.91, y: -532.33, z: 1342.92 
x: -100.04, y: -534.67, z: 1347.27 
x: -99.24, y: -540.13, z: 1344.38 
x: -98.14, y: -539.23, z: 1347.03 
x: -199.29, y: -218.90, z: 1031.31 
x: -213.11, y: -289.33, z: 998.91 
x: -197.12, y: -253.02, z: 1055.04 
x: -204.09, y: -316.76, z: 1027.19 
x: -194.91, y: -358.77, z: 1049.11 
x: -167.67, y: -344.08, z: 1155.16 
x: -245.81, y: -175.95, z: 964.27 
x: -232.71, y: -228.11, z: 1005.22 
x: -229.80, y: -286.61, z: 1015.89 
x: -222.80, y: -334.50, z: 1043.18 
x: -207.98, y: -381.15, z: 1077.92 
x: -177.14, y: -229.15, z: 1044.71 
x: -190.27, y: -292.77, z: 997.26 
x: -162.52, y: -292.36, z: 1101.55 
x: -168.10, y: -376.19, z: 1054.81 
x: -142.86, y: -350.94, z: 1156.37 
x: -152.70, y: -465.11, z: 1137.67 
x: -145.93, y: -493.36, z: 1180.18 
x: -142.56, y: -513.32, z: 1196.10 
x: -150.56, y: -389.67, z: 1089.90 
x: -259.69, y: -209.22, z: 651.90 
x: -446.55, y: -449.41, z: 913.83 
