x: -549.57, y: 567.00, z: 2084.02 
x: -550.68, y: 572.38, z: 2088.56 
x: -557.57, y: 561.78, z: 2095.87 
x: -613.88, y: 568.62, z: 2095.03 
x: -639.02, y: 570.50, z: 2088.21 
x: -611.90, y: 562.27, z: 2073.08 
x: -556.15, y: 560.48, z: 1942.04 
x: -550.36, y: 507.68, z: 1741.38 
x: -522.48, y: 478.29, z: 1553.11 
x: -440.09, y: 523.68, z: 1341.09 
x: -308.09, y: 309.70, z: 1288.13 
x: -122.08, y: 240.50, z: 1444.99 
x: -95.93, y: 232.45, z: 1466.37 
x: -74.56, y: 236.16, z: 1450.96 
x: -98.70, y: 240.00, z: 1428.02 
x: -113.40, y: 244.41, z: 1427.38 
x: -133.22, y: 237.19, z: 1422.14 
x: -138.35, y: 250.25, z: 1410.28 
x: -139.33, y: 248.48, z: 1408.64 
x: -140.57, y: 249.38, z: 1407.98 
x: -142.09, y: 253.90, z: 1403.84 
x: -142.88, y: 254.71, z: 1397.65 
x: -144.10, y: 254.42, z: 1397.88 
x: -143.94, y: 251.76, z: 1398.47 
x: -146.09, y: 249.97, z: 1381.49 
x: -143.51, y: 250.39, z: 1386.95 
x: -142.28, y: 250.99, z: 1388.25 
x: -142.30, y: 250.33, z: 1387.67 
x: -141.73, y: 249.71, z: 1384.16 
x: -138.35, y: 248.43, z: 1397.23 
x: -138.12, y: 247.28, z: 1400.15 
x: -137.30, y: 253.83, z: 1370.79 
x: -138.37, y: 250.04, z: 1380.29 
x: -140.82, y: 246.60, z: 1378.96 
x: -140.78, y: 244.02, z: 1383.00 
x: -140.85, y: 246.24, z: 1387.01 
x: -144.02, y: 237.15, z: 1373.42 
x: -143.76, y: 250.54, z: 1370.88 
x: -142.59, y: 234.46, z: 1382.08 
x: -140.44, y: 238.51, z: 1402.90 
x: -140.58, y: 240.51, z: 1398.85 
x: -142.71, y: 239.64, z: 1394.25 
x: -141.86, y: 238.85, z: 1407.11 
x: -144.99, y: 238.93, z: 1406.66 
x: -147.29, y: 245.59, z: 1396.35 
x: -144.35, y: 259.70, z: 1402.81 
x: -145.87, y: 255.74, z: 1387.52 
x: -145.85, y: 253.26, z: 1387.81 
x: -146.22, y: 248.54, z: 1390.56 
x: -145.79, y: 247.49, z: 1391.04 
x: -146.58, y: 241.24, z: 1389.37 
x: -146.07, y: 241.06, z: 1400.80 
x: -147.36, y: 242.13, z: 1394.78 
x: -148.49, y: 239.20, z: 1394.45 
x: -147.69, y: 239.41, z: 1393.24 
x: -145.29, y: 255.26, z: 1379.82 
x: -147.05, y: 256.69, z: 1370.19 
x: -146.89, y: 252.29, z: 1378.13 
x: -147.61, y: 248.58, z: 1370.47 
x: -147.48, y: 249.94, z: 1381.27 
x: -146.97, y: 248.03, z: 1384.36 
x: -157.46, y: 240.51, z: 1378.52 
x: -151.10, y: 245.57, z: 1384.03 
x: -148.13, y: 244.97, z: 1395.66 
x: -153.43, y: 258.43, z: 1366.30 
x: -149.92, y: 253.14, z: 1381.85 
x: -149.01, y: 249.71, z: 1388.55 
x: -148.98, y: 247.66, z: 1392.29 
x: -149.94, y: 245.03, z: 1391.21 
x: -148.23, y: 243.94, z: 1391.01 
x: -147.22, y: 244.25, z: 1391.39 
x: -147.24, y: 247.02, z: 1386.51 
x: -146.87, y: 247.84, z: 1388.27 
x: -147.54, y: 248.72, z: 1384.80 
x: -148.04, y: 249.61, z: 1386.13 
x: -148.77, y: 241.43, z: 1384.50 
x: -149.09, y: 244.91, z: 1389.07 
x: -148.83, y: 247.08, z: 1391.42 
x: -149.18, y: 249.69, z: 1390.33 
x: -151.06, y: 249.16, z: 1382.26 
x: -151.69, y: 250.71, z: 1376.48 
x: -152.09, y: 237.08, z: 1339.71 
x: -240.83, y: 308.24, z: 1089.94 
x: -356.98, y: 420.38, z: 963.44 
x: -337.34, y: 374.93, z: 1007.64 
