x: -390.19, y: 565.72, z: 2090.65 
x: -393.69, y: 570.22, z: 2092.03 
x: -405.10, y: 560.02, z: 2095.95 
x: -459.95, y: 560.89, z: 2094.82 
x: -487.53, y: 570.70, z: 2084.08 
x: -467.93, y: 566.26, z: 2081.36 
x: -389.34, y: 560.27, z: 1952.19 
x: -386.95, y: 506.27, z: 1754.71 
x: -378.46, y: 472.79, z: 1546.43 
x: -286.21, y: 533.86, z: 1317.72 
x: -154.86, y: 328.65, z: 1267.38 
x: 23.11, y: 234.84, z: 1432.41 
x: 49.72, y: 227.11, z: 1457.82 
x: 67.61, y: 230.95, z: 1434.86 
x: 29.50, y: 241.80, z: 1381.30 
x: 14.45, y: 245.46, z: 1387.81 
x: 4.15, y: 238.79, z: 1384.46 
x: -3.02, y: 249.09, z: 1374.16 
x: -2.65, y: 246.42, z: 1373.42 
x: -2.07, y: 246.31, z: 1373.53 
x: -2.37, y: 250.17, z: 1372.04 
x: -3.73, y: 251.26, z: 1369.99 
x: -5.06, y: 251.77, z: 1366.23 
x: -5.59, y: 249.94, z: 1366.12 
x: -4.81, y: 249.87, z: 1366.31 
x: -2.99, y: 248.95, z: 1365.87 
x: -2.24, y: 249.55, z: 1363.25 
x: -2.19, y: 248.54, z: 1364.53 
x: -1.69, y: 248.70, z: 1364.24 
x: -1.51, y: 246.92, z: 1364.70 
x: -1.42, y: 246.17, z: 1365.66 
x: 0.29, y: 252.28, z: 1351.54 
x: -0.10, y: 249.27, z: 1357.64 
x: -1.18, y: 246.23, z: 1359.45 
x: -0.41, y: 243.53, z: 1362.16 
x: -0.67, y: 246.43, z: 1363.46 
x: -3.05, y: 238.37, z: 1356.06 
x: -2.34, y: 251.65, z: 1357.74 
x: -1.15, y: 236.03, z: 1369.07 
x: -2.06, y: 237.51, z: 1374.15 
x: -2.01, y: 240.47, z: 1372.19 
x: -2.50, y: 240.48, z: 1371.46 
x: -3.54, y: 240.14, z: 1374.70 
x: -4.47, y: 240.75, z: 1378.24 
x: -5.66, y: 244.88, z: 1376.23 
x: -6.03, y: 262.45, z: 1364.34 
x: -5.45, y: 256.95, z: 1366.28 
x: -6.46, y: 255.35, z: 1368.75 
x: -6.60, y: 250.92, z: 1372.23 
x: -5.96, y: 249.46, z: 1373.75 
x: -4.21, y: 242.25, z: 1375.85 
x: -5.19, y: 243.09, z: 1376.02 
x: -5.54, y: 243.77, z: 1375.94 
x: -5.44, y: 240.54, z: 1374.13 
x: -5.34, y: 241.67, z: 1372.41 
x: -6.37, y: 256.97, z: 1359.05 
x: -6.81, y: 258.08, z: 1353.97 
x: -6.29, y: 253.90, z: 1360.92 
x: -5.98, y: 252.25, z: 1365.04 
x: -7.04, y: 253.35, z: 1364.14 
x: -6.35, y: 251.24, z: 1365.10 
x: -12.14, y: 245.52, z: 1360.63 
x: -8.79, y: 249.51, z: 1362.78 
x: -7.58, y: 248.84, z: 1367.99 
x: -10.84, y: 260.73, z: 1354.47 
x: -9.32, y: 255.52, z: 1361.69 
x: -9.24, y: 253.07, z: 1364.02 
x: -9.53, y: 251.28, z: 1365.59 
x: -9.81, y: 247.99, z: 1365.05 
x: -8.36, y: 246.84, z: 1365.78 
x: -7.83, y: 247.13, z: 1365.18 
x: -7.08, y: 247.96, z: 1364.08 
x: -7.29, y: 249.27, z: 1363.63 
x: -7.35, y: 250.06, z: 1361.75 
x: -7.89, y: 250.88, z: 1361.68 
x: -6.79, y: 244.97, z: 1369.11 
x: -7.92, y: 248.18, z: 1366.91 
x: -8.26, y: 249.70, z: 1366.49 
x: -9.01, y: 252.06, z: 1363.58 
x: -9.34, y: 251.97, z: 1363.82 
x: -9.19, y: 253.16, z: 1364.94 
x: -8.11, y: 240.87, z: 1317.66 
x: -103.47, y: 321.38, z: 1045.01 
x: -225.72, y: 417.31, z: 906.27 
x: -240.75, y: 359.21, z: 954.53 
