x: -115.92, y: 388.54, z: 2068.97 
x: -152.97, y: 364.00, z: 2100.29 
x: -190.07, y: 361.91, z: 2125.09 
x: -295.92, y: 336.95, z: 2149.24 
x: -272.27, y: 352.73, z: 2132.42 
x: -229.60, y: 337.13, z: 2125.10 
x: -189.31, y: 380.10, z: 2100.26 
x: -159.03, y: 252.52, z: 1825.86 
x: -152.69, y: 234.59, z: 1548.45 
x: -100.38, y: 337.61, z: 1463.22 
x: 93.49, y: 149.12, z: 1285.77 
x: 213.75, y: -4.88, z: 1442.52 
x: 227.55, y: -3.20, z: 1484.72 
x: 253.53, y: 10.40, z: 1456.38 
x: 208.99, y: 28.04, z: 1367.84 
x: 203.50, y: 32.95, z: 1399.08 
x: 207.99, y: 31.50, z: 1389.76 
x: 210.37, y: 25.07, z: 1389.70 
x: 208.92, y: 27.78, z: 1367.98 
x: 209.45, y: 27.27, z: 1357.39 
x: 207.67, y: 17.69, z: 1316.06 
x: 206.33, y: 23.57, z: 1330.20 
x: 204.49, y: 24.90, z: 1332.34 
x: 203.21, y: 25.07, z: 1332.44 
x: 204.80, y: 30.55, z: 1360.26 
x: 209.19, y: 12.84, z: 1318.03 
x: 207.42, y: 18.17, z: 1328.32 
x: 208.95, y: 14.13, z: 1339.50 
x: 209.16, y: 17.59, z: 1345.12 
x: 206.52, y: 10.82, z: 1318.64 
x: 208.08, y: 10.99, z: 1277.32 
x: 210.32, y: 16.71, z: 1261.17 
x: 209.86, y: 12.88, z: 1277.96 
x: 211.74, y: 19.90, z: 1321.58 
x: 212.18, y: 13.97, z: 1299.82 
x: 209.85, y: 12.31, z: 1304.12 
x: 209.30, y: 7.52, z: 1309.07 
x: 212.31, y: 25.86, z: 1323.12 
x: 213.21, y: 36.36, z: 1321.32 
x: 214.13, y: 27.72, z: 1320.25 
x: 215.62, y: 25.11, z: 1336.58 
x: 215.41, y: 18.29, z: 1335.13 
x: 211.64, y: 17.36, z: 1320.98 
x: 201.34, y: 25.35, z: 1293.56 
x: 206.23, y: 23.09, z: 1307.05 
x: 201.86, y: 15.02, z: 1290.96 
x: 204.55, y: 21.65, z: 1306.48 
x: 222.54, y: 34.39, z: 1327.77 
x: 214.44, y: 29.52, z: 1318.79 
x: 210.86, y: 25.92, z: 1316.45 
x: 216.77, y: 8.13, z: 1289.78 
x: 217.25, y: 6.80, z: 1317.32 
x: 218.12, y: 9.95, z: 1323.41 
x: 214.54, y: 6.51, z: 1316.39 
x: 211.30, y: 6.47, z: 1313.73 
x: 200.54, y: 14.50, z: 1297.91 
x: 196.31, y: 21.94, z: 1283.33 
x: 200.69, y: 18.05, z: 1298.85 
x: 200.99, y: 19.62, z: 1306.08 
x: 201.21, y: 17.19, z: 1295.38 
x: 201.62, y: 14.45, z: 1293.48 
x: 203.85, y: 4.34, z: 1297.75 
x: 202.87, y: 6.45, z: 1296.48 
x: 202.48, y: 8.21, z: 1307.07 
x: 188.49, y: 48.00, z: 1256.06 
x: 194.20, y: 29.79, z: 1267.66 
x: 186.80, y: 27.56, z: 1238.67 
x: 200.41, y: 13.02, z: 1268.16 
x: 203.03, y: 9.70, z: 1299.25 
x: 201.47, y: 12.68, z: 1289.53 
x: 203.03, y: 9.34, z: 1283.88 
x: 203.13, y: 7.35, z: 1284.37 
x: 206.16, y: 7.90, z: 1291.40 
x: 208.41, y: 8.23, z: 1299.02 
x: 198.10, y: 13.84, z: 1260.00 
x: 202.92, y: 18.34, z: 1283.07 
x: 204.45, y: 14.06, z: 1289.14 
x: 204.46, y: 12.57, z: 1294.91 
x: 204.43, y: 11.62, z: 1299.47 
x: 204.37, y: 15.80, z: 1310.91 
x: 206.08, y: 15.88, z: 1315.09 
x: 205.37, y: 13.20, z: 1182.48 
x: 122.63, y: 123.57, z: 955.32 
x: 6.44, y: 162.83, z: 859.38 
x: -215.13, y: -184.13, z: 1486.54 
