x: -334.52, y: -718.39, z: 2104.41 
x: -346.66, y: -690.55, z: 2088.56 
x: -350.42, y: -684.33, z: 2092.03 
x: -372.01, y: -705.80, z: 2076.52 
x: -380.21, y: -709.17, z: 2062.42 
x: -373.49, y: -695.71, z: 2058.88 
x: -368.56, y: -682.80, z: 2034.50 
x: -381.08, y: -708.36, z: 1897.97 
x: -321.09, y: -692.60, z: 1455.49 
x: -269.89, y: -624.02, z: 1353.72 
x: -229.08, y: -648.73, z: 1325.58 
x: -170.90, y: -613.35, z: 1312.76 
x: 52.20, y: -171.19, z: 1440.72 
x: 54.94, y: -212.89, z: 1370.77 
x: 52.20, y: -176.09, z: 1391.70 
x: 27.09, y: -167.03, z: 1379.02 
x: 34.01, y: -161.92, z: 1361.04 
x: -67.62, y: -194.54, z: 1428.33 
x: -205.80, y: -597.96, z: 1631.50 
x: -59.53, y: -868.50, z: 1557.60 
x: -15.56, y: -893.71, z: 1531.40 
x: 4.08, y: -919.60, z: 1483.04 
x: 47.85, y: -920.12, z: 1484.17 
x: 44.54, y: -930.28, z: 1447.62 
x: 58.13, y: -927.61, z: 1417.71 
x: 54.74, y: -933.31, z: 1418.22 
x: 56.71, y: -935.55, z: 1419.41 
x: 63.37, y: -940.83, z: 1404.76 
x: 76.82, y: -936.04, z: 1407.13 
x: 79.18, y: -939.35, z: 1419.06 
x: 66.06, y: -928.18, z: 1440.57 
x: 53.83, y: -924.88, z: 1446.65 
x: 50.61, y: -924.86, z: 1447.71 
x: 51.77, y: -921.00, z: 1443.58 
x: 57.58, y: -926.33, z: 1422.22 
x: 53.75, y: -931.17, z: 1423.52 
x: 55.23, y: -935.69, z: 1417.60 
x: 62.42, y: -934.63, z: 1404.11 
x: 64.97, y: -938.37, z: 1402.59 
x: 69.59, y: -938.48, z: 1408.15 
x: 64.57, y: -940.82, z: 1398.21 
x: 67.32, y: -941.42, z: 1386.11 
x: 76.39, y: -954.79, z: 1400.05 
x: 73.32, y: -947.70, z: 1387.09 
x: 67.60, y: -935.81, z: 1385.76 
x: 66.71, y: -918.76, z: 1392.59 
x: 61.92, y: -917.75, z: 1383.19 
x: 68.05, y: -924.04, z: 1363.84 
x: 72.83, y: -927.14, z: 1363.82 
x: 71.93, y: -924.30, z: 1356.76 
x: 73.41, y: -926.59, z: 1368.34 
x: 94.47, y: -868.26, z: 1331.74 
x: 142.55, y: -560.08, z: 1146.88 
x: 137.08, y: -616.37, z: 1146.09 
x: 134.47, y: -659.07, z: 1150.12 
x: 123.83, y: -710.66, z: 1175.55 
x: 115.72, y: -750.16, z: 1202.54 
x: 102.13, y: -766.57, z: 1212.63 
x: 99.83, y: -792.22, z: 1217.26 
x: 92.39, y: -824.00, z: 1243.82 
x: 90.33, y: -843.43, z: 1259.18 
x: 84.72, y: -849.29, z: 1284.52 
x: 81.08, y: -858.56, z: 1298.84 
x: 73.21, y: -870.19, z: 1317.77 
x: 70.50, y: -870.21, z: 1329.56 
x: 60.47, y: -870.97, z: 1348.41 
x: 61.09, y: -879.57, z: 1361.57 
x: 62.92, y: -890.74, z: 1375.09 
x: 63.93, y: -900.24, z: 1386.08 
x: 63.20, y: -903.79, z: 1394.84 
x: 65.19, y: -912.11, z: 1390.07 
x: 67.60, y: -905.11, z: 1380.49 
x: 65.54, y: -905.92, z: 1380.08 
x: 66.83, y: -903.28, z: 1378.66 
x: 62.79, y: -904.79, z: 1389.53 
x: 62.59, y: -914.97, z: 1392.28 
x: 71.36, y: -915.87, z: 1395.55 
x: 73.21, y: -916.02, z: 1399.76 
x: 75.33, y: -891.92, z: 1384.86 
x: 155.45, y: -584.01, z: 1136.52 
x: 150.37, y: -643.89, z: 1146.06 
x: 148.26, y: -730.28, z: 1158.90 
x: 81.46, y: -856.08, z: 1365.68 
x: 67.45, y: -779.50, z: 1315.53 
x: 164.40, y: -984.92, z: 1321.43 
