x: 10.63, y: 452.48, z: 1840.98 
x: 20.34, y: 437.80, z: 1856.51 
x: -27.78, y: 447.77, z: 1876.79 
x: -99.55, y: 437.51, z: 1885.25 
x: -93.07, y: 410.80, z: 1878.40 
x: -98.62, y: 226.24, z: 1846.74 
x: -152.88, y: 172.11, z: 1877.54 
x: -212.81, y: 116.40, z: 1611.80 
x: -151.51, y: 76.35, z: 1394.20 
x: 1.41, y: 72.12, z: 1355.81 
x: 126.29, y: -52.48, z: 1035.85 
x: 252.09, y: -174.04, z: 1194.43 
x: 215.04, y: -249.90, z: 1306.13 
x: 209.05, y: -262.51, z: 1272.80 
x: 207.63, y: -197.55, z: 1281.42 
x: 218.96, y: -165.67, z: 1267.91 
x: 240.23, y: -115.91, z: 979.52 
x: 127.66, y: -196.83, z: 1056.98 
x: 187.30, y: -162.00, z: 994.52 
x: 128.50, y: -330.96, z: 995.89 
x: 181.03, y: -127.03, z: 1005.08 
x: 204.10, y: -77.11, z: 1000.65 
x: 136.84, y: -328.81, z: 991.14 
x: 137.44, y: -336.97, z: 988.12 
x: 181.86, y: -116.58, z: 1027.39 
x: 179.91, y: -105.20, z: 1023.76 
x: 196.92, y: -108.01, z: 1014.83 
x: 150.94, y: -343.31, z: 989.67 
x: 142.70, y: -347.79, z: 1005.35 
x: 198.65, y: -135.55, z: 988.43 
x: 203.14, y: -135.91, z: 991.81 
x: 212.98, y: -132.06, z: 994.51 
x: 208.83, y: -135.16, z: 992.03 
x: 209.29, y: -116.83, z: 995.17 
x: 213.05, y: -132.65, z: 1001.02 
x: 204.37, y: -134.04, z: 999.46 
x: 185.08, y: -125.07, z: 1013.05 
x: 183.48, y: -123.07, z: 1017.71 
x: 189.15, y: -108.96, z: 1012.66 
x: 132.77, y: -317.25, z: 982.74 
x: 132.52, y: -327.62, z: 985.06 
x: 145.04, y: -335.53, z: 987.55 
x: 144.57, y: -336.01, z: 974.90 
x: 188.73, y: -104.98, z: 1006.52 
x: 209.74, y: -103.31, z: 1005.68 
x: 200.12, y: -131.49, z: 992.84 
x: 189.71, y: -150.94, z: 1012.73 
x: 216.78, y: -132.06, z: 1185.67 
x: 172.39, y: -150.56, z: 1018.71 
x: 189.85, y: -65.59, z: 1021.93 
x: 197.13, y: -126.76, z: 995.27 
x: 185.72, y: -73.26, z: 1000.71 
x: 189.05, y: -88.14, z: 1012.68 
x: 193.58, y: -112.36, z: 999.14 
x: 191.51, y: -131.02, z: 994.83 
x: 185.82, y: -150.70, z: 989.26 
x: 186.06, y: -160.84, z: 986.32 
x: 184.59, y: -178.41, z: 986.81 
x: 183.18, y: -193.12, z: 996.86 
x: 219.18, y: -110.36, z: 1000.49 
x: 214.28, y: -133.52, z: 995.75 
x: 207.27, y: -138.35, z: 997.34 
x: 196.76, y: -115.72, z: 1001.20 
x: 199.87, y: -136.57, z: 994.94 
x: 142.87, y: -352.47, z: 981.14 
x: 138.12, y: -359.52, z: 980.32 
x: 209.54, y: -141.74, z: 990.05 
x: 204.39, y: -132.94, z: 991.09 
x: 179.66, y: -145.03, z: 997.72 
x: 186.36, y: -142.91, z: 994.05 
x: 128.91, y: -371.73, z: 979.56 
x: 197.19, y: -137.11, z: 994.17 
x: 191.06, y: -127.50, z: 993.18 
x: 188.76, y: -141.16, z: 1008.29 
x: 189.05, y: -137.92, z: 997.93 
x: 197.92, y: -120.83, z: 1004.20 
x: 182.29, y: -134.99, z: 1004.93 
x: 185.82, y: -128.74, z: 1007.87 
x: 191.00, y: -103.69, z: 989.90 
x: 191.42, y: -117.85, z: 1000.85 
x: 188.98, y: -143.79, z: 1011.44 
x: 157.11, y: -80.63, z: 887.27 
x: -55.24, y: 2.99, z: 752.35 
x: -107.64, y: -68.98, z: 636.92 
x: 22.07, y: -233.30, z: 1233.46 
