x: -296.46, y: 79.30, z: 2065.33 
x: -303.47, y: 107.43, z: 2061.23 
x: -306.36, y: 108.38, z: 2067.80 
x: -404.22, y: 120.94, z: 2054.68 
x: -398.33, y: 123.17, z: 2046.00 
x: -356.97, y: 104.67, z: 2020.97 
x: -313.31, y: 117.86, z: 1964.38 
x: -307.34, y: 68.29, z: 1751.14 
x: -329.58, y: 55.01, z: 1384.44 
x: -149.81, y: 95.37, z: 1344.64 
x: -8.06, y: -56.66, z: 1314.16 
x: 84.87, y: -172.45, z: 1440.23 
x: 97.45, y: -148.70, z: 1414.30 
x: 109.50, y: -147.04, z: 1382.35 
x: 95.31, y: -159.32, z: 1360.01 
x: 89.29, y: -146.98, z: 1364.17 
x: 91.07, y: -142.53, z: 1366.43 
x: 81.28, y: -144.30, z: 1367.82 
x: 77.71, y: -146.24, z: 1371.99 
x: 74.25, y: -146.83, z: 1373.20 
x: 72.55, y: -145.66, z: 1371.25 
x: 71.37, y: -145.60, z: 1369.63 
x: 72.67, y: -139.80, z: 1363.71 
x: 75.03, y: -139.01, z: 1358.73 
x: 75.17, y: -136.25, z: 1346.07 
x: 74.36, y: -141.07, z: 1355.40 
x: 74.52, y: -142.22, z: 1352.02 
x: 73.61, y: -144.24, z: 1358.89 
x: 74.86, y: -141.04, z: 1349.24 
x: 75.56, y: -146.95, z: 1363.61 
x: 76.76, y: -140.78, z: 1361.93 
x: 77.78, y: -140.94, z: 1358.37 
x: 78.54, y: -141.51, z: 1351.31 
x: 77.41, y: -139.82, z: 1346.42 
x: 77.40, y: -139.09, z: 1343.72 
x: 79.30, y: -141.87, z: 1343.89 
x: 82.40, y: -144.13, z: 1351.90 
x: 83.89, y: -141.37, z: 1342.93 
x: 82.61, y: -142.70, z: 1348.43 
x: 79.50, y: -138.30, z: 1353.26 
x: 78.66, y: -138.87, z: 1352.85 
x: 79.36, y: -138.96, z: 1351.89 
x: 82.78, y: -152.16, z: 1363.48 
x: 79.24, y: -146.95, z: 1364.48 
x: 78.33, y: -136.06, z: 1353.67 
x: 82.59, y: -119.44, z: 1326.78 
x: 78.96, y: -119.58, z: 1326.35 
x: 79.21, y: -124.33, z: 1335.45 
x: 79.95, y: -127.94, z: 1340.16 
x: 81.25, y: -131.18, z: 1340.74 
x: 81.48, y: -134.47, z: 1347.03 
x: 82.99, y: -145.78, z: 1358.81 
x: 82.17, y: -147.61, z: 1363.40 
x: 81.80, y: -145.71, z: 1359.89 
x: 83.80, y: -138.43, z: 1353.49 
x: 84.07, y: -134.11, z: 1351.00 
x: 82.79, y: -135.81, z: 1356.15 
x: 81.89, y: -132.61, z: 1353.72 
x: 82.38, y: -121.48, z: 1332.84 
x: 78.72, y: -122.66, z: 1331.54 
x: 79.19, y: -124.48, z: 1334.36 
x: 80.15, y: -128.12, z: 1341.54 
x: 81.93, y: -128.67, z: 1341.52 
x: 82.30, y: -128.49, z: 1337.88 
x: 82.41, y: -121.95, z: 1336.96 
x: 82.14, y: -122.75, z: 1340.25 
x: 82.46, y: -124.83, z: 1340.48 
x: 81.93, y: -126.92, z: 1338.07 
x: 80.95, y: -130.46, z: 1342.38 
x: 81.25, y: -129.72, z: 1341.71 
x: 83.36, y: -132.61, z: 1343.44 
x: 83.71, y: -123.65, z: 1337.66 
x: 83.23, y: -126.98, z: 1340.07 
x: 84.40, y: -123.16, z: 1345.03 
x: 84.31, y: -124.86, z: 1344.58 
x: 84.65, y: -130.76, z: 1340.13 
x: 84.05, y: -129.42, z: 1341.07 
x: 82.90, y: -128.51, z: 1341.55 
x: 82.48, y: -128.89, z: 1341.96 
x: 82.59, y: -121.58, z: 1333.10 
x: 84.32, y: -118.41, z: 1328.02 
x: 88.04, y: -123.78, z: 1297.19 
x: 70.97, y: 5.40, z: 1182.00 
x: -134.14, y: -4.02, z: 939.97 
x: -16.33, y: -314.12, z: 1017.71 
