x: -311.31, y: -325.95, z: 2038.10 
x: -336.52, y: -276.58, z: 2022.92 
x: -354.23, y: -287.35, z: 2039.49 
x: -370.61, y: -298.07, z: 2027.39 
x: -377.13, y: -302.23, z: 2017.81 
x: -350.86, y: -292.46, z: 2022.19 
x: -328.47, y: -289.45, z: 1905.05 
x: -333.80, y: -314.55, z: 1760.12 
x: -311.51, y: -307.26, z: 1378.37 
x: -81.82, y: -105.45, z: 1026.74 
x: 71.70, y: -168.88, z: 927.93 
x: 92.66, y: -188.08, z: 938.14 
x: 74.85, y: -191.23, z: 955.51 
x: 62.28, y: -190.48, z: 974.22 
x: 87.48, y: -571.36, z: 1383.75 
x: 87.44, y: -558.71, z: 1383.32 
x: 85.93, y: -553.73, z: 1376.21 
x: 80.19, y: -555.57, z: 1363.43 
x: 79.92, y: -556.94, z: 1361.81 
x: 79.11, y: -557.15, z: 1358.29 
x: 76.99, y: -555.51, z: 1350.35 
x: 77.03, y: -555.39, z: 1350.14 
x: 77.45, y: -549.47, z: 1353.68 
x: 78.38, y: -548.60, z: 1356.55 
x: 78.23, y: -544.45, z: 1334.09 
x: 77.47, y: -549.24, z: 1339.10 
x: 77.82, y: -550.82, z: 1341.95 
x: 75.89, y: -553.74, z: 1327.62 
x: 75.56, y: -550.63, z: 1321.95 
x: 69.66, y: -555.76, z: 1326.33 
x: 68.95, y: -549.83, z: 1328.02 
x: 67.97, y: -550.02, z: 1323.25 
x: 66.65, y: -550.95, z: 1321.78 
x: 69.25, y: -548.90, z: 1313.02 
x: 69.28, y: -548.06, z: 1310.39 
x: 74.30, y: -551.58, z: 1316.82 
x: 74.84, y: -553.38, z: 1321.63 
x: 76.02, y: -550.55, z: 1315.52 
x: 68.25, y: -551.56, z: 1328.58 
x: 71.33, y: -548.85, z: 1343.55 
x: 68.02, y: -550.01, z: 1335.47 
x: 65.28, y: -549.58, z: 1332.45 
x: 71.49, y: -562.96, z: 1346.72 
x: 68.53, y: -556.40, z: 1333.74 
x: 68.29, y: -545.71, z: 1322.96 
x: 72.97, y: -529.62, z: 1328.04 
x: 70.94, y: -529.59, z: 1313.21 
x: 70.86, y: -533.50, z: 1309.71 
x: 75.37, y: -536.64, z: 1311.98 
x: 77.25, y: -536.90, z: 1289.27 
x: 77.29, y: -540.12, z: 1296.81 
x: 198.90, y: -178.34, z: 990.43 
x: 188.89, y: -210.50, z: 974.37 
x: 176.62, y: -262.67, z: 980.36 
x: 168.47, y: -302.85, z: 990.28 
x: 154.66, y: -354.44, z: 1015.85 
x: 142.30, y: -392.57, z: 1046.33 
x: 128.08, y: -408.33, z: 1058.83 
x: 126.01, y: -430.30, z: 1072.40 
x: 115.83, y: -458.89, z: 1105.83 
x: 111.32, y: -474.73, z: 1129.27 
x: 104.86, y: -483.95, z: 1145.04 
x: 99.28, y: -492.89, z: 1161.07 
x: 93.72, y: -503.99, z: 1181.12 
x: 90.02, y: -503.28, z: 1194.52 
x: 82.04, y: -507.05, z: 1205.13 
x: 76.56, y: -514.39, z: 1217.89 
x: 76.33, y: -522.89, z: 1238.37 
x: 75.50, y: -529.84, z: 1254.56 
x: 74.06, y: -531.83, z: 1268.02 
x: 71.73, y: -535.73, z: 1277.35 
x: 71.49, y: -526.99, z: 1274.40 
x: 67.75, y: -529.00, z: 1270.05 
x: 66.70, y: -524.87, z: 1273.96 
x: 68.67, y: -527.74, z: 1280.43 
x: 71.82, y: -535.84, z: 1290.91 
x: 73.94, y: -535.38, z: 1298.98 
x: 74.37, y: -535.05, z: 1305.10 
x: 195.38, y: -185.28, z: 1014.09 
x: 210.03, y: -236.18, z: 962.16 
x: 202.23, y: -292.52, z: 977.23 
x: 198.63, y: -376.20, z: 994.43 
x: 146.77, y: -291.17, z: 1094.16 
x: 113.89, y: -317.59, z: 1066.45 
x: 202.98, y: -635.99, z: 1143.53 
