x: -230.81, y: 564.44, z: 2097.27 
x: -236.70, y: 568.07, z: 2095.50 
x: -252.63, y: 558.26, z: 2096.03 
x: -306.03, y: 553.16, z: 2094.60 
x: -336.03, y: 570.90, z: 2079.94 
x: -323.96, y: 570.25, z: 2089.64 
x: -222.52, y: 560.07, z: 1962.33 
x: -223.54, y: 504.86, z: 1768.05 
x: -234.44, y: 467.30, z: 1539.76 
x: -132.32, y: 544.03, z: 1294.35 
x: -1.64, y: 347.59, z: 1246.63 
x: 168.31, y: 229.17, z: 1419.83 
x: 195.37, y: 221.76, z: 1449.27 
x: 209.79, y: 225.74, z: 1418.76 
x: 157.71, y: 243.60, z: 1334.58 
x: 142.30, y: 246.50, z: 1348.25 
x: 141.51, y: 240.38, z: 1346.77 
x: 132.32, y: 247.93, z: 1338.04 
x: 134.04, y: 244.36, z: 1338.20 
x: 136.42, y: 243.24, z: 1339.09 
x: 137.36, y: 246.43, z: 1340.24 
x: 135.43, y: 247.82, z: 1342.32 
x: 133.99, y: 249.12, z: 1334.58 
x: 132.76, y: 248.12, z: 1333.78 
x: 136.48, y: 249.76, z: 1351.12 
x: 137.52, y: 247.50, z: 1344.80 
x: 137.80, y: 248.11, z: 1338.26 
x: 137.92, y: 246.75, z: 1341.40 
x: 138.35, y: 247.69, z: 1344.32 
x: 135.33, y: 245.41, z: 1332.18 
x: 135.29, y: 245.06, z: 1331.17 
x: 137.88, y: 250.74, z: 1332.29 
x: 138.17, y: 248.50, z: 1334.98 
x: 138.46, y: 245.86, z: 1339.95 
x: 139.97, y: 243.03, z: 1341.31 
x: 139.52, y: 246.62, z: 1339.91 
x: 137.92, y: 239.58, z: 1338.71 
x: 139.09, y: 252.75, z: 1344.60 
x: 140.30, y: 237.61, z: 1356.07 
x: 136.33, y: 236.51, z: 1345.40 
x: 136.56, y: 240.42, z: 1345.53 
x: 137.70, y: 241.32, z: 1348.68 
x: 134.79, y: 241.43, z: 1342.29 
x: 136.05, y: 242.57, z: 1349.81 
x: 135.97, y: 244.18, z: 1356.11 
x: 132.29, y: 265.19, z: 1325.86 
x: 134.97, y: 258.16, z: 1345.05 
x: 132.93, y: 257.43, z: 1349.69 
x: 133.02, y: 253.29, z: 1353.90 
x: 133.87, y: 251.44, z: 1356.46 
x: 138.16, y: 243.26, z: 1362.32 
x: 135.69, y: 245.11, z: 1351.25 
x: 136.28, y: 245.41, z: 1357.11 
x: 137.61, y: 241.88, z: 1353.82 
x: 137.00, y: 243.93, z: 1351.58 
x: 132.55, y: 258.67, z: 1338.28 
x: 133.44, y: 259.48, z: 1337.74 
x: 134.32, y: 255.50, z: 1343.70 
x: 135.64, y: 255.91, z: 1359.61 
x: 133.40, y: 256.77, z: 1347.00 
x: 134.26, y: 254.44, z: 1345.83 
x: 133.18, y: 250.52, z: 1342.74 
x: 133.51, y: 253.44, z: 1341.53 
x: 132.97, y: 252.71, z: 1340.31 
x: 131.74, y: 263.03, z: 1342.65 
x: 131.29, y: 257.90, z: 1341.53 
x: 130.53, y: 256.42, z: 1339.49 
x: 129.92, y: 254.90, z: 1338.89 
x: 130.32, y: 250.95, z: 1338.90 
x: 131.51, y: 249.74, z: 1340.54 
x: 131.56, y: 250.00, z: 1338.98 
x: 133.08, y: 248.91, z: 1341.65 
x: 132.29, y: 250.69, z: 1338.98 
x: 132.83, y: 251.40, z: 1338.71 
x: 132.25, y: 252.14, z: 1337.24 
x: 135.19, y: 248.50, z: 1353.71 
x: 133.24, y: 251.44, z: 1344.75 
x: 132.30, y: 252.32, z: 1341.56 
x: 131.17, y: 254.42, z: 1336.83 
x: 132.38, y: 254.77, z: 1345.39 
x: 133.31, y: 255.60, z: 1353.40 
x: 135.88, y: 244.66, z: 1295.61 
x: 33.90, y: 334.53, z: 1000.09 
x: -94.45, y: 414.23, z: 849.09 
x: -144.17, y: 343.49, z: 901.42 
