x: -391.54, y: 322.90, z: 2075.99 
x: -396.50, y: 339.48, z: 2075.57 
x: -407.70, y: 334.80, z: 2081.85 
x: -470.93, y: 342.86, z: 2074.80 
x: -487.71, y: 346.87, z: 2066.26 
x: -459.60, y: 334.15, z: 2048.45 
x: -389.84, y: 339.12, z: 1955.94 
x: -388.41, y: 287.64, z: 1749.56 
x: -390.06, y: 265.28, z: 1467.11 
x: -268.29, y: 311.29, z: 1338.82 
x: -126.37, y: 130.44, z: 1296.85 
x: 15.85, y: 32.68, z: 1439.63 
x: 41.70, y: 40.37, z: 1437.93 
x: 58.15, y: 43.07, z: 1412.05 
x: 32.43, y: 40.82, z: 1381.58 
x: 15.85, y: 48.94, z: 1387.14 
x: 6.95, y: 47.65, z: 1386.60 
x: -2.57, y: 52.75, z: 1382.12 
x: -3.09, y: 50.70, z: 1383.17 
x: -3.97, y: 50.63, z: 1383.33 
x: -5.61, y: 53.34, z: 1380.90 
x: -7.03, y: 53.84, z: 1377.93 
x: -6.95, y: 56.76, z: 1374.25 
x: -6.74, y: 56.01, z: 1372.12 
x: -5.56, y: 56.84, z: 1360.57 
x: -4.87, y: 54.35, z: 1366.72 
x: -3.98, y: 54.08, z: 1364.80 
x: -4.08, y: 52.66, z: 1368.28 
x: -3.35, y: 54.12, z: 1362.42 
x: -1.62, y: 50.41, z: 1373.34 
x: -0.99, y: 53.01, z: 1373.55 
x: -0.66, y: 56.12, z: 1360.51 
x: -0.63, y: 54.10, z: 1361.00 
x: -1.82, y: 53.31, z: 1358.52 
x: -1.57, y: 52.36, z: 1358.89 
x: -0.91, y: 52.22, z: 1360.43 
x: -1.04, y: 46.77, z: 1358.99 
x: -1.13, y: 54.81, z: 1354.23 
x: 0.36, y: 46.21, z: 1362.47 
x: -3.75, y: 49.91, z: 1372.53 
x: -2.42, y: 50.81, z: 1370.36 
x: -1.89, y: 50.52, z: 1368.23 
x: -0.80, y: 43.61, z: 1378.56 
x: -1.75, y: 46.39, z: 1379.27 
x: -7.33, y: 54.63, z: 1371.15 
x: -4.17, y: 70.66, z: 1357.36 
x: -5.87, y: 68.32, z: 1352.76 
x: -5.12, y: 64.89, z: 1357.78 
x: -4.76, y: 60.78, z: 1361.63 
x: -4.66, y: 58.55, z: 1362.48 
x: -3.86, y: 53.59, z: 1365.47 
x: -2.62, y: 48.06, z: 1374.72 
x: -3.37, y: 47.60, z: 1375.21 
x: -3.79, y: 47.02, z: 1372.97 
x: -2.80, y: 50.96, z: 1369.10 
x: -3.62, y: 60.91, z: 1361.37 
x: -4.16, y: 60.72, z: 1359.94 
x: -3.89, y: 60.16, z: 1362.42 
x: -1.68, y: 64.35, z: 1350.47 
x: -3.85, y: 64.38, z: 1352.68 
x: -3.41, y: 62.47, z: 1355.18 
x: -6.22, y: 57.31, z: 1356.04 
x: -4.21, y: 59.29, z: 1358.24 
x: -3.73, y: 59.05, z: 1361.02 
x: -8.17, y: 68.68, z: 1349.36 
x: -6.75, y: 65.65, z: 1357.16 
x: -5.45, y: 63.11, z: 1359.63 
x: -5.69, y: 61.09, z: 1359.85 
x: -6.44, y: 57.88, z: 1361.56 
x: -5.25, y: 57.69, z: 1361.26 
x: -4.45, y: 56.39, z: 1362.25 
x: -6.79, y: 61.85, z: 1358.09 
x: -6.08, y: 60.69, z: 1359.62 
x: -5.74, y: 63.03, z: 1360.67 
x: -6.33, y: 62.61, z: 1360.90 
x: -3.16, y: 56.06, z: 1359.18 
x: -4.51, y: 58.40, z: 1360.67 
x: -5.59, y: 59.80, z: 1361.63 
x: -6.28, y: 60.86, z: 1360.98 
x: -6.89, y: 64.33, z: 1354.12 
x: -7.19, y: 66.61, z: 1350.10 
x: -3.82, y: 57.39, z: 1314.13 
x: -60.78, y: 159.13, z: 1128.07 
x: -216.37, y: 207.50, z: 938.99 
x: -241.16, y: 40.88, z: 1048.04 
