x: 422.99, y: 388.48, z: 1917.58 
x: 428.59, y: 393.01, z: 1914.66 
x: 422.97, y: 388.77, z: 1899.28 
x: 403.49, y: 390.52, z: 1949.99 
x: 428.06, y: 412.81, z: 1953.54 
x: 403.85, y: 427.99, z: 1946.99 
x: 413.57, y: 418.71, z: 1952.23 
x: 409.50, y: 412.06, z: 1965.84 
x: 405.96, y: 397.68, z: 1968.45 
x: 409.33, y: 375.87, z: 1944.93 
x: 407.71, y: 400.70, z: 1953.05 
x: 415.93, y: 425.24, z: 1929.05 
x: 410.08, y: 411.24, z: 1941.12 
x: 415.78, y: 428.61, z: 1959.52 
x: 407.45, y: 421.80, z: 2007.31 
x: 407.94, y: 412.55, z: 1991.11 
x: 412.43, y: 418.62, z: 1980.59 
x: 417.54, y: 416.81, z: 1966.41 
x: 414.72, y: 411.72, z: 1966.05 
x: 382.75, y: 388.82, z: 1973.53 
x: 373.10, y: 376.83, z: 1986.78 
x: 340.29, y: 366.68, z: 1999.48 
x: 350.66, y: 369.29, z: 2049.57 
x: 345.34, y: 369.89, z: 2067.46 
x: 345.40, y: 375.20, z: 2085.89 
x: 346.93, y: 370.13, z: 2093.91 
x: 342.80, y: 366.82, z: 2100.18 
x: 344.25, y: 366.39, z: 2100.10 
x: 343.07, y: 365.68, z: 2097.43 
x: 347.97, y: 359.04, z: 2121.58 
x: 328.77, y: 362.66, z: 2070.65 
x: 329.14, y: 370.68, z: 2072.15 
x: 327.50, y: 373.40, z: 2066.06 
x: 331.89, y: 381.20, z: 2080.53 
x: 335.53, y: 380.24, z: 2092.31 
x: 324.07, y: 372.42, z: 2117.23 
x: 312.54, y: 388.57, z: 2145.36 
x: 310.60, y: 394.69, z: 2158.41 
x: 312.21, y: 397.81, z: 2157.61 
x: 333.68, y: 313.72, z: 2136.29 
x: 320.51, y: 349.83, z: 2139.91 
x: 432.06, y: 632.67, z: 1982.07 
x: 434.91, y: 636.23, z: 1977.39 
x: 346.78, y: 445.09, z: 2093.98 
x: 295.09, y: 378.08, z: 2101.02 
x: 279.42, y: 365.36, z: 2071.81 
x: 276.45, y: 308.82, z: 2052.52 
x: 306.29, y: 483.39, z: 2195.81 
x: 250.40, y: 278.18, z: 2089.90 
x: 276.44, y: 379.83, z: 2108.42 
x: 268.19, y: 376.12, z: 2109.89 
x: 269.48, y: 249.71, z: 2054.09 
x: 251.92, y: 350.14, z: 1993.69 
x: 243.64, y: 256.49, z: 2055.43 
x: 265.84, y: 318.72, z: 2067.37 
x: 313.38, y: 364.46, z: 1990.42 
x: 279.32, y: 378.34, z: 1974.45 
x: 277.10, y: 387.18, z: 1941.63 
x: 261.46, y: 618.37, z: 1894.15 
x: 249.50, y: 544.67, z: 1891.29 
x: 234.57, y: 542.80, z: 1873.26 
x: 233.97, y: 479.71, z: 1859.96 
x: 226.92, y: 529.55, z: 1864.60 
x: 253.55, y: 387.75, z: 1941.77 
x: 295.68, y: 328.58, z: 2027.40 
x: 303.63, y: 329.09, z: 2052.74 
x: 333.92, y: 294.74, z: 2047.92 
x: 457.87, y: 363.05, z: 2118.64 
x: 469.48, y: 398.56, z: 2131.59 
x: 482.22, y: 391.40, z: 2098.31 
x: 486.77, y: 380.36, z: 2082.06 
x: 491.92, y: 375.63, z: 2066.52 
x: 505.29, y: 373.82, z: 2056.81 
x: 503.33, y: 377.65, z: 2063.75 
x: 501.96, y: 375.39, z: 2071.59 
x: 501.07, y: 379.07, z: 2073.18 
x: 501.09, y: 384.04, z: 2069.31 
x: 499.31, y: 384.54, z: 2068.07 
x: 500.28, y: 385.24, z: 2070.66 
x: 500.85, y: 382.57, z: 2070.11 
x: 501.40, y: 374.91, z: 2067.71 
x: 500.71, y: 376.86, z: 2066.83 
x: 506.46, y: 377.40, z: 2065.28 
x: 507.36, y: 378.45, z: 2063.80 
x: 506.67, y: 377.79, z: 2058.81 
x: 503.24, y: 378.36, z: 2054.41 
x: 503.81, y: 380.47, z: 2057.05 
x: 510.08, y: 375.82, z: 2059.01 
x: 541.35, y: 366.89, z: 2081.79 
x: 548.01, y: 360.80, z: 2068.92 
x: 548.24, y: 348.56, z: 2059.15 
x: 546.42, y: 344.64, z: 2061.70 
x: 582.92, y: 319.82, z: 2047.32 
x: 581.85, y: 249.87, z: 2103.28 
x: 471.07, y: 195.25, z: 2168.45 
x: 528.73, y: 263.55, z: 2101.74 
x: 520.86, y: 274.84, z: 2070.88 
x: 473.74, y: 279.23, z: 2075.22 
x: 378.83, y: 376.16, z: 2072.12 
x: 222.81, y: 377.62, z: 2062.09 
x: 219.16, y: 415.99, z: 2046.41 
x: 243.99, y: 411.11, z: 1995.61 
x: 144.10, y: 399.82, z: 1935.83 
x: 77.57, y: 475.70, z: 1924.52 
x: -72.74, y: 671.54, z: 1894.14 
x: -21.09, y: 680.86, z: 1972.40 
x: 21.81, y: 447.86, z: 1990.10 
x: 11.51, y: 535.85, z: 1797.44 
x: 48.07, y: 593.46, z: 1922.38 
x: 131.37, y: 215.84, z: 1945.71 
x: 77.89, y: 262.97, z: 1828.61 
x: 123.66, y: 368.61, z: 1834.50 
x: 197.32, y: 338.42, z: 1662.38 
x: 286.08, y: 233.47, z: 1600.55 
x: 246.74, y: 224.78, z: 1474.75 
x: 160.64, y: 266.93, z: 1477.28 
x: 92.30, y: 163.11, z: 1455.31 
x: 79.05, y: 274.77, z: 1672.35 
x: 96.78, y: 312.93, z: 1648.00 
x: 163.00, y: 387.78, z: 1531.89 
x: 187.54, y: 386.36, z: 1558.14 
x: 255.36, y: 386.79, z: 1709.79 
x: 273.27, y: 482.62, z: 1948.26 
x: 292.60, y: 475.50, z: 1977.93 
x: 418.62, y: 438.15, z: 1993.44 
x: 446.84, y: 450.71, z: 2008.89 
x: 456.97, y: 426.42, z: 2003.07 
x: 465.51, y: 410.79, z: 1992.64 
x: 453.32, y: 385.81, z: 1984.99 
x: 458.23, y: 379.05, z: 1983.24 
x: 469.32, y: 375.48, z: 1968.74 
x: 470.47, y: 375.64, z: 1972.02 
x: 472.58, y: 379.46, z: 1977.55 
x: 476.60, y: 385.01, z: 1983.12 
x: 481.83, y: 383.72, z: 1989.56 
x: 481.74, y: 385.04, z: 1988.43 
x: 486.26, y: 384.07, z: 1984.31 
x: 480.18, y: 375.24, z: 1970.46 
x: 479.71, y: 382.39, z: 1972.26 
x: 484.58, y: 373.24, z: 1975.66 
x: 482.08, y: 375.67, z: 1974.48 
x: 483.12, y: 378.08, z: 1973.98 
x: 481.57, y: 365.98, z: 1972.61 
x: 481.33, y: 369.86, z: 1972.22 
x: 490.93, y: 385.69, z: 2019.33 
x: 466.17, y: 378.30, z: 2129.04 
x: 460.13, y: 373.43, z: 2124.15 
x: 475.63, y: 365.37, z: 2233.15 
x: 478.50, y: 367.17, z: 2235.89 
x: 481.47, y: 371.35, z: 2222.29 
x: 495.42, y: 360.63, z: 2192.55 
x: 518.96, y: 362.20, z: 2184.22 
x: 520.21, y: 358.68, z: 2178.89 
x: 510.95, y: 369.51, z: 2153.73 
x: 520.79, y: 379.95, z: 2150.81 
x: 520.99, y: 377.22, z: 2143.35 
x: 526.68, y: 386.82, z: 2155.82 
x: 527.52, y: 376.18, z: 2172.68 
x: 524.79, y: 372.73, z: 2176.57 
x: 531.07, y: 367.89, z: 2178.40 
x: 526.32, y: 363.92, z: 2167.06 
x: 525.60, y: 381.51, z: 2144.43 
x: 526.38, y: 368.15, z: 2137.82 
x: 527.59, y: 362.89, z: 2143.27 
x: 535.92, y: 348.91, z: 2148.77 
x: 532.99, y: 350.00, z: 2146.04 
x: 528.99, y: 352.54, z: 2144.29 
x: 529.51, y: 352.84, z: 2142.78 
x: 529.50, y: 353.97, z: 2141.50 
x: 526.06, y: 357.37, z: 2133.57 
x: 495.48, y: 370.20, z: 2105.35 
x: 410.11, y: 377.66, z: 2055.64 
x: 338.74, y: 358.23, z: 2000.60 
x: 268.07, y: 399.21, z: 1842.72 
x: 240.45, y: 380.94, z: 1714.18 
x: 257.45, y: 315.78, z: 1516.37 
x: 219.80, y: 203.01, z: 1306.33 
x: 205.66, y: 167.43, z: 1325.96 
x: 191.28, y: 145.81, z: 1307.19 
x: 191.36, y: 136.85, z: 1301.57 
x: 192.09, y: 127.77, z: 1292.76 
x: 189.04, y: 105.39, z: 1268.21 
x: 182.71, y: 92.39, z: 1245.44 
x: 181.60, y: 88.09, z: 1252.60 
x: 180.26, y: 85.20, z: 1255.54 
x: 180.46, y: 87.57, z: 1266.34 
x: 154.78, y: 90.58, z: 1259.61 
x: 126.82, y: 215.70, z: 1292.67 
x: 177.28, y: 269.42, z: 1262.47 
x: 136.52, y: 271.36, z: 1290.36 
x: 138.22, y: 286.03, z: 1275.00 
x: 116.33, y: 258.39, z: 1261.09 
x: 138.35, y: 240.83, z: 1298.84 
x: 80.63, y: 118.00, z: 1227.43 
x: 40.86, y: 203.41, z: 1154.36 
x: 23.48, y: 220.95, z: 1101.29 
x: 42.55, y: 213.82, z: 994.44 
x: -13.00, y: 219.19, z: 748.22 
x: -195.72, y: 243.66, z: 519.50 
x: 13.96, y: 352.66, z: 580.48 
x: -78.67, y: 198.45, z: 568.81 
x: -78.67, y: 198.45, z: 568.81 
x: -78.67, y: 198.45, z: 568.81 
