x: 193.67, y: -741.84, z: 1942.94 
x: 199.81, y: -763.79, z: 1940.38 
x: 201.77, y: -731.98, z: 1937.64 
x: 201.02, y: -753.53, z: 1947.58 
x: 200.79, y: -751.50, z: 1949.94 
x: 199.62, y: -758.11, z: 1954.76 
x: 200.96, y: -661.17, z: 1982.08 
x: 184.95, y: -679.58, z: 1981.17 
x: 188.52, y: -695.39, z: 1966.78 
x: 211.14, y: -720.75, z: 1977.08 
x: 203.85, y: -711.37, z: 1968.01 
x: 208.51, y: -720.72, z: 1970.74 
x: 206.15, y: -718.68, z: 1966.17 
x: 200.10, y: -697.63, z: 1937.63 
x: 189.09, y: -699.32, z: 1938.75 
x: 195.87, y: -723.16, z: 1948.15 
x: 197.23, y: -718.55, z: 1949.71 
x: 195.22, y: -724.90, z: 1960.81 
x: 193.88, y: -724.49, z: 1952.90 
x: 197.74, y: -726.81, z: 1955.25 
x: 200.22, y: -746.98, z: 1958.61 
x: 215.34, y: -714.92, z: 1961.66 
x: 210.65, y: -727.91, z: 1954.99 
x: 212.46, y: -740.02, z: 1963.29 
x: 218.62, y: -746.06, z: 1949.26 
x: 215.82, y: -767.01, z: 1952.69 
x: 214.23, y: -775.83, z: 1953.85 
x: 212.75, y: -765.89, z: 1952.44 
x: 214.20, y: -756.42, z: 1948.84 
x: 222.37, y: -762.40, z: 1945.75 
x: 211.72, y: -772.63, z: 1971.94 
x: 204.39, y: -778.67, z: 1935.31 
x: 195.70, y: -760.16, z: 1959.06 
x: 198.97, y: -768.49, z: 1958.40 
x: 198.02, y: -758.03, z: 1941.43 
x: 122.73, y: -748.44, z: 2209.80 
x: 121.30, y: -724.73, z: 2169.19 
x: 226.71, y: -736.02, z: 2089.62 
x: 186.71, y: -754.63, z: 1999.42 
x: 200.40, y: -800.62, z: 1962.44 
x: 199.99, y: -783.43, z: 1947.31 
x: 181.90, y: -727.15, z: 2234.25 
x: 192.12, y: -720.32, z: 2110.24 
x: 201.17, y: -745.06, z: 1997.21 
x: 199.00, y: -738.28, z: 1980.26 
x: 202.45, y: -745.50, z: 1982.70 
x: 189.12, y: -759.02, z: 2020.52 
x: 211.57, y: -702.46, z: 1971.20 
x: 196.28, y: -727.69, z: 1976.64 
x: 203.34, y: -727.74, z: 1934.79 
x: 168.26, y: -707.82, z: 2170.24 
x: 171.78, y: -755.81, z: 2179.14 
x: 216.22, y: -773.20, z: 1967.67 
x: 212.01, y: -774.03, z: 1970.82 
x: 209.40, y: -749.52, z: 1938.91 
x: 214.32, y: -789.57, z: 1967.90 
x: 201.25, y: -777.44, z: 1912.17 
x: 205.85, y: -786.91, z: 1925.25 
x: 205.30, y: -755.63, z: 1934.47 
x: 221.94, y: -769.42, z: 2153.02 
x: 222.52, y: -769.10, z: 2123.54 
x: 219.99, y: -776.51, z: 2115.70 
x: 206.98, y: -765.20, z: 2116.10 
x: 202.91, y: -791.91, z: 2108.83 
x: 200.30, y: -788.14, z: 2082.25 
x: 200.34, y: -785.86, z: 2074.76 
x: 201.79, y: -776.96, z: 2058.82 
x: 258.50, y: -808.07, z: 2139.99 
x: 256.57, y: -771.62, z: 2141.76 
x: -63.71, y: -629.48, z: 1935.93 
x: 248.86, y: -718.46, z: 2151.22 
x: 242.51, y: -698.76, z: 2178.51 
x: 244.07, y: -707.52, z: 2171.65 
x: 224.75, y: -728.79, z: 2044.75 
x: 233.63, y: -760.92, z: 2043.68 
x: 243.00, y: -742.74, z: 1932.59 
x: 228.24, y: -755.64, z: 2021.06 
x: 225.94, y: -761.68, z: 2035.52 
x: 229.02, y: -758.02, z: 2051.99 
x: 205.96, y: -630.79, z: 1995.16 
x: 198.75, y: -676.84, z: 1970.75 
x: 207.59, y: -761.25, z: 2070.54 
x: 224.01, y: -729.03, z: 2012.46 
x: 221.50, y: -757.61, z: 2005.95 
x: 225.45, y: -758.07, z: 2023.74 
x: 240.88, y: -729.61, z: 2036.01 
x: 234.78, y: -734.73, z: 1980.96 
x: 229.03, y: -761.05, z: 2030.15 
x: 212.14, y: -723.11, z: 1940.46 
x: 207.56, y: -741.00, z: 1953.87 
x: 196.48, y: -698.95, z: 1971.31 
x: 179.73, y: -646.90, z: 2396.88 
x: 178.38, y: -640.79, z: 2384.18 
x: 108.24, y: -647.27, z: 1918.79 
x: 137.15, y: -684.85, z: 2128.35 
x: 131.81, y: -665.56, z: 2056.22 
x: 150.11, y: -670.15, z: 2057.29 
x: 162.78, y: -657.04, z: 2073.34 
x: 164.49, y: -634.77, z: 2037.10 
x: 150.92, y: -692.45, z: 1879.77 
x: 133.85, y: -693.48, z: 1906.73 
x: 114.41, y: -716.66, z: 1948.36 
x: 85.89, y: -730.83, z: 1928.90 
x: 52.56, y: -448.44, z: 1601.39 
x: 79.40, y: -415.17, z: 1688.63 
x: -30.38, y: -543.21, z: 1931.40 
x: -109.49, y: -725.64, z: 1892.53 
x: -73.30, y: -596.87, z: 1936.13 
x: 16.72, y: -467.15, z: 1818.27 
x: -56.53, y: -601.30, z: 1960.41 
x: -100.61, y: -662.07, z: 1916.71 
x: 237.57, y: -461.07, z: 1276.07 
x: 177.96, y: -680.15, z: 1598.36 
x: 150.95, y: -615.03, z: 1505.81 
x: 244.93, y: -688.10, z: 1669.56 
x: 150.12, y: -896.67, z: 1753.57 
x: 133.49, y: -836.90, z: 1740.96 
x: 135.12, y: -845.64, z: 1725.95 
x: -155.92, y: -645.27, z: 1871.51 
x: 68.20, y: -782.38, z: 1526.59 
x: 74.29, y: -782.97, z: 1552.88 
x: 12.51, y: -613.08, z: 1484.43 
x: 78.67, y: -686.78, z: 1727.77 
x: 163.52, y: -695.51, z: 1906.53 
x: 191.09, y: -723.76, z: 1916.32 
x: 202.92, y: -700.72, z: 1919.70 
x: 215.28, y: -705.14, z: 1951.77 
x: 223.82, y: -706.96, z: 2109.11 
x: 228.10, y: -696.28, z: 2108.52 
x: 231.67, y: -698.55, z: 2075.49 
x: -115.50, y: -603.60, z: 1934.87 
x: 245.55, y: -756.08, z: 2034.53 
x: 240.03, y: -747.77, z: 2045.99 
x: 238.85, y: -742.35, z: 2053.15 
x: 235.87, y: -730.64, z: 2052.90 
x: 237.26, y: -731.37, z: 2062.52 
x: 238.07, y: -732.87, z: 2070.61 
x: 230.69, y: -719.44, z: 2042.39 
x: 242.84, y: -695.89, z: 2014.74 
x: 231.13, y: -713.84, z: 2006.80 
x: 231.30, y: -721.19, z: 2011.88 
x: 228.06, y: -730.36, z: 2006.06 
x: 229.21, y: -723.01, z: 2014.56 
x: 194.40, y: -662.93, z: 1938.98 
x: 194.55, y: -694.32, z: 1911.97 
x: 200.30, y: -731.50, z: 1931.45 
x: 209.29, y: -766.25, z: 1973.35 
x: 218.74, y: -770.90, z: 1979.40 
x: 183.25, y: -741.73, z: 2209.05 
x: 221.90, y: -787.71, z: 2086.67 
x: 234.13, y: -740.41, z: 2097.43 
x: 260.87, y: -743.86, z: 2067.22 
x: 278.23, y: -793.62, z: 2180.36 
x: 277.22, y: -767.83, z: 2123.24 
x: 280.23, y: -746.67, z: 2125.95 
