x: 587.38, y: 503.25, z: 1694.28 
x: 583.50, y: 506.19, z: 1692.33 
x: 576.68, y: 503.51, z: 1672.84 
x: 536.03, y: 501.62, z: 1723.10 
x: 528.06, y: 533.72, z: 1750.75 
x: 535.12, y: 550.29, z: 1751.35 
x: 532.75, y: 533.61, z: 1741.36 
x: 528.13, y: 514.64, z: 1735.04 
x: 533.91, y: 493.99, z: 1723.68 
x: 526.49, y: 491.86, z: 1712.27 
x: 507.08, y: 532.17, z: 1714.92 
x: 508.49, y: 543.60, z: 1707.82 
x: 503.54, y: 533.05, z: 1720.45 
x: 498.55, y: 546.65, z: 1727.26 
x: 501.70, y: 532.59, z: 1729.07 
x: 498.52, y: 507.36, z: 1745.05 
x: 495.80, y: 501.10, z: 1736.46 
x: 498.47, y: 501.82, z: 1731.65 
x: 495.53, y: 492.56, z: 1714.73 
x: 490.31, y: 464.14, z: 1708.88 
x: 472.79, y: 452.79, z: 1707.40 
x: 277.62, y: 399.39, z: 1738.99 
x: 130.82, y: 315.84, z: 1969.76 
x: 170.71, y: 308.41, z: 1955.29 
x: 136.21, y: 296.46, z: 1982.37 
x: 194.40, y: 351.86, z: 1894.43 
x: 125.61, y: 298.21, z: 1978.79 
x: 130.33, y: 295.74, z: 1970.17 
x: 192.50, y: 360.60, z: 1891.77 
x: 139.95, y: 290.58, z: 1975.68 
x: 161.85, y: 346.22, z: 1877.25 
x: 260.31, y: 637.15, z: 2044.46 
x: 330.81, y: 637.38, z: 1982.87 
x: 332.46, y: 640.65, z: 1989.80 
x: 336.64, y: 609.59, z: 2011.20 
x: 344.64, y: 634.44, z: 2073.49 
x: 361.57, y: 638.91, z: 2129.86 
x: 305.47, y: 641.88, z: 2119.01 
x: 366.04, y: 628.59, z: 2080.53 
x: 384.21, y: 547.98, z: 2069.34 
x: 331.45, y: 597.29, z: 2080.16 
x: 349.36, y: 463.32, z: 2134.68 
x: 354.04, y: 469.43, z: 2127.96 
x: 354.19, y: 605.70, z: 2001.11 
x: 240.11, y: 642.93, z: 2003.10 
x: 258.09, y: 22.29, z: 1980.89 
x: 233.54, y: 279.22, z: 1927.63 
x: 240.89, y: 599.39, z: 1982.15 
x: 263.12, y: 291.76, z: 1979.90 
x: 136.91, y: 641.51, z: 1990.44 
x: 157.77, y: 387.27, z: 1974.66 
x: 171.96, y: 480.34, z: 1981.68 
x: 159.87, y: 424.27, z: 1949.30 
x: 222.61, y: 566.92, z: 2013.83 
x: 170.46, y: 592.66, z: 1977.19 
x: 153.15, y: 528.10, z: 1915.58 
x: 70.48, y: 565.05, z: 1877.77 
x: 114.19, y: 552.38, z: 1858.39 
x: 160.86, y: 766.20, z: 1882.17 
x: 117.96, y: 749.28, z: 1807.31 
x: 115.95, y: 702.06, z: 1700.44 
x: 149.16, y: 704.31, z: 1850.55 
x: 140.58, y: 741.02, z: 1833.00 
x: 168.87, y: 365.39, z: 1658.23 
x: 270.84, y: 70.71, z: 1950.47 
x: 336.63, y: 56.05, z: 2008.52 
x: 329.55, y: 90.52, z: 1925.51 
x: 357.93, y: 163.54, z: 1924.12 
x: 346.33, y: 200.49, z: 2024.44 
x: 351.01, y: 245.84, z: 1972.16 
x: 359.90, y: 229.58, z: 1961.40 
x: 356.92, y: 221.75, z: 1955.71 
x: 372.54, y: 225.54, z: 1960.37 
x: 386.15, y: 225.56, z: 1961.04 
x: 369.92, y: 212.74, z: 1974.97 
x: 367.17, y: 222.64, z: 1945.94 
x: 364.47, y: 228.88, z: 1954.90 
x: 371.99, y: 214.72, z: 1962.47 
x: 364.86, y: 230.69, z: 1958.60 
x: 366.99, y: 222.59, z: 1955.56 
x: 380.53, y: 200.70, z: 1899.21 
x: 358.79, y: 225.28, z: 1951.34 
x: 387.29, y: 213.11, z: 1981.33 
x: 382.05, y: 214.63, z: 1984.75 
x: 378.72, y: 212.78, z: 1972.31 
x: 373.77, y: 209.35, z: 1966.83 
x: 378.31, y: 213.71, z: 1961.84 
x: 380.40, y: 188.71, z: 1953.26 
x: 407.92, y: 187.09, z: 2025.41 
x: 370.41, y: 155.54, z: 2026.24 
x: 377.62, y: 133.74, z: 2075.90 
x: 519.68, y: 586.00, z: 2019.10 
x: 426.11, y: 147.45, z: 2147.11 
x: 414.42, y: 301.01, z: 2024.02 
x: 461.96, y: 401.01, z: 2002.99 
x: 431.64, y: 137.76, z: 2099.42 
x: 343.13, y: 300.70, z: 2009.54 
x: 285.53, y: 100.84, z: 2038.80 
x: 254.24, y: 163.53, z: 2026.15 
x: 137.47, y: 196.98, z: 1958.46 
x: 132.59, y: 236.57, z: 1923.28 
x: 120.85, y: 249.06, z: 1895.11 
x: -77.54, y: 267.33, z: 1811.49 
x: -308.59, y: 457.73, z: 1897.83 
x: -300.54, y: 662.85, z: 1910.75 
x: 121.91, y: 456.05, z: 1879.17 
x: -103.30, y: 528.69, z: 1784.41 
x: -87.32, y: 509.39, z: 1852.93 
x: -13.63, y: 622.33, z: 1684.02 
x: 174.46, y: 255.25, z: 1809.11 
x: 153.88, y: 7.26, z: 1725.87 
x: 162.46, y: 461.65, z: 1506.09 
x: 252.28, y: 127.44, z: 1495.94 
x: 223.09, y: -61.10, z: 1501.59 
x: 112.75, y: -51.88, z: 1399.13 
x: 0.71, y: 95.26, z: 1316.39 
x: -34.99, y: 384.69, z: 1660.97 
x: 16.45, y: 11.87, z: 1558.95 
x: 43.28, y: 58.56, z: 1527.73 
x: 85.77, y: 146.23, z: 1410.44 
x: 92.33, y: 172.56, z: 1474.83 
x: 129.14, y: 158.69, z: 1631.20 
x: 175.36, y: 223.13, z: 1868.09 
x: 187.58, y: 293.13, z: 1907.04 
x: 282.02, y: 234.16, z: 1864.22 
x: 327.93, y: 229.09, z: 1945.63 
x: 327.40, y: 192.00, z: 1859.33 
x: 321.68, y: 229.06, z: 1904.88 
x: 323.55, y: 226.71, z: 1906.56 
x: 332.18, y: 205.80, z: 1846.42 
x: 334.63, y: 189.74, z: 1850.53 
x: 331.94, y: 235.47, z: 1880.16 
x: 353.57, y: 208.43, z: 1884.00 
x: 348.00, y: 224.71, z: 1898.93 
x: 346.48, y: 228.35, z: 1898.71 
x: 348.10, y: 228.32, z: 1896.33 
x: 345.89, y: 225.96, z: 1883.69 
x: 312.67, y: 225.85, z: 1850.14 
x: 341.49, y: 230.26, z: 1867.69 
x: 360.10, y: 187.13, z: 1818.54 
x: 361.48, y: 189.72, z: 1812.80 
x: 360.95, y: 157.69, z: 1798.92 
x: 363.09, y: 160.87, z: 1805.05 
x: 367.51, y: 166.03, z: 1817.66 
x: 371.07, y: 200.88, z: 1858.59 
x: 368.19, y: 207.13, z: 1905.87 
x: 313.94, y: 111.44, z: 2009.67 
x: 350.85, y: 184.16, z: 2159.45 
x: 354.33, y: 174.43, z: 2079.40 
x: 344.76, y: 197.30, z: 2089.37 
x: 344.95, y: 169.31, z: 2069.11 
x: 405.38, y: 187.68, z: 2046.29 
x: 390.18, y: 156.52, z: 2082.46 
x: 380.24, y: 185.37, z: 2055.80 
x: 375.70, y: 142.75, z: 2072.56 
x: 395.57, y: 169.39, z: 2006.79 
x: 406.34, y: 178.28, z: 2073.93 
x: 395.59, y: 202.98, z: 2060.23 
x: 396.36, y: 198.44, z: 1999.77 
x: 390.23, y: 217.72, z: 2058.77 
x: 406.31, y: 196.13, z: 2045.34 
x: 402.73, y: 194.26, z: 2068.65 
x: 406.97, y: 201.43, z: 2029.18 
x: 383.47, y: 203.20, z: 2034.84 
x: 378.72, y: 192.64, z: 2043.32 
x: 380.18, y: 184.69, z: 2027.94 
x: 376.11, y: 199.62, z: 2043.14 
x: 403.04, y: 191.03, z: 2016.07 
x: 414.34, y: 192.48, z: 1996.35 
x: 408.87, y: 192.18, z: 2017.90 
x: 363.68, y: 201.56, z: 2011.35 
x: 328.46, y: 182.24, z: 1879.12 
x: 224.58, y: 170.54, z: 1883.92 
x: 122.69, y: 201.02, z: 1679.55 
x: 215.03, y: 148.23, z: 1584.24 
x: 238.03, y: 34.98, z: 1359.45 
x: 185.63, y: -32.15, z: 1132.32 
x: 140.13, y: -137.98, z: 1123.66 
x: 138.79, y: -174.32, z: 1099.20 
x: 138.86, y: -181.46, z: 1061.35 
x: 142.71, y: -181.42, z: 1071.59 
x: 141.35, y: -186.00, z: 1065.15 
x: 140.32, y: -217.31, z: 1043.82 
x: 101.87, y: -358.13, z: 1108.92 
x: 139.82, y: -229.08, z: 1070.22 
x: 135.82, y: -230.16, z: 1087.34 
x: 151.02, y: -144.66, z: 1086.74 
x: 137.06, y: -106.27, z: 1161.59 
x: 168.24, y: -63.52, z: 1166.34 
x: 81.05, y: 114.78, z: 1211.36 
x: 38.34, y: 154.69, z: 1150.53 
x: 6.06, y: 135.57, z: 1128.78 
x: 84.33, y: 7.73, z: 1202.23 
x: -76.25, y: 4.35, z: 1081.22 
x: -58.96, y: -48.53, z: 1049.86 
x: -112.75, y: -33.30, z: 1002.05 
x: -71.07, y: -83.57, z: 937.19 
x: 11.68, y: 499.51, z: 832.25 
x: -233.75, y: -88.08, z: 539.24 
x: -68.21, y: 335.07, z: 439.06 
x: -136.89, y: 35.59, z: 474.84 
x: -136.89, y: 35.59, z: 474.84 
x: -136.89, y: 35.59, z: 474.84 
