x: 199.71, y: 66.38, z: 2062.00 
x: 198.16, y: 41.43, z: 2066.70 
x: 194.70, y: 69.97, z: 2052.83 
x: 186.44, y: 89.74, z: 2067.51 
x: 174.98, y: 82.36, z: 2069.67 
x: 172.99, y: 71.24, z: 2073.37 
x: 174.71, y: 66.18, z: 2076.48 
x: 176.95, y: 65.95, z: 2071.84 
x: 172.15, y: 68.67, z: 2069.76 
x: 174.68, y: 49.69, z: 2074.30 
x: 178.53, y: 43.30, z: 2079.47 
x: 178.31, y: 46.08, z: 2081.68 
x: 177.11, y: 46.45, z: 2080.28 
x: 177.25, y: 44.87, z: 2076.78 
x: 172.61, y: 67.54, z: 2074.55 
x: 154.09, y: 91.05, z: 2080.74 
x: 162.01, y: 73.75, z: 2082.46 
x: 167.94, y: 64.17, z: 2081.86 
x: 170.05, y: 60.68, z: 2080.85 
x: 169.51, y: 69.91, z: 2064.20 
x: 175.30, y: 82.53, z: 2065.64 
x: 175.23, y: 74.02, z: 2067.63 
x: 175.60, y: 79.17, z: 2071.90 
x: 176.93, y: 78.75, z: 2070.72 
x: 177.53, y: 71.70, z: 2065.75 
x: 178.24, y: 69.14, z: 2065.84 
x: 178.58, y: 69.80, z: 2064.12 
x: 178.38, y: 71.42, z: 2062.59 
x: 176.66, y: 77.10, z: 2062.37 
x: 161.55, y: 112.69, z: 2108.31 
x: 165.65, y: 93.12, z: 2085.63 
x: 168.32, y: 86.51, z: 2074.60 
x: 173.72, y: 93.52, z: 2059.19 
x: 172.86, y: 89.57, z: 2063.38 
x: 170.65, y: 91.94, z: 2056.74 
x: 177.71, y: 111.26, z: 2062.45 
x: 183.36, y: 86.43, z: 2043.11 
x: 194.90, y: 97.10, z: 2050.45 
x: 192.17, y: 91.53, z: 2041.11 
x: 196.04, y: 53.93, z: 2049.49 
x: 187.60, y: 64.46, z: 2037.92 
x: 185.49, y: 62.66, z: 2041.79 
x: 188.79, y: 41.92, z: 2032.79 
x: 184.74, y: 51.80, z: 2026.26 
