x: 210.23, y: -338.95, z: 2022.21 
x: 209.78, y: -364.82, z: 2021.23 
x: 215.31, y: -335.27, z: 2028.55 
x: 203.45, y: -336.67, z: 2013.40 
x: 199.46, y: -330.56, z: 2003.64 
x: 198.19, y: -336.08, z: 2009.45 
x: 202.77, y: -343.17, z: 2014.75 
x: 196.66, y: -340.56, z: 2008.23 
x: 194.61, y: -345.58, z: 2010.78 
x: 200.30, y: -359.90, z: 2019.95 
x: 195.57, y: -355.55, z: 2024.39 
x: 195.86, y: -355.08, z: 2025.71 
x: 196.08, y: -355.70, z: 2023.40 
x: 195.02, y: -353.91, z: 2018.45 
x: 186.12, y: -346.46, z: 2013.73 
x: 185.45, y: -341.14, z: 2014.19 
x: 187.99, y: -340.68, z: 2015.45 
x: 190.22, y: -340.51, z: 2016.04 
x: 196.52, y: -334.76, z: 1999.75 
x: 194.67, y: -343.16, z: 2012.52 
x: 194.66, y: -352.02, z: 2012.17 
x: 198.41, y: -354.58, z: 2008.73 
x: 196.76, y: -352.90, z: 2007.13 
x: 197.86, y: -355.61, z: 2013.13 
x: 196.43, y: -356.45, z: 2012.20 
x: 197.63, y: -355.92, z: 2023.67 
x: 197.19, y: -352.45, z: 2022.44 
x: 196.06, y: -349.41, z: 2019.28 
x: 194.09, y: -345.33, z: 2019.25 
x: 183.75, y: -354.92, z: 2017.91 
x: 182.36, y: -348.01, z: 2022.69 
x: 185.39, y: -348.10, z: 2020.78 
x: 189.00, y: -352.76, z: 2029.10 
x: 187.63, y: -350.59, z: 2025.48 
x: 186.76, y: -347.97, z: 2014.70 
x: 194.07, y: -369.55, z: 2007.03 
x: 188.62, y: -342.13, z: 2004.94 
x: 191.69, y: -353.53, z: 1999.63 
x: 189.75, y: -344.52, z: 1999.62 
x: 195.46, y: -392.44, z: 1989.91 
x: 192.24, y: -363.89, z: 1997.89 
x: 194.85, y: -362.78, z: 1997.59 
x: 204.65, y: -357.14, z: 2010.45 
x: 204.52, y: -360.58, z: 2001.28 
x: 195.09, y: -371.79, z: 1963.63 
x: 198.43, y: -361.74, z: 1981.27 
x: 198.15, y: -374.15, z: 1997.37 
