x: 249.21, y: 517.75, z: 1980.90 
x: 253.89, y: 510.49, z: 1981.57 
x: 247.02, y: 506.97, z: 1969.22 
x: 222.90, y: 520.32, z: 2003.56 
x: 222.76, y: 511.59, z: 2028.94 
x: 222.06, y: 517.85, z: 2033.09 
x: 222.82, y: 509.92, z: 2039.58 
x: 225.17, y: 517.01, z: 2055.48 
x: 215.98, y: 529.89, z: 2039.79 
x: 219.66, y: 512.56, z: 2032.91 
x: 223.50, y: 494.35, z: 2058.14 
x: 229.29, y: 493.78, z: 2058.12 
x: 228.32, y: 496.88, z: 2053.38 
x: 248.25, y: 493.71, z: 2037.79 
x: 232.63, y: 507.03, z: 2039.01 
x: 228.04, y: 513.60, z: 2042.77 
x: 232.28, y: 505.38, z: 2044.57 
x: 233.83, y: 500.08, z: 2048.93 
x: 234.62, y: 503.38, z: 2053.57 
x: 216.63, y: 523.87, z: 2047.79 
x: 215.56, y: 531.50, z: 2053.90 
x: 217.32, y: 537.49, z: 2057.94 
x: 220.40, y: 541.65, z: 2060.19 
x: 218.38, y: 543.14, z: 2051.81 
x: 231.61, y: 531.80, z: 2038.06 
x: 228.28, y: 536.83, z: 2042.58 
x: 227.34, y: 537.64, z: 2043.39 
x: 226.27, y: 540.13, z: 2042.96 
x: 226.03, y: 542.17, z: 2042.96 
x: 229.61, y: 537.49, z: 2069.10 
x: 218.44, y: 549.78, z: 2066.18 
x: 221.62, y: 555.29, z: 2060.26 
x: 221.69, y: 565.03, z: 2060.00 
x: 224.99, y: 570.48, z: 2062.32 
x: 227.81, y: 569.32, z: 2069.03 
x: 235.97, y: 577.39, z: 2074.06 
x: 239.35, y: 586.48, z: 2074.78 
x: 242.63, y: 593.01, z: 2080.22 
x: 242.18, y: 598.97, z: 2086.08 
x: 259.24, y: 516.74, z: 2069.51 
x: 242.77, y: 554.44, z: 2073.82 
x: 287.88, y: 500.25, z: 2098.35 
x: 290.55, y: 501.08, z: 2100.44 
x: 246.16, y: 565.42, z: 2084.25 
x: 223.10, y: 539.11, z: 2020.80 
x: 212.85, y: 558.23, z: 2050.42 
x: 219.60, y: 513.43, z: 2024.35 
x: 237.78, y: 412.41, z: 1969.72 
x: 222.99, y: 502.15, z: 1996.63 
x: 213.90, y: 536.74, z: 2005.52 
x: 217.70, y: 538.38, z: 2014.47 
x: 241.53, y: 492.12, z: 2071.04 
x: 224.30, y: 538.77, z: 2052.25 
x: 210.10, y: 460.43, z: 1961.15 
x: 218.07, y: 510.96, z: 2023.76 
x: 242.97, y: 554.91, z: 2109.41 
x: 238.57, y: 558.86, z: 2101.86 
x: 234.23, y: 506.07, z: 2099.57 
x: 233.66, y: 466.18, z: 2031.61 
x: 218.27, y: 489.24, z: 2034.23 
x: 215.44, y: 463.89, z: 2026.23 
x: 203.55, y: 518.11, z: 2090.06 
x: 197.14, y: 488.15, z: 2050.21 
x: 204.92, y: 521.89, z: 2066.13 
x: 216.12, y: 523.50, z: 2027.20 
x: 232.67, y: 545.10, z: 2037.22 
x: 261.81, y: 510.93, z: 2030.63 
x: 324.80, y: 565.86, z: 2070.76 
x: 348.22, y: 596.70, z: 2057.95 
x: 359.96, y: 588.28, z: 2043.10 
x: 368.12, y: 574.16, z: 2032.23 
x: 370.99, y: 567.40, z: 2019.91 
x: 377.01, y: 565.69, z: 2011.97 
x: 380.60, y: 569.87, z: 2014.76 
x: 383.25, y: 567.95, z: 2014.20 
x: 382.50, y: 568.18, z: 2011.29 
x: 378.63, y: 570.34, z: 2004.74 
x: 374.86, y: 568.15, z: 2000.05 
x: 376.16, y: 567.16, z: 1999.48 
x: 377.46, y: 565.74, z: 2000.24 
x: 375.44, y: 566.90, z: 1996.56 
x: 370.53, y: 569.26, z: 1990.96 
x: 371.17, y: 568.31, z: 1994.10 
x: 369.98, y: 569.73, z: 1993.13 
x: 372.52, y: 570.73, z: 1992.72 
x: 371.00, y: 569.68, z: 1989.93 
x: 372.64, y: 570.32, z: 1994.92 
x: 363.85, y: 588.06, z: 1967.25 
x: 412.23, y: 556.15, z: 1989.62 
x: 424.13, y: 549.47, z: 1978.60 
x: 429.75, y: 537.99, z: 1969.55 
x: 471.51, y: 552.28, z: 1976.11 
x: 521.26, y: 452.27, z: 1995.63 
x: 513.86, y: 402.77, z: 2038.50 
x: 506.96, y: 398.75, z: 2024.85 
x: 507.33, y: 430.37, z: 2016.87 
x: 452.06, y: 486.11, z: 1951.02 
x: 414.12, y: 520.12, z: 1959.33 
x: 288.76, y: 571.28, z: 1952.51 
x: 99.69, y: 574.73, z: 1949.56 
x: 93.03, y: 578.88, z: 1936.27 
x: 105.95, y: 587.63, z: 1928.99 
x: 56.23, y: 584.51, z: 1912.43 
x: -104.93, y: 557.83, z: 1973.41 
x: -12.81, y: 559.18, z: 2045.86 
x: 15.65, y: 512.07, z: 2119.03 
x: -108.16, y: 550.61, z: 1832.91 
x: -19.75, y: 524.61, z: 2033.40 
x: -54.80, y: 573.13, z: 2064.66 
x: 71.70, y: 364.74, z: 2109.25 
x: 14.46, y: 518.56, z: 1903.70 
x: 11.70, y: 610.26, z: 1894.31 
x: 133.07, y: 566.84, z: 1696.23 
x: 166.48, y: 494.78, z: 1594.21 
x: 156.94, y: 487.46, z: 1498.39 
x: 112.11, y: 487.43, z: 1537.36 
x: 65.40, y: 403.72, z: 1569.47 
x: 34.36, y: 517.08, z: 1693.96 
x: 34.06, y: 512.66, z: 1587.52 
x: 27.66, y: 387.25, z: 1461.68 
x: 59.06, y: 491.44, z: 1512.79 
x: 137.75, y: 577.26, z: 1730.90 
x: 129.54, y: 616.90, z: 1810.62 
x: 179.26, y: 636.79, z: 1928.92 
x: 228.72, y: 627.01, z: 1936.69 
x: 309.26, y: 583.60, z: 1901.24 
x: 309.25, y: 602.17, z: 1918.37 
x: 334.27, y: 586.27, z: 1950.18 
x: 345.58, y: 580.77, z: 1962.89 
x: 352.01, y: 575.98, z: 1964.00 
x: 354.44, y: 563.58, z: 1967.66 
x: 352.10, y: 567.67, z: 1963.99 
x: 352.42, y: 568.83, z: 1966.08 
x: 357.25, y: 574.03, z: 1968.73 
x: 362.50, y: 572.72, z: 1973.82 
x: 361.93, y: 573.39, z: 1973.16 
