x: 92.67, y: 286.25, z: 2060.83 
x: 93.12, y: 269.99, z: 2061.57 
x: 85.57, y: 287.39, z: 2058.74 
x: 77.70, y: 298.73, z: 2070.89 
x: 73.30, y: 290.77, z: 2082.20 
x: 70.63, y: 288.13, z: 2100.98 
x: 66.81, y: 280.87, z: 2106.47 
x: 68.69, y: 280.87, z: 2103.34 
x: 64.53, y: 290.65, z: 2098.41 
x: 72.52, y: 275.55, z: 2094.16 
x: 76.41, y: 262.44, z: 2097.87 
x: 76.20, y: 264.56, z: 2095.13 
x: 76.38, y: 266.58, z: 2092.90 
x: 84.08, y: 268.98, z: 2091.28 
x: 75.80, y: 284.77, z: 2086.13 
x: 70.08, y: 301.50, z: 2087.57 
x: 72.70, y: 288.19, z: 2090.73 
x: 73.42, y: 279.59, z: 2092.64 
x: 74.05, y: 278.77, z: 2092.88 
x: 68.04, y: 289.79, z: 2087.28 
x: 69.06, y: 298.54, z: 2089.10 
x: 69.97, y: 298.15, z: 2090.45 
x: 70.92, y: 303.08, z: 2091.05 
x: 71.69, y: 303.26, z: 2090.96 
x: 75.61, y: 296.18, z: 2084.68 
x: 74.99, y: 296.76, z: 2084.90 
x: 75.22, y: 297.10, z: 2084.04 
x: 75.09, y: 299.08, z: 2082.66 
x: 74.34, y: 303.34, z: 2082.80 
x: 66.18, y: 323.42, z: 2099.29 
x: 67.21, y: 316.04, z: 2094.01 
x: 69.69, y: 315.45, z: 2090.70 
x: 70.38, y: 322.38, z: 2086.91 
x: 71.28, y: 324.00, z: 2086.74 
x: 71.06, y: 324.67, z: 2081.60 
x: 73.17, y: 338.38, z: 2086.70 
x: 78.44, y: 328.64, z: 2080.19 
x: 82.72, y: 336.78, z: 2085.11 
x: 83.19, y: 336.88, z: 2083.75 
x: 94.04, y: 284.00, z: 2066.63 
x: 88.29, y: 305.44, z: 2072.05 
x: 99.01, y: 284.22, z: 2080.09 
x: 98.43, y: 273.37, z: 2077.65 
x: 89.19, y: 305.18, z: 2073.63 
x: 82.05, y: 288.91, z: 2052.48 
x: 80.38, y: 301.00, z: 2058.68 
x: 82.98, y: 275.93, z: 2026.93 
x: 76.23, y: 200.44, z: 2033.36 
x: 78.51, y: 258.48, z: 2044.70 
x: 76.44, y: 282.35, z: 2047.24 
x: 76.65, y: 286.20, z: 2051.31 
x: 86.63, y: 265.90, z: 2049.13 
x: 82.26, y: 290.26, z: 2048.16 
x: 77.08, y: 242.01, z: 2026.35 
x: 80.79, y: 273.57, z: 2045.63 
x: 87.47, y: 288.29, z: 2069.24 
x: 93.26, y: 298.50, z: 2076.25 
x: 91.05, y: 269.98, z: 2070.17 
x: 80.54, y: 237.29, z: 2051.15 
x: 79.64, y: 248.51, z: 2053.57 
x: 76.34, y: 233.52, z: 2049.55 
x: 75.58, y: 262.89, z: 2068.57 
x: 75.41, y: 247.08, z: 2055.58 
x: 78.41, y: 276.31, z: 2060.41 
x: 83.51, y: 278.01, z: 2049.62 
x: 90.56, y: 291.16, z: 2050.83 
x: 108.10, y: 268.70, z: 2049.03 
x: 139.64, y: 308.86, z: 2054.46 
x: 183.19, y: 346.59, z: 2045.59 
x: 194.17, y: 338.61, z: 2038.17 
x: 198.41, y: 334.44, z: 2036.10 
x: 198.99, y: 338.68, z: 2032.41 
x: 201.26, y: 330.82, z: 2029.31 
x: 205.23, y: 334.58, z: 2027.85 
x: 201.54, y: 348.86, z: 2025.81 
x: 202.94, y: 342.47, z: 2026.36 
x: 205.01, y: 343.41, z: 2027.46 
x: 203.64, y: 338.15, z: 2029.62 
x: 204.02, y: 336.63, z: 2028.67 
x: 204.06, y: 335.97, z: 2028.94 
x: 203.40, y: 339.07, z: 2028.42 
x: 203.60, y: 342.10, z: 2026.67 
x: 203.59, y: 342.41, z: 2027.83 
x: 203.74, y: 343.56, z: 2027.83 
x: 204.14, y: 343.92, z: 2027.53 
x: 204.11, y: 343.18, z: 2034.71 
x: 204.73, y: 342.64, z: 2031.75 
x: 206.43, y: 355.30, z: 2018.65 
x: 221.24, y: 346.23, z: 2013.75 
x: 233.15, y: 390.56, z: 2028.07 
x: 233.71, y: 380.88, z: 2037.32 
x: 244.19, y: 396.82, z: 2031.74 
x: 262.50, y: 364.67, z: 2039.43 
x: 251.03, y: 355.76, z: 2045.11 
